0 1:0.8461969216758298 2:0 3:1 4:0 5:0 6:0 7:1 8:1 9:1 10:1 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:1 21:0 22:0 
1 1:0.7711114081876554 2:0 3:0 4:1 5:0 6:0 7:1 8:1 9:1 10:1 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:1 21:0 22:0 
1 1:0.12855871080302114 2:0 3:1 4:0 5:0 6:0 7:1 8:1 9:1 10:1 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:1 20:0 21:0 22:0 
0 1:0.11944859406811943 2:1 3:0 4:1 5:0 6:0 7:1 8:1 9:1 10:1 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:1 20:0 21:0 22:0 
0 1:0.9235617632337678 2:0 3:1 4:0 5:0 6:0 7:1 8:0 9:1 10:1 11:0 12:0 13:1 14:0 15:0 16:0 17:0 18:0 19:0 20:1 21:0 22:0 
1 1:0.8795158729830049 2:0 3:0 4:1 5:0 6:0 7:1 8:0 9:1 10:1 11:0 12:0 13:1 14:0 15:0 16:0 17:0 18:0 19:1 20:0 21:0 22:0 
0 1:0.07296760480981421 2:1 3:0 4:1 5:0 6:0 7:1 8:0 9:1 10:1 11:0 12:0 13:1 14:0 15:0 16:0 17:0 18:0 19:0 20:1 21:0 22:0 
0 1:0.06855198891757414 2:1 3:1 4:0 5:0 6:0 7:1 8:0 9:1 10:1 11:0 12:0 13:1 14:0 15:0 16:0 17:0 18:0 19:1 20:0 21:0 22:0 
0 1:0.0 2:0 3:1 4:1 5:1 6:0 7:1 8:1 9:1 10:1 11:0 12:0 13:0 14:1 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 
1 1:0.7725991902098595 2:0 3:0 4:1 5:1 6:0 7:1 8:1 9:1 10:1 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:1 21:0 22:0 
1 1:0.6303150423049725 2:0 3:1 4:0 5:0 6:0 7:1 8:1 9:1 10:1 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:1 20:0 21:0 22:0 
0 1:0.2870677342801867 2:1 3:1 4:0 5:0 6:0 7:1 8:1 9:1 10:1 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:1 21:0 22:0 
0 1:0.13525501851597374 2:0 3:0 4:1 5:1 6:0 7:1 8:0 9:1 10:1 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:1 20:0 21:0 22:0 
0 1:0.855231917327826 2:0 3:1 4:0 5:0 6:0 7:1 8:1 9:1 10:1 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:1 21:0 22:0 
1 1:0.7596230990000422 2:0 3:0 4:1 5:0 6:0 7:1 8:1 9:1 10:1 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:1 21:0 22:0 
1 1:0.1319889675718415 2:0 3:1 4:0 5:0 6:0 7:1 8:1 9:1 10:1 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:1 20:0 21:0 22:0 
0 1:0.1271271641449537 2:1 3:0 4:1 5:0 6:0 7:1 8:1 9:1 10:1 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:1 20:0 21:0 22:0 
1 1:0.9319171142406107 2:0 3:0 4:1 5:0 6:0 7:1 8:1 9:1 10:1 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:1 20:0 21:0 22:0 
0 1:0.5329972606657646 2:0 3:1 4:0 5:0 6:0 7:1 8:1 9:1 10:1 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:1 21:0 22:0 
0 1:0.40917269028849956 2:1 3:1 4:0 5:0 6:0 7:1 8:0 9:1 10:1 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:1 20:0 21:0 22:0 
0 1:0.03676456634074627 2:0 3:0 4:1 5:0 6:0 7:1 8:1 9:1 10:0 11:0 12:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:1 22:0 
1 1:0.9319171142406035 2:0 3:0 4:1 5:0 6:0 7:1 8:1 9:1 10:1 11:0 12:0 13:1 14:0 15:0 16:0 17:1 18:0 19:1 20:0 21:0 22:0 
0 1:0.5329972606617606 2:0 3:1 4:0 5:0 6:0 7:1 8:1 9:1 10:1 11:0 12:0 13:1 14:0 15:0 16:0 17:1 18:0 19:0 20:1 21:0 22:0 
0 1:0.40917269029213127 2:1 3:1 4:0 5:0 6:0 7:1 8:1 9:1 10:1 11:0 12:0 13:1 14:0 15:0 16:0 17:1 18:0 19:1 20:0 21:0 22:0 
0 1:0.03676456634067265 2:0 3:0 4:1 5:0 6:0 7:1 8:1 9:1 10:0 11:0 12:0 13:1 14:0 15:0 16:0 17:1 18:0 19:0 20:0 21:1 22:0 
0 1:0.8355713378086378 2:0 3:1 4:0 5:0 6:0 7:1 8:1 9:1 10:1 11:0 12:0 13:1 14:0 15:0 16:0 17:0 18:0 19:0 20:1 21:0 22:0 
1 1:0.7657333975071979 2:0 3:0 4:1 5:0 6:0 7:1 8:1 9:1 10:1 11:0 12:0 13:1 14:0 15:0 16:0 17:0 18:0 19:1 20:0 21:0 22:0 
0 1:0.13338554431522356 2:1 3:1 4:0 5:0 6:0 7:1 8:0 9:1 10:1 11:0 12:0 13:1 14:0 15:0 16:0 17:0 18:0 19:1 20:0 21:0 22:0 
0 1:0.13277722626685046 2:1 3:0 4:1 5:0 6:0 7:1 8:0 9:1 10:1 11:0 12:0 13:1 14:0 15:0 16:0 17:0 18:0 19:0 20:1 21:0 22:0 
