parameters: n=7 l=3 k=1 p=5 q=3 m=9
TOTAL 1000 solutions found
SOLN: CORRECT | POS/NEG | INT/FRA | OBJ-SCORE | TRUE-ANS | ANS | INFIX | POSTFIX | TYPED-POSTFIX
EXPR: 1 | POS | INT | 2 | 200 | 200 | 25.00=((x/96)*12) | 25.00 x 96 / 12 * = | 25.00:dollar x:dozen 96:house /:dozen 12:dollar *:dollar =:dollar
EXPR: 1 | POS | INT | 2 | 200 | 200 | (25.00*(96/x))=12 | 25.00 96 x / * 12 = | 25.00:dollar 96:house x:dozen /:house *:dollar 12:dollar =:dollar
EXPR: 1 | POS | INT | 2 | 200 | 200 | ((25.00/x)*96)=12 | 25.00 x / 96 * 12 = | 25.00:dollar x:dozen /:dollar 96:house *:dollar 12:dollar =:dollar
EXPR: 1 | POS | INT | 2 | 200 | 200 | ((25.00*96)/x)=12 | 25.00 96 * x / 12 = | 25.00:dollar 96:house *:dollar x:dozen /:dollar 12:dollar =:dollar
EXPR: 1 | POS | INT | 10 | 200 | 200 | x=((25.00*96)/12) | x 25.00 96 * 12 / = | x:dozen 25.00:dollar 96:dozen *:dozen 12:dollar /:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 200 | 28800 | x=((25.00*96)*12) | x 25.00 96 * 12 * = | x:dozen 25.00:dollar 96:house *:house 12:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 200 | 28800 | x=(25.00*(96*12)) | x 25.00 96 12 * * = | x:dozen 25.00:dozen 96:house 12:dollar *:house *:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 200 | 28800 | x=((25.00*96)*12) | x 25.00 96 * 12 * = | x:dozen 25.00:dollar 96:house *:dollar 12:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 200 | 28800 | x=((25.00*96)*12) | x 25.00 96 * 12 * = | x:dollar 25.00:dollar 96:house *:house 12:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 200 | 28800 | x=(25.00*(96*12)) | x 25.00 96 12 * * = | x:dozen 25.00:dollar 96:house 12:dozen *:dozen *:dozen =:dozen
EXPR: 1 | POS | INT | 10 | 200 | 200 | x=((25.00*96)/12) | x 25.00 96 * 12 / = | x:house 25.00:dollar 96:house *:house 12:dollar /:house =:house
EXPR: 0 | POS | INT | 10 | 200 | 28800 | x=((25.00*96)*12) | x 25.00 96 * 12 * = | x:dozen 25.00:dozen 96:house *:dozen 12:dollar *:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 200 | 28800 | x=((25.00*96)*12) | x 25.00 96 * 12 * = | x:house 25.00:dollar 96:house *:house 12:dollar *:house =:house
EXPR: 1 | POS | INT | 10 | 200 | 200 | x=((25.00*96)/12) | x 25.00 96 * 12 / = | x:dozen 25.00:dozen 96:house *:dozen 12:dollar /:dozen =:dozen
EXPR: 1 | POS | INT | 10 | 200 | 200 | x=(25.00*(96/12)) | x 25.00 96 12 / * = | x:dozen 25.00:dozen 96:house 12:dollar /:house *:dozen =:dozen
