parameters: n=9 l=4 k=1 p=5 q=2 m=10
TOTAL 1000 solutions found
SOLN: CORRECT | POS/NEG | INT/FRA | OBJ-SCORE | TRUE-ANS | ANS | INFIX | POSTFIX | TYPED-POSTFIX
EXPR: 0 | POS | INT | 0 | 286 | 819 | ((13.0*9)*(10-3))=x | 13.0 9 * 10 3 - * x = | 13.0:money 9:hour *:money 10:hour 3:hour -:hour *:money x:money =:money
EXPR: 0 | POS | INT | 0 | 286 | 9 | ((13.0*9)/(10+3))=x | 13.0 9 * 10 3 + / x = | 13.0:money 9:hour *:money 10:hour 3:hour +:hour /:money x:money =:money
EXPR: 0 | POS | INT | 0 | 286 | 1521 | ((13.0*9)*(10+3))=x | 13.0 9 * 10 3 + * x = | 13.0:money 9:hour *:money 10:hour 3:hour +:hour *:money x:money =:money
EXPR: 0 | POS | INT | 0 | 286 | 819 | x=((13.0*9)*(10-3)) | x 13.0 9 * 10 3 - * = | x:money 13.0:money 9:hour *:money 10:hour 3:hour -:hour *:money =:money
EXPR: 0 | POS | INT | 0 | 286 | 208 | (13.0*(9+(10-3)))=x | 13.0 9 10 3 - + * x = | 13.0:money 9:hour 10:hour 3:hour -:hour +:hour *:money x:money =:money
EXPR: 0 | POS | INT | 0 | 286 | 26 | (13.0*(9-(10-3)))=x | 13.0 9 10 3 - - * x = | 13.0:money 9:hour 10:hour 3:hour -:hour -:hour *:money x:money =:money
EXPR: 0 | POS | INT | 0 | 286 | 208 | (13.0*((9+10)-3))=x | 13.0 9 10 + 3 - * x = | 13.0:money 9:hour 10:hour +:hour 3:hour -:hour *:money x:money =:money
EXPR: 0 | POS | INT | 0 | 286 | 9 | x=((13.0*9)/(10+3)) | x 13.0 9 * 10 3 + / = | x:money 13.0:money 9:hour *:money 10:hour 3:hour +:hour /:money =:money
EXPR: 1 | POS | INT | 0 | 286 | 286 | (13.0*(9+(10+3)))=x | 13.0 9 10 3 + + * x = | 13.0:money 9:hour 10:hour 3:hour +:hour +:hour *:money x:money =:money
EXPR: 0 | POS | INT | 0 | 286 | 26 | x=(13.0*(9-(10-3))) | x 13.0 9 10 3 - - * = | x:money 13.0:money 9:hour 10:hour 3:hour -:hour -:hour *:money =:money
EXPR: 0 | POS | INT | 0 | 286 | 208 | x=(13.0*(9+(10-3))) | x 13.0 9 10 3 - + * = | x:money 13.0:money 9:hour 10:hour 3:hour -:hour +:hour *:money =:money
EXPR: 1 | POS | INT | 0 | 286 | 286 | (13.0*((9+10)+3))=x | 13.0 9 10 + 3 + * x = | 13.0:money 9:hour 10:hour +:hour 3:hour +:hour *:money x:money =:money
EXPR: 0 | POS | INT | 0 | 286 | 1521 | x=((13.0*9)*(10+3)) | x 13.0 9 * 10 3 + * = | x:money 13.0:money 9:hour *:money 10:hour 3:hour +:hour *:money =:money
EXPR: 1 | POS | INT | 0 | 286 | 286 | x=(13.0*((9+10)+3)) | x 13.0 9 10 + 3 + * = | x:money 13.0:money 9:hour 10:hour +:hour 3:hour +:hour *:money =:money
EXPR: 0 | POS | INT | 0 | 286 | 26 | x=(13.0*((9-10)+3)) | x 13.0 9 10 - 3 + * = | x:money 13.0:money 9:hour 10:hour -:hour 3:hour +:hour *:money =:money
EXPR: 1 | POS | INT | 0 | 286 | 286 | x=(13.0*(9+(10+3))) | x 13.0 9 10 3 + + * = | x:money 13.0:money 9:hour 10:hour 3:hour +:hour +:hour *:money =:money
EXPR: 0 | POS | INT | 0 | 286 | 26 | (13.0*((9-10)+3))=x | 13.0 9 10 - 3 + * x = | 13.0:money 9:hour 10:hour -:hour 3:hour +:hour *:money x:money =:money
EXPR: 0 | POS | INT | 0 | 286 | 208 | x=(13.0*((9+10)-3)) | x 13.0 9 10 + 3 - * = | x:money 13.0:money 9:hour 10:hour +:hour 3:hour -:hour *:money =:money
EXPR: 0 | POS | INT | 2 | 286 | 780 | ((13.0*10)*(9-3))=x | 13.0 10 * 9 3 - * x = | 13.0:money 10:hour *:money 9:hour 3:hour -:hour *:money x:money =:money
EXPR: 0 | POS | INT | 2 | 286 | 1560 | ((13.0*10)*(9+3))=x | 13.0 10 * 9 3 + * x = | 13.0:money 10:hour *:money 9:hour 3:hour +:hour *:money x:money =:money
EXPR: 0 | POS | INT | 2 | 286 | 26 | (13.0*(9+(3-10)))=x | 13.0 9 3 10 - + * x = | 13.0:money 9:hour 3:hour 10:hour -:hour +:hour *:money x:money =:money
EXPR: 1 | POS | INT | 2 | 286 | 286 | x=(13.0*((9+3)+10)) | x 13.0 9 3 + 10 + * = | x:money 13.0:money 9:hour 3:hour +:hour 10:hour +:hour *:money =:money
EXPR: 0 | POS | INT | 2 | 286 | 208 | x=(13.0*((9-3)+10)) | x 13.0 9 3 - 10 + * = | x:money 13.0:money 9:hour 3:hour -:hour 10:hour +:hour *:money =:money
EXPR: 0 | POS | INT | 2 | 286 | 26 | x=(13.0*((9+3)-10)) | x 13.0 9 3 + 10 - * = | x:money 13.0:money 9:hour 3:hour +:hour 10:hour -:hour *:money =:money
EXPR: 0 | POS | INT | 5 | 286 | 741 | ((13.0*3)*(9+10))=x | 13.0 3 * 9 10 + * x = | 13.0:money 3:hour *:money 9:hour 10:hour +:hour *:money x:money =:money
EXPR: 0 | POS | INT | 5 | 286 | 52 | (13.0*(3-(9-10)))=x | 13.0 3 9 10 - - * x = | 13.0:money 3:hour 9:hour 10:hour -:hour -:hour *:money x:money =:money
EXPR: 0 | POS | INT | 5 | 286 | 26 | (13.0*(3+(9-10)))=x | 13.0 3 9 10 - + * x = | 13.0:money 3:hour 9:hour 10:hour -:hour +:hour *:money x:money =:money
EXPR: 0 | POS | INT | 5 | 286 | 208 | x=(13.0*((10-3)+9)) | x 13.0 10 3 - 9 + * = | x:money 13.0:money 10:hour 3:hour -:hour 9:hour +:hour *:money =:money
EXPR: 1 | POS | INT | 9 | 286 | 286 | x=((9+(10+3))*13.0) | x 9 10 3 + + 13.0 * = | x:money 9:hour 10:hour 3:hour +:hour +:hour 13.0:money *:money =:money
EXPR: 0 | POS | INT | 10 | 286 | 154 | x=((13.0+9)*(10-3)) | x 13.0 9 + 10 3 - * = | x:money 13.0:money 9:money +:money 10:hour 3:hour -:hour *:money =:money
EXPR: 1 | POS | INT | 10 | 286 | 286 | x=((13.0+9)*(10+3)) | x 13.0 9 + 10 3 + * = | x:money 13.0:money 9:money +:money 10:hour 3:hour +:hour *:money =:money
EXPR: 0 | POS | INT | 10 | 286 | 309 | x=((13.0+(9*10))*3) | x 13.0 9 10 * + 3 * = | x:money 13.0:money 9:hour 10:money *:money +:money 3:hour *:money =:money
EXPR: 0 | POS | INT | 10 | 286 | 52 | x=((13.0-9)*(10+3)) | x 13.0 9 - 10 3 + * = | x:money 13.0:money 9:money -:money 10:hour 3:hour +:hour *:money =:money
