parameters: n=5 l=2 k=1 p=5 q=1 m=8
TOTAL 28 solutions found
SOLN: CORRECT | POS/NEG | INT/FRA | OBJ-SCORE | TRUE-ANS | ANS | INFIX | POSTFIX | TYPED-POSTFIX
EXPR: 0 | POS | FRA | 0 | 7.26 | 1.54 | (4.4-2.86)=x | 4.4 2.86 - x = | 4.4:foot 2.86:foot -:foot x:foot =:foot
EXPR: 1 | POS | FRA | 0 | 7.26 | 7.26 | x=(4.4+2.86) | x 4.4 2.86 + = | x:foot 4.4:foot 2.86:foot +:foot =:foot
EXPR: 0 | POS | FRA | 0 | 7.26 | 1.54 | x=(4.4-2.86) | x 4.4 2.86 - = | x:foot 4.4:foot 2.86:foot -:foot =:foot
EXPR: 1 | POS | FRA | 0 | 7.26 | 7.26 | (4.4+2.86)=x | 4.4 2.86 + x = | 4.4:foot 2.86:foot +:foot x:foot =:foot
EXPR: 0 | POS | FRA | 2 | 7.26 | 1.54 | 4.4=(2.86+x) | 4.4 2.86 x + = | 4.4:foot 2.86:foot x:foot +:foot =:foot
EXPR: 0 | POS | FRA | 2 | 7.26 | 1.54 | 4.4=(x+2.86) | 4.4 x 2.86 + = | 4.4:foot x:foot 2.86:foot +:foot =:foot
EXPR: 1 | POS | FRA | 2 | 7.26 | 7.26 | 4.4=(x-2.86) | 4.4 x 2.86 - = | 4.4:foot x:foot 2.86:foot -:foot =:foot
EXPR: 0 | POS | FRA | 2 | 7.26 | 1.54 | (4.4-x)=2.86 | 4.4 x - 2.86 = | 4.4:foot x:foot -:foot 2.86:foot =:foot
EXPR: 1 | POS | FRA | 2 | 7.26 | 7.26 | (x-4.4)=2.86 | x 4.4 - 2.86 = | x:foot 4.4:foot -:foot 2.86:foot =:foot
EXPR: 1 | POS | FRA | 4 | 7.26 | 7.26 | 2.86=(x-4.4) | 2.86 x 4.4 - = | 2.86:foot x:foot 4.4:foot -:foot =:foot
EXPR: 0 | POS | FRA | 4 | 7.26 | 1.54 | (2.86+x)=4.4 | 2.86 x + 4.4 = | 2.86:foot x:foot +:foot 4.4:foot =:foot
EXPR: 1 | POS | FRA | 4 | 7.26 | 7.26 | (x-2.86)=4.4 | x 2.86 - 4.4 = | x:foot 2.86:foot -:foot 4.4:foot =:foot
EXPR: 0 | POS | FRA | 4 | 7.26 | 1.54 | (x+2.86)=4.4 | x 2.86 + 4.4 = | x:foot 2.86:foot +:foot 4.4:foot =:foot
EXPR: 0 | POS | FRA | 4 | 7.26 | 1.54 | 2.86=(4.4-x) | 2.86 4.4 x - = | 2.86:foot 4.4:foot x:foot -:foot =:foot
NET 14 unique, non-negative solutions found out of 28 total solutions
