parameters: n=9 l=4 k=1 p=5 q=2 m=10
TOTAL 1000 solutions found
EXPR: 0 | POS | INT | 0 | 286 | 208 | x=(13*((9+10)-3)) | x 13 9 10 + 3 - * = | x:dollar 13:dollar 9:hour 10:hour +:hour 3:hour -:hour *:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 286 | 9 | x=((13*9)/(10+3)) | x 13 9 * 10 3 + / = | x:dollar 13:dollar 9:hour *:dollar 10:hour 3:hour +:hour /:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 286 | 26 | x=(13*((9-10)+3)) | x 13 9 10 - 3 + * = | x:dollar 13:dollar 9:hour 10:hour -:hour 3:hour +:hour *:dollar =:dollar
EXPR: 1 | POS | INT | 0 | 286 | 286 | x=(13*((9+10)+3)) | x 13 9 10 + 3 + * = | x:dollar 13:dollar 9:hour 10:hour +:hour 3:hour +:hour *:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 286 | 819 | x=((13*9)*(10-3)) | x 13 9 * 10 3 - * = | x:dollar 13:dollar 9:hour *:dollar 10:hour 3:hour -:hour *:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 286 | 1521 | x=((13*9)*(10+3)) | x 13 9 * 10 3 + * = | x:dollar 13:dollar 9:hour *:dollar 10:hour 3:hour +:hour *:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 286 | 208 | x=(13*(9+(10-3))) | x 13 9 10 3 - + * = | x:dollar 13:dollar 9:hour 10:hour 3:hour -:hour +:hour *:dollar =:dollar
EXPR: 1 | POS | INT | 0 | 286 | 286 | x=(13*(9+(10+3))) | x 13 9 10 3 + + * = | x:dollar 13:dollar 9:hour 10:hour 3:hour +:hour +:hour *:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 286 | 26 | x=(13*(9-(10-3))) | x 13 9 10 3 - - * = | x:dollar 13:dollar 9:hour 10:hour 3:hour -:hour -:hour *:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 286 | 9 | x=((13*9)/(10+3)) | x 13 9 * 10 3 + / = | x:dollar 13:dollar 9:hour *:dollar 10:hour 3:hour +:hour /:dollar =:dollar
EXPR: 1 | POS | INT | 1 | 286 | 286 | x=(13*((9+10)+3)) | x 13 9 10 + 3 + * = | x:dollar 13:dollar 9:hour 10:hour +:hour 3:hour +:hour *:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 286 | 208 | x=(13*((9+10)-3)) | x 13 9 10 + 3 - * = | x:dollar 13:dollar 9:hour 10:hour +:hour 3:hour -:hour *:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 286 | 26 | x=(13*((9-10)+3)) | x 13 9 10 - 3 + * = | x:dollar 13:dollar 9:hour 10:hour -:hour 3:hour +:hour *:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 286 | 819 | x=((13*9)*(10-3)) | x 13 9 * 10 3 - * = | x:dollar 13:dollar 9:hour *:dollar 10:hour 3:hour -:hour *:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 286 | 1521 | x=((13*9)*(10+3)) | x 13 9 * 10 3 + * = | x:dollar 13:dollar 9:hour *:dollar 10:hour 3:hour +:hour *:dollar =:dollar
EXPR: 1 | POS | INT | 1 | 286 | 286 | x=(13*(9+(10+3))) | x 13 9 10 3 + + * = | x:dollar 13:dollar 9:hour 10:hour 3:hour +:hour +:hour *:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 286 | 208 | x=(13*(9+(10-3))) | x 13 9 10 3 - + * = | x:dollar 13:dollar 9:hour 10:hour 3:hour -:hour +:hour *:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 286 | 26 | x=(13*(9-(10-3))) | x 13 9 10 3 - - * = | x:dollar 13:dollar 9:hour 10:hour 3:hour -:hour -:hour *:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 286 | 52 | x=(13*((10-9)+3)) | x 13 10 9 - 3 + * = | x:dollar 13:dollar 10:hour 9:hour -:hour 3:hour +:hour *:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 286 | 780 | x=((13*10)*(9-3)) | x 13 10 * 9 3 - * = | x:dollar 13:dollar 10:hour *:dollar 9:hour 3:hour -:hour *:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 286 | 390 | x=(((13*9)/3)*10) | x 13 9 * 3 / 10 * = | x:dollar 13:dollar 9:hour *:dollar 3:hour /:dollar 10:hour *:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 286 | 26 | x=(13*(9+(3-10))) | x 13 9 3 10 - + * = | x:dollar 13:dollar 9:hour 3:hour 10:hour -:hour +:hour *:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 286 | 87 | x=((13*9)-(10*3)) | x 13 9 * 10 3 * - = | x:dollar 13:dollar 9:hour *:dollar 10:dollar 3:hour *:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 286 | 147 | x=((13*9)+(10*3)) | x 13 9 * 10 3 * + = | x:dollar 13:dollar 9:hour *:dollar 10:dollar 3:hour *:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 286 | 52 | x=((13-9)*(10+3)) | x 13 9 - 10 3 + * = | x:dollar 13:dollar 9:dollar -:dollar 10:hour 3:hour +:hour *:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 286 | 39 | x=((13/(10-9))*3) | x 13 10 9 - / 3 * = | x:dollar 13:dollar 10:hour 9:hour -:hour /:dollar 3:hour *:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 286 | 1521 | x=((13*9)*(10+3)) | x 13 9 * 10 3 + * = | x:hour 13:dollar 9:hour *:dollar 10:hour 3:hour +:hour *:hour =:hour
EXPR: 0 | POS | INT | 10 | 286 | 1560 | x=((13*10)*(9+3)) | x 13 10 * 9 3 + * = | x:dollar 13:dollar 10:hour *:dollar 9:hour 3:hour +:hour *:dollar =:dollar
EXPR: 0 | POS | INT | 11 | 286 | 52 | x=(13*((10-9)+3)) | x 13 10 9 - 3 + * = | x:dollar 13:dollar 10:hour 9:hour -:hour 3:hour +:hour *:dollar =:dollar
EXPR: 0 | POS | INT | 11 | 286 | 780 | x=((13*10)*(9-3)) | x 13 10 * 9 3 - * = | x:dollar 13:dollar 10:hour *:dollar 9:hour 3:hour -:hour *:dollar =:dollar
