parameters: n=5 l=2 k=1 p=5 q=1 m=8
TOTAL 22 solutions found
EXPR: 1 | POS | INT | 0 | 12 | 12 | x=(9+3) | x 9 3 + = | x:crayon 9:crayon 3:crayon +:crayon =:crayon
EXPR: 0 | POS | INT | 0 | 12 | 6 | x=(9-3) | x 9 3 - = | x:crayon 9:crayon 3:crayon -:crayon =:crayon
EXPR: 0 | POS | INT | 1 | 12 | 6 | x=(9-3) | x 9 3 - = | x:crayon 9:crayon 3:crayon -:crayon =:crayon
EXPR: 1 | POS | INT | 1 | 12 | 12 | x=(9+3) | x 9 3 + = | x:crayon 9:crayon 3:crayon +:crayon =:crayon
EXPR: 0 | POS | INT | 2 | 12 | 6 | (9-x)=3 | 9 x - 3 = | 9:crayon x:crayon -:crayon 3:crayon =:crayon
EXPR: 1 | POS | INT | 2 | 12 | 12 | (x-9)=3 | x 9 - 3 = | x:crayon 9:crayon -:crayon 3:crayon =:crayon
EXPR: 0 | POS | INT | 2 | 12 | 6 | 9=(3+x) | 9 3 x + = | 9:crayon 3:crayon x:crayon +:crayon =:crayon
EXPR: 1 | POS | INT | 2 | 12 | 12 | 9=(x-3) | 9 x 3 - = | 9:crayon x:crayon 3:crayon -:crayon =:crayon
EXPR: 0 | POS | INT | 2 | 12 | 6 | 9=(x+3) | 9 x 3 + = | 9:crayon x:crayon 3:crayon +:crayon =:crayon
EXPR: 1 | POS | INT | 12 | 12 | 12 | 3=(x-9) | 3 x 9 - = | 3:crayon x:crayon 9:crayon -:crayon =:crayon
EXPR: 0 | POS | INT | 12 | 12 | 6 | (3+x)=9 | 3 x + 9 = | 3:crayon x:crayon +:crayon 9:crayon =:crayon
EXPR: 0 | POS | INT | 12 | 12 | 6 | (x+3)=9 | x 3 + 9 = | x:crayon 3:crayon +:crayon 9:crayon =:crayon
EXPR: 1 | POS | INT | 12 | 12 | 12 | (x-3)=9 | x 3 - 9 = | x:crayon 3:crayon -:crayon 9:crayon =:crayon
EXPR: 0 | POS | INT | 12 | 12 | 6 | 3=(9-x) | 3 9 x - = | 3:crayon 9:crayon x:crayon -:crayon =:crayon
NET 14 non-negative, integer-valued solutions found out of 22 total solutions
