parameters: n=5 l=2 k=1 p=5 q=1 m=8
TOTAL 22 solutions found
EXPR: 1 | POS | INT | 0 | 27004 | 27004 | x=(69+26935) | x 69 26935 + = | x:dollar 69:dollar 26935:dollar +:dollar =:dollar
EXPR: 1 | POS | INT | 1 | 27004 | 27004 | x=(69+26935) | x 69 26935 + = | x:dollar 69:dollar 26935:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 27004 | 26866 | (69+x)=26935 | 69 x + 26935 = | 69:dollar x:dollar +:dollar 26935:dollar =:dollar
EXPR: 1 | POS | INT | 2 | 27004 | 27004 | (x-69)=26935 | x 69 - 26935 = | x:dollar 69:dollar -:dollar 26935:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 27004 | 26866 | (x+69)=26935 | x 69 + 26935 = | x:dollar 69:dollar +:dollar 26935:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 27004 | 26866 | 69=(26935-x) | 69 26935 x - = | 69:dollar 26935:dollar x:dollar -:dollar =:dollar
EXPR: 1 | POS | INT | 2 | 27004 | 27004 | 69=(x-26935) | 69 x 26935 - = | 69:dollar x:dollar 26935:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 27004 | 26866 | x=(26935-69) | x 26935 69 - = | x:dollar 26935:dollar 69:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 11 | 27004 | 26866 | x=(26935-69) | x 26935 69 - = | x:dollar 26935:dollar 69:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 27004 | 26866 | 26935=(x+69) | 26935 x 69 + = | 26935:dollar x:dollar 69:dollar +:dollar =:dollar
EXPR: 1 | POS | INT | 12 | 27004 | 27004 | 26935=(x-69) | 26935 x 69 - = | 26935:dollar x:dollar 69:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 27004 | 26866 | (26935-x)=69 | 26935 x - 69 = | 26935:dollar x:dollar -:dollar 69:dollar =:dollar
EXPR: 1 | POS | INT | 12 | 27004 | 27004 | (x-26935)=69 | x 26935 - 69 = | x:dollar 26935:dollar -:dollar 69:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 27004 | 26866 | 26935=(69+x) | 26935 69 x + = | 26935:dollar 69:dollar x:dollar +:dollar =:dollar
NET 14 non-negative, integer-valued solutions found out of 22 total solutions
