parameters: n=5 l=2 k=1 p=5 q=2 m=8
TOTAL 136 solutions found
EXPR: 1 | POS | INT | 0 | 10 | 10 | (5*2)=x | 5 2 * x = | 5:marble 2:dan *:marble x:marble =:marble
EXPR: 1 | POS | INT | 0 | 10 | 10 | x=(5*2) | x 5 2 * = | x:marble 5:marble 2:dan *:marble =:marble
EXPR: 1 | POS | INT | 1 | 10 | 10 | (5*2)=x | 5 2 * x = | 5:marble 2:dan *:marble x:marble =:marble
EXPR: 1 | POS | INT | 1 | 10 | 10 | x=(5*2) | x 5 2 * = | x:marble 5:marble 2:dan *:marble =:marble
EXPR: 1 | POS | INT | 2 | 10 | 10 | 5=(x/2) | 5 x 2 / = | 5:marble x:marble 2:dan /:marble =:marble
EXPR: 1 | POS | INT | 4 | 10 | 10 | (x/2)=5 | x 2 / 5 = | x:marble 2:dan /:marble 5:marble =:marble
EXPR: 1 | POS | INT | 10 | 10 | 10 | x=(5*2) | x 5 2 * = | x:dan 5:marble 2:dan *:dan =:dan
EXPR: 0 | POS | INT | 10 | 10 | 7 | (5+2)=x | 5 2 + x = | 5:marble 2:marble +:marble x:marble =:marble
EXPR: 0 | POS | INT | 10 | 10 | 3 | (5-2)=x | 5 2 - x = | 5:marble 2:marble -:marble x:marble =:marble
EXPR: 0 | POS | INT | 10 | 10 | 3 | x=(5-2) | x 5 2 - = | x:marble 5:marble 2:marble -:marble =:marble
EXPR: 0 | POS | INT | 10 | 10 | 7 | x=(5+2) | x 5 2 + = | x:marble 5:marble 2:marble +:marble =:marble
EXPR: 1 | POS | INT | 10 | 10 | 10 | (5*2)=x | 5 2 * x = | 5:marble 2:dan *:dan x:dan =:dan
EXPR: 0 | POS | INT | 11 | 10 | 7 | (5+2)=x | 5 2 + x = | 5:marble 2:marble +:marble x:marble =:marble
EXPR: 1 | POS | INT | 11 | 10 | 10 | x=(5*2) | x 5 2 * = | x:dan 5:marble 2:dan *:dan =:dan
EXPR: 0 | POS | INT | 11 | 10 | 3 | x=(5-2) | x 5 2 - = | x:marble 5:marble 2:marble -:marble =:marble
EXPR: 0 | POS | INT | 11 | 10 | 7 | x=(5+2) | x 5 2 + = | x:marble 5:marble 2:marble +:marble =:marble
EXPR: 0 | POS | INT | 11 | 10 | 3 | (5-2)=x | 5 2 - x = | 5:marble 2:marble -:marble x:marble =:marble
EXPR: 1 | POS | INT | 11 | 10 | 10 | (5*2)=x | 5 2 * x = | 5:marble 2:dan *:dan x:dan =:dan
EXPR: 1 | POS | INT | 12 | 10 | 10 | (x/5)=2 | x 5 / 2 = | x:dan 5:marble /:dan 2:dan =:dan
EXPR: 0 | POS | INT | 12 | 10 | 7 | (x-5)=2 | x 5 - 2 = | x:marble 5:marble -:marble 2:marble =:marble
EXPR: 0 | POS | INT | 12 | 10 | 3 | (5-x)=2 | 5 x - 2 = | 5:marble x:marble -:marble 2:marble =:marble
EXPR: 0 | POS | INT | 12 | 10 | 7 | 5=(x-2) | 5 x 2 - = | 5:marble x:marble 2:marble -:marble =:marble
EXPR: 0 | POS | INT | 12 | 10 | 3 | 5=(x+2) | 5 x 2 + = | 5:marble x:marble 2:marble +:marble =:marble
EXPR: 0 | POS | INT | 12 | 10 | 3 | 5=(2+x) | 5 2 x + = | 5:marble 2:marble x:marble +:marble =:marble
EXPR: 0 | POS | INT | 14 | 10 | 3 | (x+2)=5 | x 2 + 5 = | x:marble 2:marble +:marble 5:marble =:marble
EXPR: 0 | POS | INT | 14 | 10 | 3 | 2=(5-x) | 2 5 x - = | 2:marble 5:marble x:marble -:marble =:marble
EXPR: 1 | POS | INT | 14 | 10 | 10 | 2=(x/5) | 2 x 5 / = | 2:dan x:dan 5:marble /:dan =:dan
EXPR: 0 | POS | INT | 14 | 10 | 7 | (x-2)=5 | x 2 - 5 = | x:marble 2:marble -:marble 5:marble =:marble
EXPR: 0 | POS | INT | 14 | 10 | 3 | (2+x)=5 | 2 x + 5 = | 2:marble x:marble +:marble 5:marble =:marble
EXPR: 0 | POS | INT | 14 | 10 | 7 | 2=(x-5) | 2 x 5 - = | 2:marble x:marble 5:marble -:marble =:marble
EXPR: 0 | POS | INT | 20 | 10 | 7 | (5+2)=x | 5 2 + x = | 5:dan 2:dan +:dan x:dan =:dan
EXPR: 0 | POS | INT | 20 | 10 | 3 | (5-2)=x | 5 2 - x = | 5:dan 2:dan -:dan x:dan =:dan
EXPR: 1 | POS | INT | 20 | 10 | 10 | (5*2)=x | 5 2 * x = | 5:dan 2:marble *:marble x:marble =:marble
EXPR: 0 | POS | INT | 20 | 10 | 3 | x=(5-2) | x 5 2 - = | x:dan 5:dan 2:dan -:dan =:dan
EXPR: 0 | POS | INT | 20 | 10 | 7 | x=(5+2) | x 5 2 + = | x:dan 5:dan 2:dan +:dan =:dan
EXPR: 1 | POS | INT | 20 | 10 | 10 | x=(5*2) | x 5 2 * = | x:marble 5:dan 2:marble *:marble =:marble
EXPR: 0 | POS | INT | 21 | 10 | 3 | (5-2)=x | 5 2 - x = | 5:dan 2:dan -:dan x:dan =:dan
EXPR: 0 | POS | INT | 21 | 10 | 3 | x=(5-2) | x 5 2 - = | x:dan 5:dan 2:dan -:dan =:dan
EXPR: 0 | POS | INT | 21 | 10 | 7 | (5+2)=x | 5 2 + x = | 5:dan 2:dan +:dan x:dan =:dan
EXPR: 1 | POS | INT | 21 | 10 | 10 | (5*2)=x | 5 2 * x = | 5:dan 2:marble *:marble x:marble =:marble
EXPR: 1 | POS | INT | 21 | 10 | 10 | x=(5*2) | x 5 2 * = | x:marble 5:dan 2:marble *:marble =:marble
EXPR: 0 | POS | INT | 21 | 10 | 7 | x=(5+2) | x 5 2 + = | x:dan 5:dan 2:dan +:dan =:dan
EXPR: 0 | POS | INT | 22 | 10 | 7 | (x-5)=2 | x 5 - 2 = | x:dan 5:dan -:dan 2:dan =:dan
EXPR: 0 | POS | INT | 22 | 10 | 3 | (5-x)=2 | 5 x - 2 = | 5:dan x:dan -:dan 2:dan =:dan
EXPR: 1 | POS | INT | 22 | 10 | 10 | (x/5)=2 | x 5 / 2 = | x:marble 5:dan /:marble 2:marble =:marble
EXPR: 0 | POS | INT | 22 | 10 | 7 | 5=(x-2) | 5 x 2 - = | 5:dan x:dan 2:dan -:dan =:dan
EXPR: 0 | POS | INT | 22 | 10 | 3 | 5=(x+2) | 5 x 2 + = | 5:dan x:dan 2:dan +:dan =:dan
EXPR: 0 | POS | INT | 22 | 10 | 3 | 5=(2+x) | 5 2 x + = | 5:dan 2:dan x:dan +:dan =:dan
EXPR: 0 | POS | INT | 24 | 10 | 3 | 2=(5-x) | 2 5 x - = | 2:dan 5:dan x:dan -:dan =:dan
EXPR: 0 | POS | INT | 24 | 10 | 7 | (x-2)=5 | x 2 - 5 = | x:dan 2:dan -:dan 5:dan =:dan
EXPR: 0 | POS | INT | 24 | 10 | 3 | (2+x)=5 | 2 x + 5 = | 2:dan x:dan +:dan 5:dan =:dan
EXPR: 0 | POS | INT | 24 | 10 | 3 | (x+2)=5 | x 2 + 5 = | x:dan 2:dan +:dan 5:dan =:dan
EXPR: 0 | POS | INT | 24 | 10 | 7 | 2=(x-5) | 2 x 5 - = | 2:dan x:dan 5:dan -:dan =:dan
EXPR: 1 | POS | INT | 24 | 10 | 10 | 2=(x/5) | 2 x 5 / = | 2:marble x:marble 5:dan /:marble =:marble
EXPR: 1 | POS | INT | 30 | 10 | 10 | x=(5*2) | x 5 2 * = | x:dan 5:dan 2:marble *:dan =:dan
EXPR: 1 | POS | INT | 30 | 10 | 10 | (5*2)=x | 5 2 * x = | 5:dan 2:marble *:dan x:dan =:dan
EXPR: 1 | POS | INT | 31 | 10 | 10 | x=(5*2) | x 5 2 * = | x:dan 5:dan 2:marble *:dan =:dan
EXPR: 1 | POS | INT | 31 | 10 | 10 | (5*2)=x | 5 2 * x = | 5:dan 2:marble *:dan x:dan =:dan
EXPR: 1 | POS | INT | 32 | 10 | 10 | 5=(x/2) | 5 x 2 / = | 5:dan x:dan 2:marble /:dan =:dan
EXPR: 1 | POS | INT | 34 | 10 | 10 | (x/2)=5 | x 2 / 5 = | x:dan 2:marble /:dan 5:dan =:dan
NET 60 non-negative, integer-valued solutions found out of 136 total solutions
