parameters: n=5 l=2 k=1 p=5 q=2 m=8
TOTAL 136 solutions found
EXPR: 1 | POS | INT | 0 | 28 | 28 | (7*4)=x | 7 4 * x = | 7:balloon 4:nancy *:balloon x:balloon =:balloon
EXPR: 1 | POS | INT | 0 | 28 | 28 | x=(7*4) | x 7 4 * = | x:balloon 7:balloon 4:nancy *:balloon =:balloon
EXPR: 1 | POS | INT | 1 | 28 | 28 | (7*4)=x | 7 4 * x = | 7:balloon 4:nancy *:balloon x:balloon =:balloon
EXPR: 1 | POS | INT | 1 | 28 | 28 | x=(7*4) | x 7 4 * = | x:balloon 7:balloon 4:nancy *:balloon =:balloon
EXPR: 1 | POS | INT | 2 | 28 | 28 | 7=(x/4) | 7 x 4 / = | 7:balloon x:balloon 4:nancy /:balloon =:balloon
EXPR: 1 | POS | INT | 4 | 28 | 28 | (x/4)=7 | x 4 / 7 = | x:balloon 4:nancy /:balloon 7:balloon =:balloon
EXPR: 1 | POS | INT | 10 | 28 | 28 | x=(7*4) | x 7 4 * = | x:nancy 7:balloon 4:nancy *:nancy =:nancy
EXPR: 0 | POS | INT | 10 | 28 | 11 | (7+4)=x | 7 4 + x = | 7:balloon 4:balloon +:balloon x:balloon =:balloon
EXPR: 0 | POS | INT | 10 | 28 | 3 | (7-4)=x | 7 4 - x = | 7:balloon 4:balloon -:balloon x:balloon =:balloon
EXPR: 0 | POS | INT | 10 | 28 | 3 | x=(7-4) | x 7 4 - = | x:balloon 7:balloon 4:balloon -:balloon =:balloon
EXPR: 0 | POS | INT | 10 | 28 | 11 | x=(7+4) | x 7 4 + = | x:balloon 7:balloon 4:balloon +:balloon =:balloon
EXPR: 1 | POS | INT | 10 | 28 | 28 | (7*4)=x | 7 4 * x = | 7:balloon 4:nancy *:nancy x:nancy =:nancy
EXPR: 0 | POS | INT | 11 | 28 | 11 | (7+4)=x | 7 4 + x = | 7:balloon 4:balloon +:balloon x:balloon =:balloon
EXPR: 1 | POS | INT | 11 | 28 | 28 | x=(7*4) | x 7 4 * = | x:nancy 7:balloon 4:nancy *:nancy =:nancy
EXPR: 0 | POS | INT | 11 | 28 | 3 | x=(7-4) | x 7 4 - = | x:balloon 7:balloon 4:balloon -:balloon =:balloon
EXPR: 0 | POS | INT | 11 | 28 | 11 | x=(7+4) | x 7 4 + = | x:balloon 7:balloon 4:balloon +:balloon =:balloon
EXPR: 0 | POS | INT | 11 | 28 | 3 | (7-4)=x | 7 4 - x = | 7:balloon 4:balloon -:balloon x:balloon =:balloon
EXPR: 1 | POS | INT | 11 | 28 | 28 | (7*4)=x | 7 4 * x = | 7:balloon 4:nancy *:nancy x:nancy =:nancy
EXPR: 1 | POS | INT | 12 | 28 | 28 | (x/7)=4 | x 7 / 4 = | x:nancy 7:balloon /:nancy 4:nancy =:nancy
EXPR: 0 | POS | INT | 12 | 28 | 11 | (x-7)=4 | x 7 - 4 = | x:balloon 7:balloon -:balloon 4:balloon =:balloon
EXPR: 0 | POS | INT | 12 | 28 | 3 | (7-x)=4 | 7 x - 4 = | 7:balloon x:balloon -:balloon 4:balloon =:balloon
EXPR: 0 | POS | INT | 12 | 28 | 11 | 7=(x-4) | 7 x 4 - = | 7:balloon x:balloon 4:balloon -:balloon =:balloon
EXPR: 0 | POS | INT | 12 | 28 | 3 | 7=(x+4) | 7 x 4 + = | 7:balloon x:balloon 4:balloon +:balloon =:balloon
