parameters: n=7 l=3 k=1 p=5 q=3 m=9
TOTAL 1000 solutions found
EXPR: 1 | POS | INT | 0 | 2016 | 2016 | ((4*12)*42)=x | 4 12 * 42 * x = | 4:dozen 12:calorie *:calorie 42:bar *:calorie x:calorie =:calorie
EXPR: 1 | POS | INT | 0 | 2016 | 2016 | x=((4*12)*42) | x 4 12 * 42 * = | x:calorie 4:dozen 12:calorie *:calorie 42:bar *:calorie =:calorie
EXPR: 1 | POS | INT | 0 | 2016 | 2016 | (4*(12*42))=x | 4 12 42 * * x = | 4:dozen 12:calorie 42:bar *:calorie *:calorie x:calorie =:calorie
EXPR: 1 | POS | INT | 0 | 2016 | 2016 | x=(4*(12*42)) | x 4 12 42 * * = | x:calorie 4:dozen 12:calorie 42:bar *:calorie *:calorie =:calorie
EXPR: 1 | POS | INT | 1 | 2016 | 2016 | ((4*12)*42)=x | 4 12 * 42 * x = | 4:dozen 12:calorie *:calorie 42:bar *:calorie x:calorie =:calorie
EXPR: 1 | POS | INT | 1 | 2016 | 2016 | x=((4*12)*42) | x 4 12 * 42 * = | x:calorie 4:dozen 12:calorie *:calorie 42:bar *:calorie =:calorie
EXPR: 1 | POS | INT | 1 | 2016 | 2016 | (4*(12*42))=x | 4 12 42 * * x = | 4:dozen 12:calorie 42:bar *:calorie *:calorie x:calorie =:calorie
EXPR: 1 | POS | INT | 1 | 2016 | 2016 | x=(4*(12*42)) | x 4 12 42 * * = | x:calorie 4:dozen 12:calorie 42:bar *:calorie *:calorie =:calorie
EXPR: 1 | POS | INT | 2 | 2016 | 2016 | x=((4*42)*12) | x 4 42 * 12 * = | x:calorie 4:dozen 42:bar *:dozen 12:calorie *:calorie =:calorie
EXPR: 1 | POS | INT | 2 | 2016 | 2016 | ((4*42)*12)=x | 4 42 * 12 * x = | 4:dozen 42:bar *:bar 12:calorie *:calorie x:calorie =:calorie
EXPR: 1 | POS | INT | 2 | 2016 | 2016 | x=((4*42)*12) | x 4 42 * 12 * = | x:calorie 4:dozen 42:bar *:bar 12:calorie *:calorie =:calorie
EXPR: 1 | POS | INT | 2 | 2016 | 2016 | (12*(4*42))=x | 12 4 42 * * x = | 12:calorie 4:dozen 42:bar *:bar *:calorie x:calorie =:calorie
EXPR: 0 | POS | INT | 2 | 2016 | 126 | x=((12/4)*42) | x 12 4 / 42 * = | x:calorie 12:calorie 4:dozen /:calorie 42:bar *:calorie =:calorie
EXPR: 1 | POS | INT | 2 | 2016 | 2016 | x=(12*(4*42)) | x 12 4 42 * * = | x:calorie 12:calorie 4:dozen 42:bar *:dozen *:calorie =:calorie
EXPR: 1 | POS | INT | 2 | 2016 | 2016 | x=(12*(4*42)) | x 12 4 42 * * = | x:calorie 12:calorie 4:dozen 42:bar *:bar *:calorie =:calorie
EXPR: 1 | POS | INT | 2 | 2016 | 2016 | (12*(4*42))=x | 12 4 42 * * x = | 12:calorie 4:dozen 42:bar *:dozen *:calorie x:calorie =:calorie
EXPR: 1 | POS | INT | 2 | 2016 | 2016 | ((4*42)*12)=x | 4 42 * 12 * x = | 4:dozen 42:bar *:dozen 12:calorie *:calorie x:calorie =:calorie
EXPR: 1 | POS | INT | 3 | 2016 | 2016 | x=((4*42)*12) | x 4 42 * 12 * = | x:calorie 4:dozen 42:bar *:dozen 12:calorie *:calorie =:calorie
EXPR: 1 | POS | INT | 3 | 2016 | 2016 | x=((4*42)*12) | x 4 42 * 12 * = | x:calorie 4:dozen 42:bar *:bar 12:calorie *:calorie =:calorie
EXPR: 0 | POS | INT | 3 | 2016 | 126 | x=((12/4)*42) | x 12 4 / 42 * = | x:calorie 12:calorie 4:dozen /:calorie 42:bar *:calorie =:calorie
EXPR: 1 | POS | INT | 3 | 2016 | 2016 | (12*(4*42))=x | 12 4 42 * * x = | 12:calorie 4:dozen 42:bar *:dozen *:calorie x:calorie =:calorie
EXPR: 1 | POS | INT | 3 | 2016 | 2016 | ((4*42)*12)=x | 4 42 * 12 * x = | 4:dozen 42:bar *:bar 12:calorie *:calorie x:calorie =:calorie
EXPR: 1 | POS | INT | 3 | 2016 | 2016 | (12*(4*42))=x | 12 4 42 * * x = | 12:calorie 4:dozen 42:bar *:bar *:calorie x:calorie =:calorie
EXPR: 1 | POS | INT | 3 | 2016 | 2016 | x=(12*(4*42)) | x 12 4 42 * * = | x:calorie 12:calorie 4:dozen 42:bar *:dozen *:calorie =:calorie
EXPR: 1 | POS | INT | 3 | 2016 | 2016 | ((4*42)*12)=x | 4 42 * 12 * x = | 4:dozen 42:bar *:dozen 12:calorie *:calorie x:calorie =:calorie
EXPR: 0 | POS | INT | 4 | 2016 | 126 | ((4/42)*x)=12 | 4 42 / x * 12 = | 4:dozen 42:bar /:dozen x:calorie *:calorie 12:calorie =:calorie
EXPR: 0 | POS | INT | 4 | 2016 | 126 | 12=(x*(4/42)) | 12 x 4 42 / * = | 12:calorie x:calorie 4:dozen 42:bar /:dozen *:calorie =:calorie
EXPR: 1 | POS | INT | 4 | 2016 | 2016 | 12=(x/(4*42)) | 12 x 4 42 * / = | 12:calorie x:calorie 4:dozen 42:bar *:dozen /:calorie =:calorie
EXPR: 0 | POS | INT | 4 | 2016 | 126 | 12=((x*4)/42) | 12 x 4 * 42 / = | 12:calorie x:calorie 4:dozen *:calorie 42:bar /:calorie =:calorie
EXPR: 0 | POS | INT | 4 | 2016 | 126 | (4*(x/42))=12 | 4 x 42 / * 12 = | 4:dozen x:calorie 42:bar /:calorie *:calorie 12:calorie =:calorie
EXPR: 1 | POS | INT | 5 | 2016 | 2016 | (42*(4*12))=x | 42 4 12 * * x = | 42:bar 4:dozen 12:calorie *:calorie *:calorie x:calorie =:calorie
EXPR: 1 | POS | INT | 5 | 2016 | 2016 | x=(42*(4*12)) | x 42 4 12 * * = | x:calorie 42:bar 4:dozen 12:calorie *:calorie *:calorie =:calorie
EXPR: 0 | POS | INT | 5 | 2016 | 126 | x=((12*42)/4) | x 12 42 * 4 / = | x:calorie 12:calorie 42:bar *:calorie 4:dozen /:calorie =:calorie
EXPR: 1 | POS | INT | 6 | 2016 | 2016 | (42*(4*12))=x | 42 4 12 * * x = | 42:bar 4:dozen 12:calorie *:calorie *:calorie x:calorie =:calorie
EXPR: 0 | POS | INT | 6 | 2016 | 126 | (12*(42/4))=x | 12 42 4 / * x = | 12:calorie 42:bar 4:dozen /:bar *:calorie x:calorie =:calorie
EXPR: 1 | POS | INT | 6 | 2016 | 2016 | x=(42*(4*12)) | x 42 4 12 * * = | x:calorie 42:bar 4:dozen 12:calorie *:calorie *:calorie =:calorie
EXPR: 0 | POS | INT | 6 | 2016 | 126 | x=((12*42)/4) | x 12 42 * 4 / = | x:calorie 12:calorie 42:bar *:calorie 4:dozen /:calorie =:calorie
EXPR: 0 | POS | INT | 7 | 2016 | 126 | (42*(12/4))=x | 42 12 4 / * x = | 42:bar 12:calorie 4:dozen /:calorie *:calorie x:calorie =:calorie
EXPR: 0 | POS | INT | 8 | 2016 | 126 | (42*(12/4))=x | 42 12 4 / * x = | 42:bar 12:calorie 4:dozen /:calorie *:calorie x:calorie =:calorie
EXPR: 0 | POS | INT | 10 | 2016 | 90 | x=((4*12)+42) | x 4 12 * 42 + = | x:calorie 4:dozen 12:calorie *:calorie 42:calorie +:calorie =:calorie
EXPR: 0 | POS | INT | 10 | 2016 | 672 | x=((4+12)*42) | x 4 12 + 42 * = | x:calorie 4:calorie 12:calorie +:calorie 42:bar *:calorie =:calorie
EXPR: 1 | POS | INT | 10 | 2016 | 2016 | x=((4*12)*42) | x 4 12 * 42 * = | x:calorie 4:dozen 12:calorie *:calorie 42:dozen *:calorie =:calorie
EXPR: 0 | POS | INT | 10 | 2016 | 216 | (4*(12+42))=x | 4 12 42 + * x = | 4:dozen 12:calorie 42:calorie +:calorie *:calorie x:calorie =:calorie
EXPR: 1 | POS | INT | 10 | 2016 | 2016 | (4*(12*42))=x | 4 12 42 * * x = | 4:dozen 12:calorie 42:dozen *:calorie *:calorie x:calorie =:calorie
EXPR: 1 | POS | INT | 10 | 2016 | 2016 | (4*(12*42))=x | 4 12 42 * * x = | 4:dozen 12:calorie 42:bar *:bar *:bar x:bar =:bar
EXPR: 1 | POS | INT | 10 | 2016 | 2016 | x=((4*12)*42) | x 4 12 * 42 * = | x:calorie 4:dozen 12:calorie *:dozen 42:calorie *:calorie =:calorie
EXPR: 1 | POS | INT | 10 | 2016 | 2016 | (4*(12*42))=x | 4 12 42 * * x = | 4:bar 12:calorie 42:bar *:calorie *:calorie x:calorie =:calorie
EXPR: 1 | POS | INT | 10 | 2016 | 2016 | (4*(12*42))=x | 4 12 42 * * x = | 4:dozen 12:calorie 42:bar *:calorie *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 2016 | 14 | x=((4/12)*42) | x 4 12 / 42 * = | x:dozen 4:dozen 12:calorie /:dozen 42:bar *:dozen =:dozen
EXPR: 1 | POS | INT | 10 | 2016 | 2016 | ((4*12)*42)=x | 4 12 * 42 * x = | 4:bar 12:calorie *:calorie 42:bar *:calorie x:calorie =:calorie
EXPR: 1 | POS | INT | 10 | 2016 | 2016 | x=((4*12)*42) | x 4 12 * 42 * = | x:dozen 4:dozen 12:calorie *:dozen 42:bar *:dozen =:dozen
EXPR: 1 | POS | INT | 10 | 2016 | 2016 | (4*(12*42))=x | 4 12 42 * * x = | 4:calorie 12:calorie 42:bar *:bar *:calorie x:calorie =:calorie
EXPR: 0 | POS | INT | 10 | 2016 | 14 | ((4/12)*42)=x | 4 12 / 42 * x = | 4:dozen 12:calorie /:dozen 42:bar *:dozen x:dozen =:dozen
EXPR: 1 | POS | INT | 10 | 2016 | 2016 | ((4*12)*42)=x | 4 12 * 42 * x = | 4:dozen 12:calorie *:dozen 42:bar *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 2016 | 216 | x=(4*(12+42)) | x 4 12 42 + * = | x:calorie 4:dozen 12:calorie 42:calorie +:calorie *:calorie =:calorie
EXPR: 1 | POS | INT | 10 | 2016 | 2016 | ((4*12)*42)=x | 4 12 * 42 * x = | 4:dozen 12:calorie *:calorie 42:bar *:bar x:bar =:bar
EXPR: 1 | POS | INT | 10 | 2016 | 2016 | x=((4*12)*42) | x 4 12 * 42 * = | x:bar 4:dozen 12:calorie *:calorie 42:bar *:bar =:bar
EXPR: 0 | POS | INT | 10 | 2016 | 14 | x=((4/12)*42) | x 4 12 / 42 * = | x:calorie 4:dozen 12:calorie /:dozen 42:calorie *:calorie =:calorie
EXPR: 0 | POS | INT | 10 | 2016 | 508 | (4+(12*42))=x | 4 12 42 * + x = | 4:calorie 12:calorie 42:bar *:calorie +:calorie x:calorie =:calorie
EXPR: 1 | POS | INT | 10 | 2016 | 2016 | x=((4*12)*42) | x 4 12 * 42 * = | x:calorie 4:bar 12:calorie *:calorie 42:bar *:calorie =:calorie
EXPR: 1 | POS | INT | 10 | 2016 | 2016 | x=(4*(12*42)) | x 4 12 42 * * = | x:dozen 4:dozen 12:calorie 42:bar *:bar *:dozen =:dozen
EXPR: 1 | POS | INT | 10 | 2016 | 2016 | (4*(12*42))=x | 4 12 42 * * x = | 4:dozen 12:calorie 42:bar *:bar *:dozen x:dozen =:dozen
EXPR: 1 | POS | INT | 10 | 2016 | 2016 | x=(4*(12*42)) | x 4 12 42 * * = | x:dozen 4:dozen 12:calorie 42:bar *:calorie *:dozen =:dozen
EXPR: 1 | POS | INT | 11 | 2016 | 2016 | x=((4*12)*42) | x 4 12 * 42 * = | x:calorie 4:dozen 12:calorie *:calorie 42:dozen *:calorie =:calorie
EXPR: 1 | POS | INT | 11 | 2016 | 2016 | (4*(12*42))=x | 4 12 42 * * x = | 4:dozen 12:calorie 42:dozen *:calorie *:calorie x:calorie =:calorie
EXPR: 0 | POS | INT | 11 | 2016 | 672 | x=((4+12)*42) | x 4 12 + 42 * = | x:calorie 4:calorie 12:calorie +:calorie 42:bar *:calorie =:calorie
EXPR: 1 | POS | INT | 11 | 2016 | 2016 | x=((4*12)*42) | x 4 12 * 42 * = | x:calorie 4:dozen 12:calorie *:dozen 42:calorie *:calorie =:calorie
EXPR: 1 | POS | INT | 11 | 2016 | 2016 | (4*(12*42))=x | 4 12 42 * * x = | 4:bar 12:calorie 42:bar *:calorie *:calorie x:calorie =:calorie
EXPR: 1 | POS | INT | 11 | 2016 | 2016 | (4*(12*42))=x | 4 12 42 * * x = | 4:dozen 12:calorie 42:bar *:calorie *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 11 | 2016 | 14 | x=((4/12)*42) | x 4 12 / 42 * = | x:dozen 4:dozen 12:calorie /:dozen 42:bar *:dozen =:dozen
EXPR: 0 | POS | INT | 11 | 2016 | 216 | (4*(12+42))=x | 4 12 42 + * x = | 4:dozen 12:calorie 42:calorie +:calorie *:calorie x:calorie =:calorie
EXPR: 1 | POS | INT | 11 | 2016 | 2016 | ((4*12)*42)=x | 4 12 * 42 * x = | 4:bar 12:calorie *:calorie 42:bar *:calorie x:calorie =:calorie
EXPR: 1 | POS | INT | 11 | 2016 | 2016 | x=((4*12)*42) | x 4 12 * 42 * = | x:dozen 4:dozen 12:calorie *:dozen 42:bar *:dozen =:dozen
