parameters: n=5 l=2 k=1 p=5 q=2 m=8
TOTAL 136 solutions found
EXPR: 0 | POS | INT | 0 | 18 | 2 | x=(6/3) | x 6 3 / = | x:balloon 6:balloon 3:time /:balloon =:balloon
EXPR: 0 | POS | INT | 0 | 18 | 2 | (6/3)=x | 6 3 / x = | 6:balloon 3:time /:balloon x:balloon =:balloon
EXPR: 1 | POS | INT | 0 | 18 | 18 | (6*3)=x | 6 3 * x = | 6:balloon 3:time *:balloon x:balloon =:balloon
EXPR: 1 | POS | INT | 0 | 18 | 18 | x=(6*3) | x 6 3 * = | x:balloon 6:balloon 3:time *:balloon =:balloon
EXPR: 0 | POS | INT | 1 | 18 | 2 | x=(6/3) | x 6 3 / = | x:balloon 6:balloon 3:time /:balloon =:balloon
EXPR: 1 | POS | INT | 1 | 18 | 18 | (6*3)=x | 6 3 * x = | 6:balloon 3:time *:balloon x:balloon =:balloon
EXPR: 1 | POS | INT | 1 | 18 | 18 | x=(6*3) | x 6 3 * = | x:balloon 6:balloon 3:time *:balloon =:balloon
EXPR: 0 | POS | INT | 1 | 18 | 2 | (6/3)=x | 6 3 / x = | 6:balloon 3:time /:balloon x:balloon =:balloon
EXPR: 1 | POS | INT | 2 | 18 | 18 | 6=(x/3) | 6 x 3 / = | 6:balloon x:balloon 3:time /:balloon =:balloon
EXPR: 0 | POS | INT | 2 | 18 | 2 | 6=(x*3) | 6 x 3 * = | 6:balloon x:balloon 3:time *:balloon =:balloon
EXPR: 0 | POS | INT | 2 | 18 | 2 | 6=(3*x) | 6 3 x * = | 6:balloon 3:time x:balloon *:balloon =:balloon
EXPR: 1 | POS | INT | 4 | 18 | 18 | (x/3)=6 | x 3 / 6 = | x:balloon 3:time /:balloon 6:balloon =:balloon
EXPR: 0 | POS | INT | 4 | 18 | 2 | (3*x)=6 | 3 x * 6 = | 3:time x:balloon *:balloon 6:balloon =:balloon
EXPR: 0 | POS | INT | 4 | 18 | 2 | (x*3)=6 | x 3 * 6 = | x:balloon 3:time *:balloon 6:balloon =:balloon
EXPR: 1 | POS | INT | 10 | 18 | 18 | x=(6*3) | x 6 3 * = | x:time 6:balloon 3:time *:time =:time
EXPR: 0 | POS | INT | 10 | 18 | 9 | (6+3)=x | 6 3 + x = | 6:balloon 3:balloon +:balloon x:balloon =:balloon
EXPR: 0 | POS | INT | 10 | 18 | 3 | (6-3)=x | 6 3 - x = | 6:balloon 3:balloon -:balloon x:balloon =:balloon
EXPR: 0 | POS | INT | 10 | 18 | 3 | x=(6-3) | x 6 3 - = | x:balloon 6:balloon 3:balloon -:balloon =:balloon
EXPR: 0 | POS | INT | 10 | 18 | 9 | x=(6+3) | x 6 3 + = | x:balloon 6:balloon 3:balloon +:balloon =:balloon
EXPR: 1 | POS | INT | 10 | 18 | 18 | (6*3)=x | 6 3 * x = | 6:balloon 3:time *:time x:time =:time
EXPR: 0 | POS | INT | 11 | 18 | 9 | (6+3)=x | 6 3 + x = | 6:balloon 3:balloon +:balloon x:balloon =:balloon
EXPR: 1 | POS | INT | 11 | 18 | 18 | x=(6*3) | x 6 3 * = | x:time 6:balloon 3:time *:time =:time
EXPR: 0 | POS | INT | 11 | 18 | 3 | x=(6-3) | x 6 3 - = | x:balloon 6:balloon 3:balloon -:balloon =:balloon
EXPR: 0 | POS | INT | 11 | 18 | 9 | x=(6+3) | x 6 3 + = | x:balloon 6:balloon 3:balloon +:balloon =:balloon
EXPR: 0 | POS | INT | 11 | 18 | 3 | (6-3)=x | 6 3 - x = | 6:balloon 3:balloon -:balloon x:balloon =:balloon
EXPR: 1 | POS | INT | 11 | 18 | 18 | (6*3)=x | 6 3 * x = | 6:balloon 3:time *:time x:time =:time
EXPR: 1 | POS | INT | 12 | 18 | 18 | (x/6)=3 | x 6 / 3 = | x:time 6:balloon /:time 3:time =:time
EXPR: 0 | POS | INT | 12 | 18 | 9 | (x-6)=3 | x 6 - 3 = | x:balloon 6:balloon -:balloon 3:balloon =:balloon
EXPR: 0 | POS | INT | 12 | 18 | 3 | (6-x)=3 | 6 x - 3 = | 6:balloon x:balloon -:balloon 3:balloon =:balloon
EXPR: 0 | POS | INT | 12 | 18 | 9 | 6=(x-3) | 6 x 3 - = | 6:balloon x:balloon 3:balloon -:balloon =:balloon
EXPR: 0 | POS | INT | 12 | 18 | 3 | 6=(x+3) | 6 x 3 + = | 6:balloon x:balloon 3:balloon +:balloon =:balloon
EXPR: 0 | POS | INT | 12 | 18 | 2 | 6=(3*x) | 6 3 x * = | 6:time 3:time x:balloon *:time =:time
