parameters: n=9 l=4 k=1 p=5 q=2 m=10
TOTAL 1000 solutions found
EXPR: 0 | POS | INT | 0 | 286 | 1521 | x=((13*9)*(10+3)) | x 13 9 * 10 3 + * = | x:dollar 13:dollar 9:hour *:dollar 10:hour 3:hour +:hour *:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 286 | 819 | x=((13*9)*(10-3)) | x 13 9 * 10 3 - * = | x:dollar 13:dollar 9:hour *:dollar 10:hour 3:hour -:hour *:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 286 | 9 | ((13*9)/(10+3))=x | 13 9 * 10 3 + / x = | 13:dollar 9:hour *:dollar 10:hour 3:hour +:hour /:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 286 | 9 | x=((13*9)/(10+3)) | x 13 9 * 10 3 + / = | x:dollar 13:dollar 9:hour *:dollar 10:hour 3:hour +:hour /:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 286 | 26 | (13*((9-10)+3))=x | 13 9 10 - 3 + * x = | 13:dollar 9:hour 10:hour -:hour 3:hour +:hour *:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 286 | 208 | (13*(9+(10-3)))=x | 13 9 10 3 - + * x = | 13:dollar 9:hour 10:hour 3:hour -:hour +:hour *:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 286 | 26 | (13*(9-(10-3)))=x | 13 9 10 3 - - * x = | 13:dollar 9:hour 10:hour 3:hour -:hour -:hour *:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 286 | 1521 | ((13*9)*(10+3))=x | 13 9 * 10 3 + * x = | 13:dollar 9:hour *:dollar 10:hour 3:hour +:hour *:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 286 | 208 | (13*((9+10)-3))=x | 13 9 10 + 3 - * x = | 13:dollar 9:hour 10:hour +:hour 3:hour -:hour *:dollar x:dollar =:dollar
EXPR: 1 | POS | INT | 0 | 286 | 286 | (13*((9+10)+3))=x | 13 9 10 + 3 + * x = | 13:dollar 9:hour 10:hour +:hour 3:hour +:hour *:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 286 | 208 | x=(13*((9+10)-3)) | x 13 9 10 + 3 - * = | x:dollar 13:dollar 9:hour 10:hour +:hour 3:hour -:hour *:dollar =:dollar
EXPR: 1 | POS | INT | 0 | 286 | 286 | x=(13*((9+10)+3)) | x 13 9 10 + 3 + * = | x:dollar 13:dollar 9:hour 10:hour +:hour 3:hour +:hour *:dollar =:dollar
EXPR: 1 | POS | INT | 0 | 286 | 286 | (13*(9+(10+3)))=x | 13 9 10 3 + + * x = | 13:dollar 9:hour 10:hour 3:hour +:hour +:hour *:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 286 | 819 | ((13*9)*(10-3))=x | 13 9 * 10 3 - * x = | 13:dollar 9:hour *:dollar 10:hour 3:hour -:hour *:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 286 | 26 | x=(13*((9-10)+3)) | x 13 9 10 - 3 + * = | x:dollar 13:dollar 9:hour 10:hour -:hour 3:hour +:hour *:dollar =:dollar
EXPR: 1 | POS | INT | 0 | 286 | 286 | x=(13*(9+(10+3))) | x 13 9 10 3 + + * = | x:dollar 13:dollar 9:hour 10:hour 3:hour +:hour +:hour *:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 286 | 208 | x=(13*(9+(10-3))) | x 13 9 10 3 - + * = | x:dollar 13:dollar 9:hour 10:hour 3:hour -:hour +:hour *:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 286 | 26 | x=(13*(9-(10-3))) | x 13 9 10 3 - - * = | x:dollar 13:dollar 9:hour 10:hour 3:hour -:hour -:hour *:dollar =:dollar
