parameters: n=9 l=4 k=1 p=5 q=2 m=10
TOTAL 1000 solutions found
EXPR: 0 | POS | INT | 0 | 55 | 8 | (((9+7)/10)*5)=x | 9 7 + 10 / 5 * x = | 9:package 7:package +:package 10:can /:package 5:can *:can x:can =:can
EXPR: 0 | POS | INT | 0 | 55 | 1 | (((9-7)/10)*5)=x | 9 7 - 10 / 5 * x = | 9:package 7:package -:package 10:can /:package 5:can *:can x:can =:can
EXPR: 0 | POS | INT | 0 | 55 | 585 | (9*((7*10)-5))=x | 9 7 10 * 5 - * x = | 9:package 7:package 10:can *:can 5:can -:can *:can x:can =:can
EXPR: 0 | POS | INT | 0 | 55 | 675 | (9*((7*10)+5))=x | 9 7 10 * 5 + * x = | 9:package 7:package 10:can *:can 5:can +:can *:can x:can =:can
EXPR: 0 | POS | INT | 0 | 55 | 155 | (((9+7)*10)-5)=x | 9 7 + 10 * 5 - x = | 9:package 7:package +:package 10:can *:can 5:can -:can x:can =:can
EXPR: 0 | POS | INT | 0 | 55 | 80 | ((9+7)*(10-5))=x | 9 7 + 10 5 - * x = | 9:package 7:package +:package 10:can 5:can -:can *:can x:can =:can
EXPR: 0 | POS | INT | 0 | 55 | 395 | ((9+(7*10))*5)=x | 9 7 10 * + 5 * x = | 9:package 7:package 10:can *:package +:package 5:can *:can x:can =:can
EXPR: 0 | POS | INT | 0 | 55 | 15 | x=(((9-7)*10)-5) | x 9 7 - 10 * 5 - = | x:can 9:package 7:package -:package 10:can *:can 5:can -:can =:can
EXPR: 0 | POS | INT | 0 | 55 | 15 | (((9-7)*10)-5)=x | 9 7 - 10 * 5 - x = | 9:package 7:package -:package 10:can *:can 5:can -:can x:can =:can
EXPR: 0 | POS | INT | 0 | 55 | 585 | x=(9*((7*10)-5)) | x 9 7 10 * 5 - * = | x:can 9:package 7:package 10:can *:can 5:can -:can *:can =:can
EXPR: 0 | POS | INT | 0 | 55 | 675 | x=(9*((7*10)+5)) | x 9 7 10 * 5 + * = | x:can 9:package 7:package 10:can *:can 5:can +:can *:can =:can
