parameters: n=7 l=3 k=1 p=5 q=1 m=9
TOTAL 408 solutions found
SOLN: CORRECT | POS/NEG | INT/FRA | OBJ-SCORE | TRUE-ANS | ANS | INFIX | POSTFIX | TYPED-POSTFIX
EXPR: 0 | POS | INT | 0 | 4 | 6 | x=(8+(2-4)) | x 8 2 4 - + = | x:cup 8:cup 2:cup 4:cup -:cup +:cup =:cup
EXPR: 0 | POS | INT | 0 | 4 | 10 | x=(8-(2-4)) | x 8 2 4 - - = | x:cup 8:cup 2:cup 4:cup -:cup -:cup =:cup
EXPR: 0 | POS | INT | 0 | 4 | 14 | x=(8+(2+4)) | x 8 2 4 + + = | x:cup 8:cup 2:cup 4:cup +:cup +:cup =:cup
EXPR: 0 | POS | INT | 0 | 4 | 2 | x=(8-(2+4)) | x 8 2 4 + - = | x:cup 8:cup 2:cup 4:cup +:cup -:cup =:cup
EXPR: 0 | POS | INT | 0 | 4 | 10 | x=((8-2)+4) | x 8 2 - 4 + = | x:cup 8:cup 2:cup -:cup 4:cup +:cup =:cup
EXPR: 0 | POS | INT | 0 | 4 | 2 | x=((8-2)-4) | x 8 2 - 4 - = | x:cup 8:cup 2:cup -:cup 4:cup -:cup =:cup
EXPR: 0 | POS | INT | 0 | 4 | 6 | x=((8+2)-4) | x 8 2 + 4 - = | x:cup 8:cup 2:cup +:cup 4:cup -:cup =:cup
EXPR: 0 | POS | INT | 0 | 4 | 14 | x=((8+2)+4) | x 8 2 + 4 + = | x:cup 8:cup 2:cup +:cup 4:cup +:cup =:cup
EXPR: 0 | POS | INT | 1 | 4 | 6 | x=(8+(2-4)) | x 8 2 4 - + = | x:cup 8:cup 2:cup 4:cup -:cup +:cup =:cup
EXPR: 0 | POS | INT | 1 | 4 | 10 | x=(8-(2-4)) | x 8 2 4 - - = | x:cup 8:cup 2:cup 4:cup -:cup -:cup =:cup
EXPR: 0 | POS | INT | 1 | 4 | 2 | x=(8-(2+4)) | x 8 2 4 + - = | x:cup 8:cup 2:cup 4:cup +:cup -:cup =:cup
EXPR: 0 | POS | INT | 1 | 4 | 10 | x=((8-2)+4) | x 8 2 - 4 + = | x:cup 8:cup 2:cup -:cup 4:cup +:cup =:cup
EXPR: 0 | POS | INT | 1 | 4 | 14 | x=(8+(2+4)) | x 8 2 4 + + = | x:cup 8:cup 2:cup 4:cup +:cup +:cup =:cup
EXPR: 0 | POS | INT | 1 | 4 | 2 | x=((8-2)-4) | x 8 2 - 4 - = | x:cup 8:cup 2:cup -:cup 4:cup -:cup =:cup
EXPR: 0 | POS | INT | 1 | 4 | 14 | x=((8+2)+4) | x 8 2 + 4 + = | x:cup 8:cup 2:cup +:cup 4:cup +:cup =:cup
EXPR: 0 | POS | INT | 1 | 4 | 6 | x=((8+2)-4) | x 8 2 + 4 - = | x:cup 8:cup 2:cup +:cup 4:cup -:cup =:cup
EXPR: 0 | POS | INT | 2 | 4 | 10 | ((x-8)+2)=4 | x 8 - 2 + 4 = | x:cup 8:cup -:cup 2:cup +:cup 4:cup =:cup
EXPR: 0 | POS | INT | 2 | 4 | 2 | ((8-x)-2)=4 | 8 x - 2 - 4 = | 8:cup x:cup -:cup 2:cup -:cup 4:cup =:cup
EXPR: 0 | POS | INT | 2 | 4 | 10 | (x-(8-2))=4 | x 8 2 - - 4 = | x:cup 8:cup 2:cup -:cup -:cup 4:cup =:cup
EXPR: 0 | POS | INT | 2 | 4 | 2 | 8=(2+(x+4)) | 8 2 x 4 + + = | 8:cup 2:cup x:cup 4:cup +:cup +:cup =:cup
