parameters: n=7 l=3 k=1 p=5 q=1 m=9
TOTAL 408 solutions found
SOLN: CORRECT | POS/NEG | INT/FRA | OBJ-SCORE | TRUE-ANS | ANS | INFIX | POSTFIX | TYPED-POSTFIX
EXPR: 0 | POS | INT | 0 | 4 | 8 | x=(7+(4-3)) | x 7 4 3 - + = | x:balloon 7:balloon 4:balloon 3:balloon -:balloon +:balloon =:balloon
EXPR: 0 | POS | INT | 0 | 4 | 6 | x=(7-(4-3)) | x 7 4 3 - - = | x:balloon 7:balloon 4:balloon 3:balloon -:balloon -:balloon =:balloon
EXPR: 0 | POS | INT | 0 | 4 | 14 | x=(7+(4+3)) | x 7 4 3 + + = | x:balloon 7:balloon 4:balloon 3:balloon +:balloon +:balloon =:balloon
EXPR: 0 | POS | INT | 0 | 4 |  | x=(7-(4+3)) | x 7 4 3 + - = | x:balloon 7:balloon 4:balloon 3:balloon +:balloon -:balloon =:balloon
EXPR: 0 | POS | INT | 0 | 4 | 6 | x=((7-4)+3) | x 7 4 - 3 + = | x:balloon 7:balloon 4:balloon -:balloon 3:balloon +:balloon =:balloon
EXPR: 0 | POS | INT | 0 | 4 |  | x=((7-4)-3) | x 7 4 - 3 - = | x:balloon 7:balloon 4:balloon -:balloon 3:balloon -:balloon =:balloon
EXPR: 0 | POS | INT | 0 | 4 | 8 | x=((7+4)-3) | x 7 4 + 3 - = | x:balloon 7:balloon 4:balloon +:balloon 3:balloon -:balloon =:balloon
EXPR: 0 | POS | INT | 0 | 4 | 14 | x=((7+4)+3) | x 7 4 + 3 + = | x:balloon 7:balloon 4:balloon +:balloon 3:balloon +:balloon =:balloon
EXPR: 0 | POS | INT | 1 | 4 | 8 | x=(7+(4-3)) | x 7 4 3 - + = | x:balloon 7:balloon 4:balloon 3:balloon -:balloon +:balloon =:balloon
EXPR: 0 | POS | INT | 1 | 4 | 6 | x=(7-(4-3)) | x 7 4 3 - - = | x:balloon 7:balloon 4:balloon 3:balloon -:balloon -:balloon =:balloon
EXPR: 0 | POS | INT | 1 | 4 |  | x=(7-(4+3)) | x 7 4 3 + - = | x:balloon 7:balloon 4:balloon 3:balloon +:balloon -:balloon =:balloon
