parameters: n=5 l=2 k=1 p=5 q=2 m=8
TOTAL 136 solutions found
EXPR: 0 | POS | INT | 0 | 52 | 120 | x=(34+86) | x 34 86 + = | x:peach 34:peach 86:peach +:peach =:peach
EXPR: 0 | POS | INT | 0 | 52 | 120 | (34+86)=x | 34 86 + x = | 34:peach 86:peach +:peach x:peach =:peach
EXPR: 0 | POS | INT | 1 | 52 | 120 | x=(34+86) | x 34 86 + = | x:peach 34:peach 86:peach +:peach =:peach
EXPR: 0 | POS | INT | 1 | 52 | 120 | (34+86)=x | 34 86 + x = | 34:peach 86:peach +:peach x:peach =:peach
EXPR: 0 | POS | INT | 2 | 52 | 120 | (x-34)=86 | x 34 - 86 = | x:peach 34:peach -:peach 86:peach =:peach
EXPR: 1 | POS | INT | 2 | 52 | 52 | x=(86-34) | x 86 34 - = | x:peach 86:peach 34:peach -:peach =:peach
EXPR: 1 | POS | INT | 2 | 52 | 52 | (86-34)=x | 86 34 - x = | 86:peach 34:peach -:peach x:peach =:peach
EXPR: 1 | POS | INT | 2 | 52 | 52 | (x+34)=86 | x 34 + 86 = | x:peach 34:peach +:peach 86:peach =:peach
EXPR: 1 | POS | INT | 2 | 52 | 52 | (34+x)=86 | 34 x + 86 = | 34:peach x:peach +:peach 86:peach =:peach
EXPR: 0 | POS | INT | 2 | 52 | 120 | 34=(x-86) | 34 x 86 - = | 34:peach x:peach 86:peach -:peach =:peach
EXPR: 1 | POS | INT | 2 | 52 | 52 | 34=(86-x) | 34 86 x - = | 34:peach 86:peach x:peach -:peach =:peach
EXPR: 1 | POS | INT | 3 | 52 | 52 | x=(86-34) | x 86 34 - = | x:peach 86:peach 34:peach -:peach =:peach
EXPR: 1 | POS | INT | 3 | 52 | 52 | (86-34)=x | 86 34 - x = | 86:peach 34:peach -:peach x:peach =:peach
EXPR: 0 | POS | INT | 4 | 52 | 120 | (x-86)=34 | x 86 - 34 = | x:peach 86:peach -:peach 34:peach =:peach
EXPR: 1 | POS | INT | 4 | 52 | 52 | (86-x)=34 | 86 x - 34 = | 86:peach x:peach -:peach 34:peach =:peach
EXPR: 0 | POS | INT | 4 | 52 | 120 | 86=(x-34) | 86 x 34 - = | 86:peach x:peach 34:peach -:peach =:peach
EXPR: 1 | POS | INT | 4 | 52 | 52 | 86=(34+x) | 86 34 x + = | 86:peach 34:peach x:peach +:peach =:peach
EXPR: 1 | POS | INT | 4 | 52 | 52 | 86=(x+34) | 86 x 34 + = | 86:peach x:peach 34:peach +:peach =:peach
EXPR: 0 | POS | INT | 10 | 52 | 2924 | (34*86)=x | 34 86 * x = | 34:peach 86:NONE *:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 10 | 52 | 2924 | x=(34*86) | x 34 86 * = | x:peach 34:NONE 86:peach *:peach =:peach
EXPR: 0 | POS | INT | 10 | 52 | 2924 | (34*86)=x | 34 86 * x = | 34:NONE 86:peach *:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 10 | 52 | 2924 | (34*86)=x | 34 86 * x = | 34:NONE 86:peach *:peach x:peach =:peach
EXPR: 0 | POS | INT | 10 | 52 | 2924 | x=(34*86) | x 34 86 * = | x:NONE 34:peach 86:NONE *:NONE =:NONE
EXPR: 0 | POS | INT | 10 | 52 | 2924 | (34*86)=x | 34 86 * x = | 34:peach 86:NONE *:peach x:peach =:peach
EXPR: 0 | POS | INT | 10 | 52 | 2924 | x=(34*86) | x 34 86 * = | x:peach 34:peach 86:NONE *:peach =:peach
EXPR: 0 | POS | INT | 10 | 52 | 2924 | x=(34*86) | x 34 86 * = | x:NONE 34:NONE 86:peach *:NONE =:NONE
EXPR: 0 | POS | INT | 11 | 52 | 2924 | (34*86)=x | 34 86 * x = | 34:NONE 86:peach *:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 11 | 52 | 2924 | x=(34*86) | x 34 86 * = | x:peach 34:NONE 86:peach *:peach =:peach
EXPR: 0 | POS | INT | 11 | 52 | 2924 | x=(34*86) | x 34 86 * = | x:NONE 34:NONE 86:peach *:NONE =:NONE
EXPR: 0 | POS | INT | 11 | 52 | 2924 | (34*86)=x | 34 86 * x = | 34:NONE 86:peach *:peach x:peach =:peach
EXPR: 0 | POS | INT | 11 | 52 | 2924 | x=(34*86) | x 34 86 * = | x:NONE 34:peach 86:NONE *:NONE =:NONE
EXPR: 0 | POS | INT | 11 | 52 | 2924 | (34*86)=x | 34 86 * x = | 34:peach 86:NONE *:peach x:peach =:peach
