parameters: n=5 l=2 k=1 p=5 q=1 m=8
TOTAL 28 solutions found
EXPR: 0 | POS | INT | 0 | 45 | 14 | (9+5)=x | 9 5 + x = | 9:dollar 5:dollar +:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 45 | 4 | x=(9-5) | x 9 5 - = | x:dollar 9:dollar 5:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 45 | 4 | (9-5)=x | 9 5 - x = | 9:dollar 5:dollar -:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 45 | 14 | x=(9+5) | x 9 5 + = | x:dollar 9:dollar 5:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 45 | 4 | x=(9-5) | x 9 5 - = | x:dollar 9:dollar 5:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 45 | 14 | x=(9+5) | x 9 5 + = | x:dollar 9:dollar 5:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 45 | 14 | (9+5)=x | 9 5 + x = | 9:dollar 5:dollar +:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 45 | 4 | (9-5)=x | 9 5 - x = | 9:dollar 5:dollar -:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 45 | 4 | 9=(5+x) | 9 5 x + = | 9:dollar 5:dollar x:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 45 | 4 | 9=(x+5) | 9 x 5 + = | 9:dollar x:dollar 5:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 45 | 14 | (x-9)=5 | x 9 - 5 = | x:dollar 9:dollar -:dollar 5:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 45 | 14 | 9=(x-5) | 9 x 5 - = | 9:dollar x:dollar 5:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 45 | 4 | (9-x)=5 | 9 x - 5 = | 9:dollar x:dollar -:dollar 5:dollar =:dollar
EXPR: 0 | POS | INT | 4 | 45 | 14 | (x-5)=9 | x 5 - 9 = | x:dollar 5:dollar -:dollar 9:dollar =:dollar
EXPR: 0 | POS | INT | 4 | 45 | 4 | (x+5)=9 | x 5 + 9 = | x:dollar 5:dollar +:dollar 9:dollar =:dollar
EXPR: 0 | POS | INT | 4 | 45 | 14 | 5=(x-9) | 5 x 9 - = | 5:dollar x:dollar 9:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 4 | 45 | 4 | 5=(9-x) | 5 9 x - = | 5:dollar 9:dollar x:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 4 | 45 | 4 | (5+x)=9 | 5 x + 9 = | 5:dollar x:dollar +:dollar 9:dollar =:dollar
NET 18 non-negative, integer-valued solutions found out of 28 total solutions
