parameters: n=5 l=2 k=1 p=5 q=1 m=8
TOTAL 28 solutions found
EXPR: 1 | POS | INT | 0 | 7092 | 7092 | (1986+5106)=x | 1986 5106 + x = | 1986:book 5106:book +:book x:book =:book
EXPR: 1 | POS | INT | 0 | 7092 | 7092 | x=(1986+5106) | x 1986 5106 + = | x:book 1986:book 5106:book +:book =:book
EXPR: 1 | POS | INT | 1 | 7092 | 7092 | x=(1986+5106) | x 1986 5106 + = | x:book 1986:book 5106:book +:book =:book
EXPR: 1 | POS | INT | 1 | 7092 | 7092 | (1986+5106)=x | 1986 5106 + x = | 1986:book 5106:book +:book x:book =:book
EXPR: 0 | POS | INT | 2 | 7092 | 3120 | x=(5106-1986) | x 5106 1986 - = | x:book 5106:book 1986:book -:book =:book
EXPR: 0 | POS | INT | 2 | 7092 | 3120 | 1986=(5106-x) | 1986 5106 x - = | 1986:book 5106:book x:book -:book =:book
EXPR: 1 | POS | INT | 2 | 7092 | 7092 | (x-1986)=5106 | x 1986 - 5106 = | x:book 1986:book -:book 5106:book =:book
EXPR: 1 | POS | INT | 2 | 7092 | 7092 | 1986=(x-5106) | 1986 x 5106 - = | 1986:book x:book 5106:book -:book =:book
EXPR: 0 | POS | INT | 2 | 7092 | 3120 | (x+1986)=5106 | x 1986 + 5106 = | x:book 1986:book +:book 5106:book =:book
EXPR: 0 | POS | INT | 2 | 7092 | 3120 | (5106-1986)=x | 5106 1986 - x = | 5106:book 1986:book -:book x:book =:book
EXPR: 0 | POS | INT | 2 | 7092 | 3120 | (1986+x)=5106 | 1986 x + 5106 = | 1986:book x:book +:book 5106:book =:book
EXPR: 0 | POS | INT | 3 | 7092 | 3120 | x=(5106-1986) | x 5106 1986 - = | x:book 5106:book 1986:book -:book =:book
EXPR: 0 | POS | INT | 3 | 7092 | 3120 | (5106-1986)=x | 5106 1986 - x = | 5106:book 1986:book -:book x:book =:book
EXPR: 1 | POS | INT | 4 | 7092 | 7092 | (x-5106)=1986 | x 5106 - 1986 = | x:book 5106:book -:book 1986:book =:book
EXPR: 1 | POS | INT | 4 | 7092 | 7092 | 5106=(x-1986) | 5106 x 1986 - = | 5106:book x:book 1986:book -:book =:book
EXPR: 0 | POS | INT | 4 | 7092 | 3120 | 5106=(x+1986) | 5106 x 1986 + = | 5106:book x:book 1986:book +:book =:book
EXPR: 0 | POS | INT | 4 | 7092 | 3120 | 5106=(1986+x) | 5106 1986 x + = | 5106:book 1986:book x:book +:book =:book
EXPR: 0 | POS | INT | 4 | 7092 | 3120 | (5106-x)=1986 | 5106 x - 1986 = | 5106:book x:book -:book 1986:book =:book
NET 18 non-negative, integer-valued solutions found out of 28 total solutions
