parameters: n=9 l=4 k=1 p=5 q=1 m=10
TOTAL 1000 solutions found
EXPR: 1 | POS | INT | 0 | 67 | 67 | x=(30+(49+(46-58))) | x 30 49 46 58 - + + = | x:dollar 30:dollar 49:dollar 46:dollar 58:dollar -:dollar +:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 67 | 183 | x=(30+(49+(46+58))) | x 30 49 46 58 + + + = | x:dollar 30:dollar 49:dollar 46:dollar 58:dollar +:dollar +:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 67 | 91 | x=(30+(49-(46-58))) | x 30 49 46 58 - - + = | x:dollar 30:dollar 49:dollar 46:dollar 58:dollar -:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 67 | 85 | x=(30-(49-(46+58))) | x 30 49 46 58 + - - = | x:dollar 30:dollar 49:dollar 46:dollar 58:dollar +:dollar -:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 67 | 85 | x=((30-(49-46))+58) | x 30 49 46 - - 58 + = | x:dollar 30:dollar 49:dollar 46:dollar -:dollar -:dollar 58:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 67 | 91 | x=((30+(49-46))+58) | x 30 49 46 - + 58 + = | x:dollar 30:dollar 49:dollar 46:dollar -:dollar +:dollar 58:dollar +:dollar =:dollar
EXPR: 1 | POS | INT | 0 | 67 | 67 | x=((30+(49+46))-58) | x 30 49 46 + + 58 - = | x:dollar 30:dollar 49:dollar 46:dollar +:dollar +:dollar 58:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 67 | 183 | x=((30+(49+46))+58) | x 30 49 46 + + 58 + = | x:dollar 30:dollar 49:dollar 46:dollar +:dollar +:dollar 58:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 67 | 85 | x=((30-49)+(46+58)) | x 30 49 - 46 58 + + = | x:dollar 30:dollar 49:dollar -:dollar 46:dollar 58:dollar +:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 67 | 91 | x=(((30+49)-46)+58) | x 30 49 + 46 - 58 + = | x:dollar 30:dollar 49:dollar +:dollar 46:dollar -:dollar 58:dollar +:dollar =:dollar
EXPR: 1 | POS | INT | 0 | 67 | 67 | x=(((30+49)+46)-58) | x 30 49 + 46 + 58 - = | x:dollar 30:dollar 49:dollar +:dollar 46:dollar +:dollar 58:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 67 | 85 | x=(((30-49)+46)+58) | x 30 49 - 46 + 58 + = | x:dollar 30:dollar 49:dollar -:dollar 46:dollar +:dollar 58:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 67 | 183 | x=(30+((49+46)+58)) | x 30 49 46 + 58 + + = | x:dollar 30:dollar 49:dollar 46:dollar +:dollar 58:dollar +:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 67 | 85 | x=(30-((49-46)-58)) | x 30 49 46 - 58 - - = | x:dollar 30:dollar 49:dollar 46:dollar -:dollar 58:dollar -:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 67 | 91 | x=(30+((49-46)+58)) | x 30 49 46 - 58 + + = | x:dollar 30:dollar 49:dollar 46:dollar -:dollar 58:dollar +:dollar +:dollar =:dollar
EXPR: 1 | POS | INT | 0 | 67 | 67 | x=(30+((49+46)-58)) | x 30 49 46 + 58 - + = | x:dollar 30:dollar 49:dollar 46:dollar +:dollar 58:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 67 | 183 | x=(((30+49)+46)+58) | x 30 49 + 46 + 58 + = | x:dollar 30:dollar 49:dollar +:dollar 46:dollar +:dollar 58:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 67 | 91 | x=((30+49)-(46-58)) | x 30 49 + 46 58 - - = | x:dollar 30:dollar 49:dollar +:dollar 46:dollar 58:dollar -:dollar -:dollar =:dollar
EXPR: 1 | POS | INT | 0 | 67 | 67 | x=((30+49)+(46-58)) | x 30 49 + 46 58 - + = | x:dollar 30:dollar 49:dollar +:dollar 46:dollar 58:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 67 | 183 | x=((30+49)+(46+58)) | x 30 49 + 46 58 + + = | x:dollar 30:dollar 49:dollar +:dollar 46:dollar 58:dollar +:dollar +:dollar =:dollar
EXPR: 1 | POS | INT | 1 | 67 | 67 | x=(30+(49+(46-58))) | x 30 49 46 58 - + + = | x:dollar 30:dollar 49:dollar 46:dollar 58:dollar -:dollar +:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 67 | 183 | x=(30+(49+(46+58))) | x 30 49 46 58 + + + = | x:dollar 30:dollar 49:dollar 46:dollar 58:dollar +:dollar +:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 67 | 91 | x=(30+(49-(46-58))) | x 30 49 46 58 - - + = | x:dollar 30:dollar 49:dollar 46:dollar 58:dollar -:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 67 | 85 | x=(30-(49-(46+58))) | x 30 49 46 58 + - - = | x:dollar 30:dollar 49:dollar 46:dollar 58:dollar +:dollar -:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 67 | 85 | x=((30-(49-46))+58) | x 30 49 46 - - 58 + = | x:dollar 30:dollar 49:dollar 46:dollar -:dollar -:dollar 58:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 67 | 91 | x=((30+(49-46))+58) | x 30 49 46 - + 58 + = | x:dollar 30:dollar 49:dollar 46:dollar -:dollar +:dollar 58:dollar +:dollar =:dollar
