parameters: n=5 l=2 k=1 p=5 q=3 m=8
TOTAL 258 solutions found
EXPR: 0 | POS | INT | 10 | 1.84 | 63 | x=(9*7) | x 9 7 * = | x:dollar 9:penny 7:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 1.84 | 63 | x=(9*7) | x 9 7 * = | x:dollar 9:dollar 7:quarter *:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 1.84 | 63 | x=(9*7) | x 9 7 * = | x:quarter 9:penny 7:quarter *:quarter =:quarter
EXPR: 0 | POS | INT | 10 | 1.84 | 63 | x=(9*7) | x 9 7 * = | x:penny 9:penny 7:quarter *:penny =:penny
EXPR: 0 | POS | INT | 11 | 1.84 | 63 | x=(9*7) | x 9 7 * = | x:dollar 9:penny 7:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 11 | 1.84 | 63 | x=(9*7) | x 9 7 * = | x:quarter 9:penny 7:quarter *:quarter =:quarter
EXPR: 0 | POS | INT | 11 | 1.84 | 63 | x=(9*7) | x 9 7 * = | x:dollar 9:dollar 7:quarter *:dollar =:dollar
EXPR: 0 | POS | INT | 11 | 1.84 | 63 | x=(9*7) | x 9 7 * = | x:penny 9:penny 7:quarter *:penny =:penny
EXPR: 0 | POS | INT | 12 | 1.84 | 63 | 9=(x/7) | 9 x 7 / = | 9:penny x:penny 7:quarter /:penny =:penny
EXPR: 0 | POS | INT | 12 | 1.84 | 63 | (x/9)=7 | x 9 / 7 = | x:dollar 9:penny /:dollar 7:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 1.84 | 63 | (x/9)=7 | x 9 / 7 = | x:quarter 9:penny /:quarter 7:quarter =:quarter
EXPR: 0 | POS | INT | 12 | 1.84 | 63 | 9=(x/7) | 9 x 7 / = | 9:dollar x:dollar 7:quarter /:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 1.84 | 63 | x=(9*7) | x 9 7 * = | x:dollar 9:quarter 7:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 1.84 | 63 | x=(9*7) | x 9 7 * = | x:dollar 9:dollar 7:penny *:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 1.84 | 63 | x=(9*7) | x 9 7 * = | x:quarter 9:dollar 7:quarter *:quarter =:quarter
EXPR: 0 | POS | INT | 20 | 1.84 | 63 | x=(9*7) | x 9 7 * = | x:penny 9:penny 7:dollar *:penny =:penny
EXPR: 0 | POS | INT | 20 | 1.84 | 16 | x=(9+7) | x 9 7 + = | x:dollar 9:dollar 7:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 1.84 | 2 | x=(9-7) | x 9 7 - = | x:dollar 9:dollar 7:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 1.84 | 2 | x=(9-7) | x 9 7 - = | x:quarter 9:quarter 7:quarter -:quarter =:quarter
EXPR: 0 | POS | INT | 20 | 1.84 | 16 | x=(9+7) | x 9 7 + = | x:penny 9:penny 7:penny +:penny =:penny
EXPR: 0 | POS | INT | 20 | 1.84 | 2 | x=(9-7) | x 9 7 - = | x:penny 9:penny 7:penny -:penny =:penny
EXPR: 0 | POS | INT | 20 | 1.84 | 16 | x=(9+7) | x 9 7 + = | x:quarter 9:quarter 7:quarter +:quarter =:quarter
EXPR: 0 | POS | INT | 21 | 1.84 | 16 | x=(9+7) | x 9 7 + = | x:quarter 9:quarter 7:quarter +:quarter =:quarter
EXPR: 0 | POS | INT | 21 | 1.84 | 63 | x=(9*7) | x 9 7 * = | x:dollar 9:quarter 7:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 21 | 1.84 | 63 | x=(9*7) | x 9 7 * = | x:dollar 9:dollar 7:penny *:dollar =:dollar
EXPR: 0 | POS | INT | 21 | 1.84 | 16 | x=(9+7) | x 9 7 + = | x:dollar 9:dollar 7:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 21 | 1.84 | 2 | x=(9-7) | x 9 7 - = | x:dollar 9:dollar 7:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 21 | 1.84 | 63 | x=(9*7) | x 9 7 * = | x:quarter 9:dollar 7:quarter *:quarter =:quarter
EXPR: 0 | POS | INT | 21 | 1.84 | 2 | x=(9-7) | x 9 7 - = | x:quarter 9:quarter 7:quarter -:quarter =:quarter
EXPR: 0 | POS | INT | 21 | 1.84 | 63 | x=(9*7) | x 9 7 * = | x:penny 9:penny 7:dollar *:penny =:penny
EXPR: 0 | POS | INT | 21 | 1.84 | 16 | x=(9+7) | x 9 7 + = | x:penny 9:penny 7:penny +:penny =:penny
EXPR: 0 | POS | INT | 21 | 1.84 | 2 | x=(9-7) | x 9 7 - = | x:penny 9:penny 7:penny -:penny =:penny
EXPR: 0 | POS | INT | 22 | 1.84 | 16 | (x-9)=7 | x 9 - 7 = | x:penny 9:penny -:penny 7:penny =:penny
EXPR: 0 | POS | INT | 22 | 1.84 | 63 | 9=(x/7) | 9 x 7 / = | 9:penny x:penny 7:dollar /:penny =:penny
EXPR: 0 | POS | INT | 22 | 1.84 | 63 | (x/7)=9 | x 7 / 9 = | x:penny 7:quarter /:penny 9:penny =:penny
EXPR: 0 | POS | INT | 22 | 1.84 | 2 | 9=(7+x) | 9 7 x + = | 9:quarter 7:quarter x:quarter +:quarter =:quarter
EXPR: 0 | POS | INT | 22 | 1.84 | 63 | 7=(x/9) | 7 x 9 / = | 7:dollar x:dollar 9:penny /:dollar =:dollar
