parameters: n=5 l=2 k=1 p=5 q=1 m=8
TOTAL 22 solutions found
EXPR: 0 | POS | INT | 0 | 4 | 10 | x=(7+3) | x 7 3 + = | x:crayon 7:crayon 3:crayon +:crayon =:crayon
EXPR: 1 | POS | INT | 0 | 4 | 4 | x=(7-3) | x 7 3 - = | x:crayon 7:crayon 3:crayon -:crayon =:crayon
EXPR: 1 | POS | INT | 1 | 4 | 4 | x=(7-3) | x 7 3 - = | x:crayon 7:crayon 3:crayon -:crayon =:crayon
EXPR: 0 | POS | INT | 1 | 4 | 10 | x=(7+3) | x 7 3 + = | x:crayon 7:crayon 3:crayon +:crayon =:crayon
EXPR: 1 | POS | INT | 2 | 4 | 4 | (7-x)=3 | 7 x - 3 = | 7:crayon x:crayon -:crayon 3:crayon =:crayon
EXPR: 0 | POS | INT | 2 | 4 | 10 | (x-7)=3 | x 7 - 3 = | x:crayon 7:crayon -:crayon 3:crayon =:crayon
EXPR: 1 | POS | INT | 2 | 4 | 4 | 7=(3+x) | 7 3 x + = | 7:crayon 3:crayon x:crayon +:crayon =:crayon
EXPR: 0 | POS | INT | 2 | 4 | 10 | 7=(x-3) | 7 x 3 - = | 7:crayon x:crayon 3:crayon -:crayon =:crayon
EXPR: 1 | POS | INT | 2 | 4 | 4 | 7=(x+3) | 7 x 3 + = | 7:crayon x:crayon 3:crayon +:crayon =:crayon
EXPR: 0 | POS | INT | 12 | 4 | 10 | 3=(x-7) | 3 x 7 - = | 3:crayon x:crayon 7:crayon -:crayon =:crayon
EXPR: 1 | POS | INT | 12 | 4 | 4 | (3+x)=7 | 3 x + 7 = | 3:crayon x:crayon +:crayon 7:crayon =:crayon
EXPR: 1 | POS | INT | 12 | 4 | 4 | (x+3)=7 | x 3 + 7 = | x:crayon 3:crayon +:crayon 7:crayon =:crayon
EXPR: 0 | POS | INT | 12 | 4 | 10 | (x-3)=7 | x 3 - 7 = | x:crayon 3:crayon -:crayon 7:crayon =:crayon
EXPR: 1 | POS | INT | 12 | 4 | 4 | 3=(7-x) | 3 7 x - = | 3:crayon 7:crayon x:crayon -:crayon =:crayon
NET 14 non-negative, integer-valued solutions found out of 22 total solutions
