parameters: n=9 l=4 k=1 p=5 q=2 m=10
TOTAL 1000 solutions found
EXPR: 0 | POS | INT | 2 | 29 | - | 11=(19+((7/x)-8)) | 11 19 7 x / 8 - + = | 11:dollar 19:dollar 7:dollar x:money /:dollar 8:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 29 | 0 | 11=((19+(7*x))-8) | 11 19 7 x * + 8 - = | 11:dollar 19:dollar 7:dollar x:money *:dollar +:dollar 8:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 29 | 8 | 11=(19+((7-8)*x)) | 11 19 7 8 - x * + = | 11:dollar 19:dollar 7:dollar 8:dollar -:dollar x:money *:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 29 | 0 | 11=(19-((7*x)+8)) | 11 19 7 x * 8 + - = | 11:dollar 19:dollar 7:dollar x:money *:dollar 8:dollar +:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 29 | 8 | 11=(19+(x*(7-8))) | 11 19 x 7 8 - * + = | 11:dollar 19:dollar x:money 7:dollar 8:dollar -:dollar *:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 29 | 2 | (((11+19)/x)-7)=8 | 11 19 + x / 7 - 8 = | 11:dollar 19:dollar +:dollar x:money /:dollar 7:dollar -:dollar 8:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 29 | 0 | 11=(19-((x*7)+8)) | 11 19 x 7 * 8 + - = | 11:dollar 19:dollar x:money 7:dollar *:dollar 8:dollar +:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 29 | 8 | 11=((19-7)-(8/x)) | 11 19 7 - 8 x / - = | 11:dollar 19:dollar 7:dollar -:dollar 8:dollar x:money /:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 29 | - | 11=((19-(7/x))-8) | 11 19 7 x / - 8 - = | 11:dollar 19:dollar 7:dollar x:money /:dollar -:dollar 8:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 29 | 45 | x=(11+(19+(7+8))) | x 11 19 7 8 + + + = | x:dollar 11:dollar 19:dollar 7:dollar 8:dollar +:dollar +:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 29 | 184 | x=((11+(19-7))*8) | x 11 19 7 - + 8 * = | x:money 11:dollar 19:dollar 7:dollar -:dollar +:dollar 8:money *:money =:money
EXPR: 0 | POS | INT | 11 | 29 | 45 | x=(11+(19+(7+8))) | x 11 19 7 8 + + + = | x:dollar 11:dollar 19:dollar 7:dollar 8:dollar +:dollar +:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 29 | 7 | 11=(((19*7)/x)-8) | 11 19 7 * x / 8 - = | 11:dollar 19:money 7:dollar *:dollar x:money /:dollar 8:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 29 | - | 19=(11+((7/x)+8)) | 19 11 7 x / 8 + + = | 19:dollar 11:dollar 7:dollar x:money /:dollar 8:dollar +:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 29 | 7 | 11=(19-((7*8)/x)) | 11 19 7 8 * x / - = | 11:dollar 19:dollar 7:money 8:dollar *:dollar x:money /:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 29 | 7 | ((x/11)*(19-8))=7 | x 11 / 19 8 - * 7 = | x:money 11:dollar /:money 19:dollar 8:dollar -:dollar *:dollar 7:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 29 | 7 | 11=(((19*7)/x)-8) | 11 19 7 * x / 8 - = | 11:dollar 19:dollar 7:money *:dollar x:money /:dollar 8:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 29 |  | (19-(11+(7*x)))=8 | 19 11 7 x * + - 8 = | 19:dollar 11:dollar 7:dollar x:money *:dollar +:dollar -:dollar 8:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 29 | 38 | ((11-7)*(x/19))=8 | 11 7 - x 19 / * 8 = | 11:dollar 7:dollar -:dollar x:money 19:dollar /:money *:dollar 8:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 29 | 0 | 11=((19-8)-(7*x)) | 11 19 8 - 7 x * - = | 11:dollar 19:dollar 8:dollar -:dollar 7:dollar x:money *:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 29 | - | 11=((19-8)-(7/x)) | 11 19 8 - 7 x / - = | 11:dollar 19:dollar 8:dollar -:dollar 7:dollar x:money /:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 29 | 23 | 11=(19-(x-(7+8))) | 11 19 x 7 8 + - - = | 11:dollar 19:dollar x:dollar 7:dollar 8:dollar +:dollar -:dollar -:dollar =:dollar
