parameters: n=9 l=4 k=1 p=5 q=2 m=10
TOTAL 860 solutions found
EXPR: 0 | POS | INT | 2 | 50 | 4 | 91=(((x*24)+6)-11) | 91 x 24 * 6 + 11 - = | 91:dollar x:money 24:dollar *:dollar 6:dollar +:dollar 11:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 50 | 408 | 91=(((x/24)*6)-11) | 91 x 24 / 6 * 11 - = | 91:dollar x:money 24:dollar /:money 6:dollar *:dollar 11:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 50 | 320 | 91=(((x/24)*6)+11) | 91 x 24 / 6 * 11 + = | 91:dollar x:money 24:dollar /:money 6:dollar *:dollar 11:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 50 | 13 | 91=((24+(6*x))-11) | 91 24 6 x * + 11 - = | 91:dollar 24:dollar 6:dollar x:money *:dollar +:dollar 11:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 50 | 13 | 91=(x*(24-(6+11))) | 91 x 24 6 11 + - * = | 91:dollar x:money 24:dollar 6:dollar 11:dollar +:dollar -:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 50 | 132 | x=(91+(24+(6+11))) | x 91 24 6 11 + + + = | x:dollar 91:dollar 24:dollar 6:dollar 11:dollar +:dollar +:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 50 | 1199 | x=((91+(24-6))*11) | x 91 24 6 - + 11 * = | x:money 91:dollar 24:dollar 6:dollar -:dollar +:dollar 11:money *:money =:money
EXPR: 0 | POS | INT | 11 | 50 | 132 | x=(91+(24+(6+11))) | x 91 24 6 11 + + + = | x:dollar 91:dollar 24:dollar 6:dollar 11:dollar +:dollar +:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 50 | 62 | 91=(((24-6)+11)+x) | 91 24 6 - 11 + x + = | 91:dollar 24:dollar 6:dollar -:dollar 11:dollar +:dollar x:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 50 | 4 | 91=(((x*24)-11)+6) | 91 x 24 * 11 - 6 + = | 91:dollar x:money 24:dollar *:dollar 11:dollar -:dollar 6:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 50 | 42 | ((x/91)*(24-11))=6 | x 91 / 24 11 - * 6 = | x:money 91:dollar /:money 24:dollar 11:dollar -:dollar *:dollar 6:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 50 | 4 | 91=((6+(24*x))-11) | 91 6 24 x * + 11 - = | 91:dollar 6:dollar 24:dollar x:money *:dollar +:dollar 11:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 50 | 110 | (((91+24)+6)-x)=11 | 91 24 + 6 + x - 11 = | 91:dollar 24:dollar +:dollar 6:dollar +:dollar x:dollar -:dollar 11:dollar =:dollar
EXPR: 0 | POS | INT | 17 | 50 | 21 | ((6*x)-(91+24))=11 | 6 x * 91 24 + - 11 = | 6:dollar x:money *:dollar 91:dollar 24:dollar +:dollar -:dollar 11:dollar =:dollar
