parameters: n=7 l=3 k=1 p=5 q=3 m=9
TOTAL 1000 solutions found
EXPR: 0 | POS | INT | 2 | 35 | 170 | (85*(10/x))=5 | 85 10 x / * 5 = | 85:dollar 10:book x:money /:book *:dollar 5:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 35 | 170 | ((85*10)/x)=5 | 85 10 * x / 5 = | 85:dollar 10:book *:dollar x:money /:dollar 5:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 35 | 170 | ((85/x)*10)=5 | 85 x / 10 * 5 = | 85:dollar x:money /:dollar 10:book *:dollar 5:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 35 | 170 | 85=((x/10)*5) | 85 x 10 / 5 * = | 85:dollar x:money 10:book /:money 5:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 35 | 170 | x=(85*(10/5)) | x 85 10 5 / * = | x:money 85:dollar 10:money 5:dollar /:money *:money =:money
EXPR: 0 | POS | INT | 10 | 35 | 170 | x=((85*10)/5) | x 85 10 * 5 / = | x:money 85:money 10:book *:money 5:dollar /:money =:money
EXPR: 0 | POS | INT | 10 | 35 | 170 | x=(85*(10/5)) | x 85 10 5 / * = | x:dollar 85:dollar 10:book 5:dollar /:book *:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 35 | 845 | x=((85*10)-5) | x 85 10 * 5 - = | x:dollar 85:dollar 10:book *:dollar 5:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 35 | 855 | x=((85*10)+5) | x 85 10 * 5 + = | x:dollar 85:dollar 10:book *:dollar 5:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 35 | 170 | x=(85*(10/5)) | x 85 10 5 / * = | x:money 85:money 10:book 5:dollar /:book *:money =:money
EXPR: 0 | POS | INT | 10 | 35 | 170 | x=(85*(10/5)) | x 85 10 5 / * = | x:book 85:dollar 10:book 5:dollar /:book *:book =:book
EXPR: 1 | POS | INT | 10 | 35 | 35 | x=(85-(10*5)) | x 85 10 5 * - = | x:dollar 85:dollar 10:book 5:dollar *:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 35 | 170 | x=((85*10)/5) | x 85 10 * 5 / = | x:book 85:dollar 10:book *:book 5:dollar /:book =:book
EXPR: 0 | POS | INT | 10 | 35 | 170 | x=((85*10)/5) | x 85 10 * 5 / = | x:money 85:dollar 10:money *:money 5:dollar /:money =:money
EXPR: 0 | POS | INT | 11 | 35 | 170 | x=((85*10)/5) | x 85 10 * 5 / = | x:money 85:money 10:book *:money 5:dollar /:money =:money
EXPR: 0 | POS | INT | 11 | 35 | 170 | x=(85*(10/5)) | x 85 10 5 / * = | x:dollar 85:dollar 10:book 5:dollar /:book *:dollar =:dollar
EXPR: 0 | POS | INT | 11 | 35 | 855 | x=((85*10)+5) | x 85 10 * 5 + = | x:dollar 85:dollar 10:book *:dollar 5:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 11 | 35 | 170 | x=(85*(10/5)) | x 85 10 5 / * = | x:money 85:money 10:book 5:dollar /:book *:money =:money
EXPR: 0 | POS | INT | 11 | 35 | 845 | x=((85*10)-5) | x 85 10 * 5 - = | x:dollar 85:dollar 10:book *:dollar 5:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 11 | 35 | 170 | x=(85*(10/5)) | x 85 10 5 / * = | x:book 85:dollar 10:book 5:dollar /:book *:book =:book
EXPR: 0 | POS | INT | 11 | 35 | 170 | x=(85*(10/5)) | x 85 10 5 / * = | x:money 85:dollar 10:money 5:dollar /:money *:money =:money
