parameters: n=9 l=4 k=1 p=5 q=2 m=10
TOTAL 652 solutions found
EXPR: 0 | POS | INT | 10 | 67 | 183 | x=(30+(49+(46+58))) | x 30 49 46 58 + + + = | x:dollar 30:dollar 49:dollar 46:dollar 58:dollar +:dollar +:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 67 | 1914 | x=((30+(49-46))*58) | x 30 49 46 - + 58 * = | x:money 30:dollar 49:dollar 46:dollar -:dollar +:dollar 58:money *:money =:money
EXPR: 0 | POS | INT | 11 | 67 | 183 | x=(30+(49+(46+58))) | x 30 49 46 58 + + + = | x:dollar 30:dollar 49:dollar 46:dollar 58:dollar +:dollar +:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 22 | 67 | 2282 | 30=(((49*46)+58)-x) | 30 49 46 * 58 + x - = | 30:dollar 49:money 46:dollar *:dollar 58:dollar +:dollar x:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 32 | 67 | 3542 | 49=(30+((x/46)-58)) | 49 30 x 46 / 58 - + = | 49:dollar 30:dollar x:dollar 46:money /:dollar 58:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 32 | 67 | 85 | 49=(30+(58-(x-46))) | 49 30 58 x 46 - - + = | 49:dollar 30:dollar 58:dollar x:dollar 46:dollar -:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 32 | 67 | 409 | 49=(x+(30*(46-58))) | 49 x 30 46 58 - * + = | 49:dollar x:dollar 30:money 46:dollar 58:dollar -:dollar *:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 32 | 67 | 2649 | 49=((30-x)+(46*58)) | 49 30 x - 46 58 * + = | 49:dollar 30:dollar x:dollar -:dollar 46:money 58:dollar *:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 37 | 67 | 165300 | 30=(x/(58*(49+46))) | 30 x 58 49 46 + * / = | 30:money x:money 58:money 49:dollar 46:dollar +:dollar *:dollar /:money =:money
EXPR: 0 | POS | INT | 42 | 67 | 4359 | 49=(((30+46)*58)-x) | 49 30 46 + 58 * x - = | 49:dollar 30:money 46:money +:money 58:dollar *:dollar x:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 42 | 67 | 2687 | 49=(30+(x-(46*58))) | 49 30 x 46 58 * - + = | 49:money 30:money x:money 46:money 58:dollar *:money -:money +:money =:money
EXPR: 0 | POS | INT | 42 | 67 | 3576 | ((58+x)/(30+49))=46 | 58 x + 30 49 + / 46 = | 58:money x:money +:money 30:dollar 49:dollar +:dollar /:money 46:money =:money
EXPR: 0 | POS | INT | 47 | 67 | 165300 | 30=(x/(58*(49+46))) | 30 x 58 49 46 + * / = | 30:money x:money 58:dollar 49:money 46:money +:money *:dollar /:money =:money
EXPR: 0 | POS | INT | 47 | 67 | 5540 | 30=(x-(58*(49+46))) | 30 x 58 49 46 + * - = | 30:money x:money 58:dollar 49:money 46:money +:money *:money -:money =:money
EXPR: 0 | POS | INT | 47 | 67 | 204 | 30=(x+(58*(46-49))) | 30 x 58 46 49 - * + = | 30:dollar x:dollar 58:money 46:dollar 49:dollar -:dollar *:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 52 | 67 | 17640 | 58=((x/(30*49))+46) | 58 x 30 49 * / 46 + = | 58:money x:money 30:dollar 49:money *:dollar /:money 46:money +:money =:money
