parameters: n=7 l=3 k=1 p=5 q=3 m=9
TOTAL 1000 solutions found
EXPR: 0 | POS | INT | 0 | 9 | 42 | x=((21/4)*8) | x 21 4 / 8 * = | x:berry 21:berry 4:strawberry /:berry 8:blueberry *:berry =:berry
EXPR: 0 | POS | INT | 1 | 9 | 42 | x=((21/4)*8) | x 21 4 / 8 * = | x:berry 21:berry 4:strawberry /:berry 8:blueberry *:berry =:berry
EXPR: 0 | POS | INT | 2 | 9 | 42 | 21=((x*4)/8) | 21 x 4 * 8 / = | 21:berry x:berry 4:strawberry *:berry 8:blueberry /:berry =:berry
EXPR: 0 | POS | INT | 2 | 9 | 42 | 21=((4*x)/8) | 21 4 x * 8 / = | 21:berry 4:strawberry x:berry *:berry 8:blueberry /:berry =:berry
EXPR: 0 | POS | INT | 2 | 9 | 672 | 21=(x/(4*8)) | 21 x 4 8 * / = | 21:berry x:berry 4:strawberry 8:blueberry *:strawberry /:berry =:berry
EXPR: 0 | POS | INT | 2 | 9 | 42 | 21=(x*(4/8)) | 21 x 4 8 / * = | 21:berry x:berry 4:strawberry 8:blueberry /:strawberry *:berry =:berry
EXPR: 0 | POS | INT | 2 | 9 | 672 | 21=(x/(4*8)) | 21 x 4 8 * / = | 21:berry x:berry 4:strawberry 8:blueberry *:blueberry /:berry =:berry
EXPR: 0 | POS | INT | 2 | 9 | 42 | 21=(4*(x/8)) | 21 4 x 8 / * = | 21:berry 4:strawberry x:berry 8:blueberry /:berry *:berry =:berry
EXPR: 0 | POS | INT | 2 | 9 | 42 | 21=((4/8)*x) | 21 4 8 / x * = | 21:berry 4:strawberry 8:blueberry /:strawberry x:berry *:berry =:berry
EXPR: 0 | POS | INT | 10 | 9 | 42 | x=((21/4)*8) | x 21 4 / 8 * = | x:berry 21:berry 4:blueberry /:berry 8:blueberry *:berry =:berry
EXPR: 0 | POS | INT | 10 | 9 | 53 | x=(21+(4*8)) | x 21 4 8 * + = | x:berry 21:berry 4:berry 8:blueberry *:berry +:berry =:berry
EXPR: 0 | POS | INT | 10 | 9 | 42 | x=((21/4)*8) | x 21 4 / 8 * = | x:berry 21:berry 4:strawberry /:berry 8:strawberry *:berry =:berry
EXPR: 0 | POS | INT | 10 | 9 | 42 | x=(21*(8/4)) | x 21 8 4 / * = | x:berry 21:berry 8:blueberry 4:strawberry /:blueberry *:berry =:berry
EXPR: 0 | POS | INT | 10 | 9 | 252 | x=(21*(4+8)) | x 21 4 8 + * = | x:berry 21:berry 4:blueberry 8:blueberry +:blueberry *:berry =:berry
EXPR: 0 | POS | INT | 10 | 9 | 200 | x=((21+4)*8) | x 21 4 + 8 * = | x:berry 21:berry 4:berry +:berry 8:blueberry *:berry =:berry
EXPR: 0 | POS | INT | 10 | 9 | 136 | x=((21-4)*8) | x 21 4 - 8 * = | x:berry 21:berry 4:berry -:berry 8:blueberry *:berry =:berry
EXPR: 0 | POS | INT | 10 | 9 | 252 | x=(21*(4+8)) | x 21 4 8 + * = | x:berry 21:berry 4:strawberry 8:strawberry +:strawberry *:berry =:berry
EXPR: 0 | POS | INT | 10 | 9 | 53 | x=(21+(4*8)) | x 21 4 8 * + = | x:berry 21:berry 4:strawberry 8:berry *:berry +:berry =:berry
EXPR: 0 | POS | INT | 10 | 9 | 42 | x=((21/4)*8) | x 21 4 / 8 * = | x:blueberry 21:berry 4:strawberry /:berry 8:blueberry *:blueberry =:blueberry
EXPR: 0 | POS | INT | 10 | 9 | 42 | x=((21*8)/4) | x 21 8 * 4 / = | x:berry 21:berry 8:blueberry *:berry 4:strawberry /:berry =:berry
EXPR: 0 | POS | INT | 10 | 9 | 92 | x=((21*4)+8) | x 21 4 * 8 + = | x:berry 21:berry 4:strawberry *:berry 8:berry +:berry =:berry
EXPR: 0 | POS | INT | 11 | 9 | 136 | x=((21-4)*8) | x 21 4 - 8 * = | x:berry 21:berry 4:berry -:berry 8:blueberry *:berry =:berry
EXPR: 0 | POS | INT | 11 | 9 | 42 | x=((21/4)*8) | x 21 4 / 8 * = | x:berry 21:berry 4:strawberry /:berry 8:strawberry *:berry =:berry
EXPR: 0 | POS | INT | 11 | 9 | 252 | x=(21*(4+8)) | x 21 4 8 + * = | x:berry 21:berry 4:blueberry 8:blueberry +:blueberry *:berry =:berry
EXPR: 0 | POS | INT | 11 | 9 | 42 | x=(21*(8/4)) | x 21 8 4 / * = | x:berry 21:berry 8:blueberry 4:strawberry /:blueberry *:berry =:berry
EXPR: 0 | POS | INT | 11 | 9 | 252 | x=(21*(4+8)) | x 21 4 8 + * = | x:berry 21:berry 4:strawberry 8:strawberry +:strawberry *:berry =:berry
