parameters: n=5 l=2 k=1 p=5 q=2 m=8
TOTAL 108 solutions found
EXPR: 1 | POS | INT | 0 | 100 | 100 | x=(20*5) | x 20 5 * = | x:mile 20:mile 5:gas *:mile =:mile
EXPR: 0 | POS | INT | 0 | 100 | 4 | x=(20/5) | x 20 5 / = | x:mile 20:mile 5:gas /:mile =:mile
EXPR: 1 | POS | INT | 1 | 100 | 100 | x=(20*5) | x 20 5 * = | x:mile 20:mile 5:gas *:mile =:mile
EXPR: 0 | POS | INT | 1 | 100 | 4 | x=(20/5) | x 20 5 / = | x:mile 20:mile 5:gas /:mile =:mile
EXPR: 0 | POS | INT | 2 | 100 | 4 | 20=(5*x) | 20 5 x * = | 20:mile 5:gas x:mile *:mile =:mile
EXPR: 1 | POS | INT | 2 | 100 | 100 | 20=(x/5) | 20 x 5 / = | 20:mile x:mile 5:gas /:mile =:mile
EXPR: 0 | POS | INT | 2 | 100 | 4 | 20=(x*5) | 20 x 5 * = | 20:mile x:mile 5:gas *:mile =:mile
EXPR: 1 | POS | INT | 10 | 100 | 100 | x=(20*5) | x 20 5 * = | x:gas 20:mile 5:gas *:gas =:gas
EXPR: 0 | POS | INT | 10 | 100 | 15 | x=(20-5) | x 20 5 - = | x:mile 20:mile 5:mile -:mile =:mile
EXPR: 0 | POS | INT | 10 | 100 | 25 | x=(20+5) | x 20 5 + = | x:mile 20:mile 5:mile +:mile =:mile
EXPR: 1 | POS | INT | 11 | 100 | 100 | x=(20*5) | x 20 5 * = | x:gas 20:mile 5:gas *:gas =:gas
EXPR: 0 | POS | INT | 11 | 100 | 15 | x=(20-5) | x 20 5 - = | x:mile 20:mile 5:mile -:mile =:mile
EXPR: 0 | POS | INT | 11 | 100 | 25 | x=(20+5) | x 20 5 + = | x:mile 20:mile 5:mile +:mile =:mile
EXPR: 0 | POS | INT | 12 | 100 | 4 | 20=(x*5) | 20 x 5 * = | 20:gas x:mile 5:gas *:gas =:gas
EXPR: 0 | POS | INT | 12 | 100 | 15 | 20=(5+x) | 20 5 x + = | 20:mile 5:mile x:mile +:mile =:mile
EXPR: 1 | POS | INT | 12 | 100 | 100 | (x/20)=5 | x 20 / 5 = | x:gas 20:mile /:gas 5:gas =:gas
EXPR: 0 | POS | INT | 12 | 100 | 25 | (x-20)=5 | x 20 - 5 = | x:mile 20:mile -:mile 5:mile =:mile
EXPR: 0 | POS | INT | 12 | 100 | 15 | 20=(x+5) | 20 x 5 + = | 20:mile x:mile 5:mile +:mile =:mile
EXPR: 1 | POS | INT | 12 | 100 | 100 | (x/5)=20 | x 5 / 20 = | x:mile 5:gas /:mile 20:mile =:mile
EXPR: 0 | POS | INT | 12 | 100 | 4 | 20=(5*x) | 20 5 x * = | 20:gas 5:gas x:mile *:gas =:gas
EXPR: 0 | POS | INT | 12 | 100 | 4 | (x*5)=20 | x 5 * 20 = | x:mile 5:gas *:mile 20:mile =:mile
EXPR: 0 | POS | INT | 12 | 100 | 25 | 20=(x-5) | 20 x 5 - = | 20:mile x:mile 5:mile -:mile =:mile
EXPR: 0 | POS | INT | 12 | 100 | 4 | (20/x)=5 | 20 x / 5 = | 20:gas x:mile /:gas 5:gas =:gas
EXPR: 0 | POS | INT | 12 | 100 | 15 | (20-x)=5 | 20 x - 5 = | 20:mile x:mile -:mile 5:mile =:mile
EXPR: 0 | POS | INT | 12 | 100 | 4 | (5*x)=20 | 5 x * 20 = | 5:gas x:mile *:mile 20:mile =:mile
EXPR: 1 | POS | INT | 20 | 100 | 100 | x=(20*5) | x 20 5 * = | x:mile 20:gas 5:mile *:mile =:mile
EXPR: 0 | POS | INT | 20 | 100 | 25 | x=(20+5) | x 20 5 + = | x:gas 20:gas 5:gas +:gas =:gas
EXPR: 0 | POS | INT | 20 | 100 | 15 | x=(20-5) | x 20 5 - = | x:gas 20:gas 5:gas -:gas =:gas
EXPR: 1 | POS | INT | 21 | 100 | 100 | x=(20*5) | x 20 5 * = | x:mile 20:gas 5:mile *:mile =:mile
EXPR: 0 | POS | INT | 21 | 100 | 25 | x=(20+5) | x 20 5 + = | x:gas 20:gas 5:gas +:gas =:gas
EXPR: 0 | POS | INT | 21 | 100 | 15 | x=(20-5) | x 20 5 - = | x:gas 20:gas 5:gas -:gas =:gas
EXPR: 0 | POS | INT | 22 | 100 | 15 | 20=(5+x) | 20 5 x + = | 20:gas 5:gas x:gas +:gas =:gas
EXPR: 1 | POS | INT | 22 | 100 | 100 | 5=(x/20) | 5 x 20 / = | 5:gas x:gas 20:mile /:gas =:gas
EXPR: 0 | POS | INT | 22 | 100 | 25 | (x-20)=5 | x 20 - 5 = | x:gas 20:gas -:gas 5:gas =:gas
EXPR: 0 | POS | INT | 22 | 100 | 4 | 20=(x*5) | 20 x 5 * = | 20:mile x:gas 5:mile *:mile =:mile
EXPR: 0 | POS | INT | 22 | 100 | 15 | (x+5)=20 | x 5 + 20 = | x:mile 5:mile +:mile 20:mile =:mile
EXPR: 0 | POS | INT | 22 | 100 | 15 | 20=(x+5) | 20 x 5 + = | 20:gas x:gas 5:gas +:gas =:gas
EXPR: 0 | POS | INT | 22 | 100 | 25 | 20=(x-5) | 20 x 5 - = | 20:gas x:gas 5:gas -:gas =:gas
EXPR: 0 | POS | INT | 22 | 100 | 4 | (x*5)=20 | x 5 * 20 = | x:mile 5:gas *:gas 20:gas =:gas
EXPR: 0 | POS | INT | 22 | 100 | 25 | (x-5)=20 | x 5 - 20 = | x:mile 5:mile -:mile 20:mile =:mile
EXPR: 1 | POS | INT | 22 | 100 | 100 | (x/20)=5 | x 20 / 5 = | x:mile 20:gas /:mile 5:mile =:mile
EXPR: 0 | POS | INT | 22 | 100 | 25 | 5=(x-20) | 5 x 20 - = | 5:mile x:mile 20:mile -:mile =:mile
EXPR: 0 | POS | INT | 22 | 100 | 4 | 20=(5*x) | 20 5 x * = | 20:mile 5:mile x:gas *:mile =:mile
EXPR: 0 | POS | INT | 22 | 100 | 4 | 5=(20/x) | 5 20 x / = | 5:gas 20:gas x:mile /:gas =:gas
EXPR: 0 | POS | INT | 22 | 100 | 4 | (20/x)=5 | 20 x / 5 = | 20:mile x:gas /:mile 5:mile =:mile
EXPR: 0 | POS | INT | 22 | 100 | 15 | (5+x)=20 | 5 x + 20 = | 5:mile x:mile +:mile 20:mile =:mile
EXPR: 0 | POS | INT | 22 | 100 | 15 | 5=(20-x) | 5 20 x - = | 5:mile 20:mile x:mile -:mile =:mile
EXPR: 0 | POS | INT | 22 | 100 | 4 | (5*x)=20 | 5 x * 20 = | 5:gas x:mile *:gas 20:gas =:gas
EXPR: 0 | POS | INT | 22 | 100 | 15 | (20-x)=5 | 20 x - 5 = | 20:gas x:gas -:gas 5:gas =:gas
EXPR: 0 | POS | INT | 30 | 100 | 4 | x=(20/5) | x 20 5 / = | x:gas 20:gas 5:mile /:gas =:gas
EXPR: 1 | POS | INT | 30 | 100 | 100 | x=(20*5) | x 20 5 * = | x:gas 20:gas 5:mile *:gas =:gas
EXPR: 0 | POS | INT | 31 | 100 | 4 | x=(20/5) | x 20 5 / = | x:gas 20:gas 5:mile /:gas =:gas
EXPR: 1 | POS | INT | 31 | 100 | 100 | x=(20*5) | x 20 5 * = | x:gas 20:gas 5:mile *:gas =:gas
EXPR: 0 | POS | INT | 32 | 100 | 4 | (x*5)=20 | x 5 * 20 = | x:gas 5:mile *:mile 20:mile =:mile
EXPR: 1 | POS | INT | 32 | 100 | 100 | 20=(x/5) | 20 x 5 / = | 20:gas x:gas 5:mile /:gas =:gas
EXPR: 0 | POS | INT | 32 | 100 | 15 | (x+5)=20 | x 5 + 20 = | x:gas 5:gas +:gas 20:gas =:gas
EXPR: 0 | POS | INT | 32 | 100 | 4 | 20=(5*x) | 20 5 x * = | 20:gas 5:mile x:gas *:gas =:gas
EXPR: 0 | POS | INT | 32 | 100 | 25 | (x-5)=20 | x 5 - 20 = | x:gas 5:gas -:gas 20:gas =:gas
EXPR: 0 | POS | INT | 32 | 100 | 4 | 5=(20/x) | 5 20 x / = | 5:mile 20:mile x:gas /:mile =:mile
EXPR: 0 | POS | INT | 32 | 100 | 4 | 20=(x*5) | 20 x 5 * = | 20:gas x:gas 5:mile *:gas =:gas
EXPR: 0 | POS | INT | 32 | 100 | 25 | 5=(x-20) | 5 x 20 - = | 5:gas x:gas 20:gas -:gas =:gas
EXPR: 0 | POS | INT | 32 | 100 | 15 | (5+x)=20 | 5 x + 20 = | 5:gas x:gas +:gas 20:gas =:gas
EXPR: 0 | POS | INT | 32 | 100 | 4 | (5*x)=20 | 5 x * 20 = | 5:mile x:gas *:mile 20:mile =:mile
EXPR: 1 | POS | INT | 32 | 100 | 100 | 5=(x/20) | 5 x 20 / = | 5:mile x:mile 20:gas /:mile =:mile
EXPR: 0 | POS | INT | 32 | 100 | 15 | 5=(20-x) | 5 20 x - = | 5:gas 20:gas x:gas -:gas =:gas
EXPR: 1 | POS | INT | 42 | 100 | 100 | (x/5)=20 | x 5 / 20 = | x:gas 5:mile /:gas 20:gas =:gas
EXPR: 0 | POS | INT | 42 | 100 | 4 | (x*5)=20 | x 5 * 20 = | x:gas 5:mile *:gas 20:gas =:gas
EXPR: 0 | POS | INT | 42 | 100 | 4 | (5*x)=20 | 5 x * 20 = | 5:mile x:gas *:gas 20:gas =:gas
NET 68 non-negative, integer-valued solutions found out of 108 total solutions
