parameters: n=5 l=2 k=1 p=5 q=2 m=8
TOTAL 108 solutions found
EXPR: 1 | POS | INT | 2 | 4 | 4 | 12=(x*3) | 12 x 3 * = | 12:guest x:table 3:guest *:guest =:guest
EXPR: 1 | POS | INT | 2 | 4 | 4 | (12/x)=3 | 12 x / 3 = | 12:guest x:table /:guest 3:guest =:guest
EXPR: 1 | POS | INT | 2 | 4 | 4 | 12=(3*x) | 12 3 x * = | 12:guest 3:guest x:table *:guest =:guest
EXPR: 1 | POS | INT | 10 | 4 | 4 | x=(12/3) | x 12 3 / = | x:table 12:table 3:guest /:table =:table
EXPR: 0 | POS | INT | 10 | 4 | 9 | x=(12-3) | x 12 3 - = | x:guest 12:guest 3:guest -:guest =:guest
EXPR: 0 | POS | INT | 10 | 4 | 15 | x=(12+3) | x 12 3 + = | x:guest 12:guest 3:guest +:guest =:guest
EXPR: 0 | POS | INT | 10 | 4 | 36 | x=(12*3) | x 12 3 * = | x:table 12:table 3:guest *:table =:table
EXPR: 0 | POS | INT | 10 | 4 | 36 | x=(12*3) | x 12 3 * = | x:table 12:guest 3:table *:table =:table
EXPR: 1 | POS | INT | 11 | 4 | 4 | x=(12/3) | x 12 3 / = | x:table 12:table 3:guest /:table =:table
EXPR: 0 | POS | INT | 11 | 4 | 36 | x=(12*3) | x 12 3 * = | x:table 12:guest 3:table *:table =:table
EXPR: 0 | POS | INT | 11 | 4 | 15 | x=(12+3) | x 12 3 + = | x:guest 12:guest 3:guest +:guest =:guest
EXPR: 0 | POS | INT | 11 | 4 | 36 | x=(12*3) | x 12 3 * = | x:table 12:table 3:guest *:table =:table
EXPR: 0 | POS | INT | 11 | 4 | 9 | x=(12-3) | x 12 3 - = | x:guest 12:guest 3:guest -:guest =:guest
EXPR: 0 | POS | INT | 12 | 4 | 9 | 12=(3+x) | 12 3 x + = | 12:guest 3:guest x:guest +:guest =:guest
EXPR: 1 | POS | INT | 12 | 4 | 4 | 3=(12/x) | 3 12 x / = | 3:guest 12:guest x:table /:guest =:guest
EXPR: 1 | POS | INT | 12 | 4 | 4 | (x*3)=12 | x 3 * 12 = | x:table 3:guest *:guest 12:guest =:guest
EXPR: 1 | POS | INT | 12 | 4 | 4 | 12=(x*3) | 12 x 3 * = | 12:table x:table 3:guest *:table =:table
EXPR: 1 | POS | INT | 12 | 4 | 4 | (3*x)=12 | 3 x * 12 = | 3:guest x:table *:guest 12:guest =:guest
EXPR: 0 | POS | INT | 12 | 4 | 15 | 12=(x-3) | 12 x 3 - = | 12:guest x:guest 3:guest -:guest =:guest
EXPR: 0 | POS | INT | 12 | 4 | 9 | 12=(x+3) | 12 x 3 + = | 12:guest x:guest 3:guest +:guest =:guest
EXPR: 0 | POS | INT | 12 | 4 | 9 | (12-x)=3 | 12 x - 3 = | 12:guest x:guest -:guest 3:guest =:guest
EXPR: 0 | POS | INT | 12 | 4 | 15 | (x-12)=3 | x 12 - 3 = | x:guest 12:guest -:guest 3:guest =:guest
EXPR: 0 | POS | INT | 12 | 4 | 36 | 12=(x/3) | 12 x 3 / = | 12:table x:table 3:guest /:table =:table
