parameters: n=5 l=2 k=1 p=5 q=2 m=8
TOTAL 136 solutions found
EXPR: 1 | POS | INT | 0 | 30 | 30 | (6*5)=x | 6 5 * x = | 6:marble 5:benny *:marble x:marble =:marble
EXPR: 1 | POS | INT | 0 | 30 | 30 | x=(6*5) | x 6 5 * = | x:marble 6:marble 5:benny *:marble =:marble
EXPR: 1 | POS | INT | 1 | 30 | 30 | (6*5)=x | 6 5 * x = | 6:marble 5:benny *:marble x:marble =:marble
EXPR: 1 | POS | INT | 1 | 30 | 30 | x=(6*5) | x 6 5 * = | x:marble 6:marble 5:benny *:marble =:marble
EXPR: 1 | POS | INT | 2 | 30 | 30 | 6=(x/5) | 6 x 5 / = | 6:marble x:marble 5:benny /:marble =:marble
EXPR: 1 | POS | INT | 4 | 30 | 30 | (x/5)=6 | x 5 / 6 = | x:marble 5:benny /:marble 6:marble =:marble
EXPR: 1 | POS | INT | 10 | 30 | 30 | x=(6*5) | x 6 5 * = | x:benny 6:marble 5:benny *:benny =:benny
EXPR: 0 | POS | INT | 10 | 30 | 11 | (6+5)=x | 6 5 + x = | 6:marble 5:marble +:marble x:marble =:marble
EXPR: 0 | POS | INT | 10 | 30 | 1 | (6-5)=x | 6 5 - x = | 6:marble 5:marble -:marble x:marble =:marble
EXPR: 0 | POS | INT | 10 | 30 | 1 | x=(6-5) | x 6 5 - = | x:marble 6:marble 5:marble -:marble =:marble
EXPR: 0 | POS | INT | 10 | 30 | 11 | x=(6+5) | x 6 5 + = | x:marble 6:marble 5:marble +:marble =:marble
EXPR: 1 | POS | INT | 10 | 30 | 30 | (6*5)=x | 6 5 * x = | 6:marble 5:benny *:benny x:benny =:benny
EXPR: 0 | POS | INT | 11 | 30 | 11 | (6+5)=x | 6 5 + x = | 6:marble 5:marble +:marble x:marble =:marble
EXPR: 1 | POS | INT | 11 | 30 | 30 | x=(6*5) | x 6 5 * = | x:benny 6:marble 5:benny *:benny =:benny
EXPR: 0 | POS | INT | 11 | 30 | 1 | x=(6-5) | x 6 5 - = | x:marble 6:marble 5:marble -:marble =:marble
EXPR: 0 | POS | INT | 11 | 30 | 11 | x=(6+5) | x 6 5 + = | x:marble 6:marble 5:marble +:marble =:marble
EXPR: 0 | POS | INT | 11 | 30 | 1 | (6-5)=x | 6 5 - x = | 6:marble 5:marble -:marble x:marble =:marble
EXPR: 1 | POS | INT | 11 | 30 | 30 | (6*5)=x | 6 5 * x = | 6:marble 5:benny *:benny x:benny =:benny
EXPR: 1 | POS | INT | 12 | 30 | 30 | (x/6)=5 | x 6 / 5 = | x:benny 6:marble /:benny 5:benny =:benny
EXPR: 0 | POS | INT | 12 | 30 | 11 | (x-6)=5 | x 6 - 5 = | x:marble 6:marble -:marble 5:marble =:marble
EXPR: 0 | POS | INT | 12 | 30 | 1 | (6-x)=5 | 6 x - 5 = | 6:marble x:marble -:marble 5:marble =:marble
EXPR: 0 | POS | INT | 12 | 30 | 11 | 6=(x-5) | 6 x 5 - = | 6:marble x:marble 5:marble -:marble =:marble
EXPR: 0 | POS | INT | 12 | 30 | 1 | 6=(x+5) | 6 x 5 + = | 6:marble x:marble 5:marble +:marble =:marble
EXPR: 0 | POS | INT | 12 | 30 | 1 | 6=(5+x) | 6 5 x + = | 6:marble 5:marble x:marble +:marble =:marble
EXPR: 0 | POS | INT | 14 | 30 | 1 | (x+5)=6 | x 5 + 6 = | x:marble 5:marble +:marble 6:marble =:marble
EXPR: 0 | POS | INT | 14 | 30 | 1 | 5=(6-x) | 5 6 x - = | 5:marble 6:marble x:marble -:marble =:marble
EXPR: 1 | POS | INT | 14 | 30 | 30 | 5=(x/6) | 5 x 6 / = | 5:benny x:benny 6:marble /:benny =:benny
EXPR: 0 | POS | INT | 14 | 30 | 11 | (x-5)=6 | x 5 - 6 = | x:marble 5:marble -:marble 6:marble =:marble
EXPR: 0 | POS | INT | 14 | 30 | 1 | (5+x)=6 | 5 x + 6 = | 5:marble x:marble +:marble 6:marble =:marble
EXPR: 0 | POS | INT | 14 | 30 | 11 | 5=(x-6) | 5 x 6 - = | 5:marble x:marble 6:marble -:marble =:marble
EXPR: 0 | POS | INT | 20 | 30 | 11 | (6+5)=x | 6 5 + x = | 6:benny 5:benny +:benny x:benny =:benny
EXPR: 0 | POS | INT | 20 | 30 | 1 | (6-5)=x | 6 5 - x = | 6:benny 5:benny -:benny x:benny =:benny
EXPR: 1 | POS | INT | 20 | 30 | 30 | (6*5)=x | 6 5 * x = | 6:benny 5:marble *:marble x:marble =:marble
EXPR: 0 | POS | INT | 20 | 30 | 1 | x=(6-5) | x 6 5 - = | x:benny 6:benny 5:benny -:benny =:benny
EXPR: 0 | POS | INT | 20 | 30 | 11 | x=(6+5) | x 6 5 + = | x:benny 6:benny 5:benny +:benny =:benny
EXPR: 1 | POS | INT | 20 | 30 | 30 | x=(6*5) | x 6 5 * = | x:marble 6:benny 5:marble *:marble =:marble
EXPR: 0 | POS | INT | 21 | 30 | 1 | (6-5)=x | 6 5 - x = | 6:benny 5:benny -:benny x:benny =:benny
EXPR: 0 | POS | INT | 21 | 30 | 1 | x=(6-5) | x 6 5 - = | x:benny 6:benny 5:benny -:benny =:benny
EXPR: 0 | POS | INT | 21 | 30 | 11 | (6+5)=x | 6 5 + x = | 6:benny 5:benny +:benny x:benny =:benny
EXPR: 1 | POS | INT | 21 | 30 | 30 | (6*5)=x | 6 5 * x = | 6:benny 5:marble *:marble x:marble =:marble
EXPR: 1 | POS | INT | 21 | 30 | 30 | x=(6*5) | x 6 5 * = | x:marble 6:benny 5:marble *:marble =:marble
EXPR: 0 | POS | INT | 21 | 30 | 11 | x=(6+5) | x 6 5 + = | x:benny 6:benny 5:benny +:benny =:benny
EXPR: 0 | POS | INT | 22 | 30 | 11 | (x-6)=5 | x 6 - 5 = | x:benny 6:benny -:benny 5:benny =:benny
EXPR: 0 | POS | INT | 22 | 30 | 1 | (6-x)=5 | 6 x - 5 = | 6:benny x:benny -:benny 5:benny =:benny
EXPR: 1 | POS | INT | 22 | 30 | 30 | (x/6)=5 | x 6 / 5 = | x:marble 6:benny /:marble 5:marble =:marble
EXPR: 0 | POS | INT | 22 | 30 | 11 | 6=(x-5) | 6 x 5 - = | 6:benny x:benny 5:benny -:benny =:benny
EXPR: 0 | POS | INT | 22 | 30 | 1 | 6=(x+5) | 6 x 5 + = | 6:benny x:benny 5:benny +:benny =:benny
EXPR: 0 | POS | INT | 22 | 30 | 1 | 6=(5+x) | 6 5 x + = | 6:benny 5:benny x:benny +:benny =:benny
EXPR: 0 | POS | INT | 24 | 30 | 1 | 5=(6-x) | 5 6 x - = | 5:benny 6:benny x:benny -:benny =:benny
EXPR: 0 | POS | INT | 24 | 30 | 11 | (x-5)=6 | x 5 - 6 = | x:benny 5:benny -:benny 6:benny =:benny
EXPR: 0 | POS | INT | 24 | 30 | 1 | (5+x)=6 | 5 x + 6 = | 5:benny x:benny +:benny 6:benny =:benny
EXPR: 0 | POS | INT | 24 | 30 | 1 | (x+5)=6 | x 5 + 6 = | x:benny 5:benny +:benny 6:benny =:benny
EXPR: 0 | POS | INT | 24 | 30 | 11 | 5=(x-6) | 5 x 6 - = | 5:benny x:benny 6:benny -:benny =:benny
EXPR: 1 | POS | INT | 24 | 30 | 30 | 5=(x/6) | 5 x 6 / = | 5:marble x:marble 6:benny /:marble =:marble
EXPR: 1 | POS | INT | 30 | 30 | 30 | x=(6*5) | x 6 5 * = | x:benny 6:benny 5:marble *:benny =:benny
EXPR: 1 | POS | INT | 30 | 30 | 30 | (6*5)=x | 6 5 * x = | 6:benny 5:marble *:benny x:benny =:benny
EXPR: 1 | POS | INT | 31 | 30 | 30 | x=(6*5) | x 6 5 * = | x:benny 6:benny 5:marble *:benny =:benny
EXPR: 1 | POS | INT | 31 | 30 | 30 | (6*5)=x | 6 5 * x = | 6:benny 5:marble *:benny x:benny =:benny
EXPR: 1 | POS | INT | 32 | 30 | 30 | 6=(x/5) | 6 x 5 / = | 6:benny x:benny 5:marble /:benny =:benny
EXPR: 1 | POS | INT | 34 | 30 | 30 | (x/5)=6 | x 5 / 6 = | x:benny 5:marble /:benny 6:benny =:benny
NET 60 non-negative, integer-valued solutions found out of 136 total solutions
