parameters: n=9 l=4 k=1 p=5 q=1 m=10
TOTAL 1000 solutions found
EXPR: 1 | POS | INT | 0 | 1 | 1 | ((8+13)-(2+18))=x | 8 13 + 2 18 + - x = | 8:dollar 13:dollar +:dollar 2:dollar 18:dollar +:dollar -:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 1 | 5 | (((8+13)+2)-18)=x | 8 13 + 2 + 18 - x = | 8:dollar 13:dollar +:dollar 2:dollar +:dollar 18:dollar -:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 1 | 11 | ((8-(13+2))+18)=x | 8 13 2 + - 18 + x = | 8:dollar 13:dollar 2:dollar +:dollar -:dollar 18:dollar +:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 1 | 5 | (8+(13+(2-18)))=x | 8 13 2 18 - + + x = | 8:dollar 13:dollar 2:dollar 18:dollar -:dollar +:dollar +:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 1 | 5 | ((8+(13+2))-18)=x | 8 13 2 + + 18 - x = | 8:dollar 13:dollar 2:dollar +:dollar +:dollar 18:dollar -:dollar x:dollar =:dollar
EXPR: 1 | POS | INT | 0 | 1 | 1 | (((8+13)-2)-18)=x | 8 13 + 2 - 18 - x = | 8:dollar 13:dollar +:dollar 2:dollar -:dollar 18:dollar -:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 1 | 11 | (((8-13)-2)+18)=x | 8 13 - 2 - 18 + x = | 8:dollar 13:dollar -:dollar 2:dollar -:dollar 18:dollar +:dollar x:dollar =:dollar
EXPR: 1 | POS | INT | 0 | 1 | 1 | ((8+(13-2))-18)=x | 8 13 2 - + 18 - x = | 8:dollar 13:dollar 2:dollar -:dollar +:dollar 18:dollar -:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 1 | 15 | ((8-13)+(2+18))=x | 8 13 - 2 18 + + x = | 8:dollar 13:dollar -:dollar 2:dollar 18:dollar +:dollar +:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 1 | 15 | (((8-13)+2)+18)=x | 8 13 - 2 + 18 + x = | 8:dollar 13:dollar -:dollar 2:dollar +:dollar 18:dollar +:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 1 | 37 | (((8+13)-2)+18)=x | 8 13 + 2 - 18 + x = | 8:dollar 13:dollar +:dollar 2:dollar -:dollar 18:dollar +:dollar x:dollar =:dollar
