parameters: n=5 l=2 k=1 p=5 q=2 m=8
TOTAL 136 solutions found
EXPR: 0 | POS | INT | 0 | 76 | 32 | (54-22)=x | 54 22 - x = | 54:scissors 22:scissors -:scissors x:scissors =:scissors
EXPR: 0 | POS | INT | 0 | 76 | 32 | x=(54-22) | x 54 22 - = | x:scissors 54:scissors 22:scissors -:scissors =:scissors
EXPR: 1 | POS | INT | 0 | 76 | 76 | x=(54+22) | x 54 22 + = | x:scissors 54:scissors 22:scissors +:scissors =:scissors
EXPR: 1 | POS | INT | 0 | 76 | 76 | (54+22)=x | 54 22 + x = | 54:scissors 22:scissors +:scissors x:scissors =:scissors
EXPR: 0 | POS | INT | 1 | 76 | 32 | x=(54-22) | x 54 22 - = | x:scissors 54:scissors 22:scissors -:scissors =:scissors
EXPR: 1 | POS | INT | 1 | 76 | 76 | x=(54+22) | x 54 22 + = | x:scissors 54:scissors 22:scissors +:scissors =:scissors
EXPR: 0 | POS | INT | 1 | 76 | 32 | (54-22)=x | 54 22 - x = | 54:scissors 22:scissors -:scissors x:scissors =:scissors
EXPR: 1 | POS | INT | 1 | 76 | 76 | (54+22)=x | 54 22 + x = | 54:scissors 22:scissors +:scissors x:scissors =:scissors
EXPR: 1 | POS | INT | 2 | 76 | 76 | (x-54)=22 | x 54 - 22 = | x:scissors 54:scissors -:scissors 22:scissors =:scissors
EXPR: 0 | POS | INT | 2 | 76 | 32 | (54-x)=22 | 54 x - 22 = | 54:scissors x:scissors -:scissors 22:scissors =:scissors
EXPR: 0 | POS | INT | 2 | 76 | 32 | 54=(x+22) | 54 x 22 + = | 54:scissors x:scissors 22:scissors +:scissors =:scissors
EXPR: 1 | POS | INT | 2 | 76 | 76 | 54=(x-22) | 54 x 22 - = | 54:scissors x:scissors 22:scissors -:scissors =:scissors
EXPR: 0 | POS | INT | 2 | 76 | 32 | 54=(22+x) | 54 22 x + = | 54:scissors 22:scissors x:scissors +:scissors =:scissors
EXPR: 1 | POS | INT | 4 | 76 | 76 | (x-22)=54 | x 22 - 54 = | x:scissors 22:scissors -:scissors 54:scissors =:scissors
EXPR: 0 | POS | INT | 4 | 76 | 32 | (x+22)=54 | x 22 + 54 = | x:scissors 22:scissors +:scissors 54:scissors =:scissors
EXPR: 0 | POS | INT | 4 | 76 | 32 | (22+x)=54 | 22 x + 54 = | 22:scissors x:scissors +:scissors 54:scissors =:scissors
EXPR: 0 | POS | INT | 4 | 76 | 32 | 22=(54-x) | 22 54 x - = | 22:scissors 54:scissors x:scissors -:scissors =:scissors
EXPR: 1 | POS | INT | 4 | 76 | 76 | 22=(x-54) | 22 x 54 - = | 22:scissors x:scissors 54:scissors -:scissors =:scissors
EXPR: 0 | POS | INT | 10 | 76 | 1188 | (54*22)=x | 54 22 * x = | 54:scissors 22:NONE *:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 10 | 76 | 1188 | x=(54*22) | x 54 22 * = | x:scissors 54:NONE 22:scissors *:scissors =:scissors
EXPR: 0 | POS | INT | 10 | 76 | 1188 | (54*22)=x | 54 22 * x = | 54:NONE 22:scissors *:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 10 | 76 | 1188 | (54*22)=x | 54 22 * x = | 54:NONE 22:scissors *:scissors x:scissors =:scissors
EXPR: 0 | POS | INT | 10 | 76 | 1188 | x=(54*22) | x 54 22 * = | x:NONE 54:scissors 22:NONE *:NONE =:NONE
EXPR: 0 | POS | INT | 10 | 76 | 1188 | (54*22)=x | 54 22 * x = | 54:scissors 22:NONE *:scissors x:scissors =:scissors
EXPR: 0 | POS | INT | 10 | 76 | 1188 | x=(54*22) | x 54 22 * = | x:scissors 54:scissors 22:NONE *:scissors =:scissors
EXPR: 0 | POS | INT | 10 | 76 | 1188 | x=(54*22) | x 54 22 * = | x:NONE 54:NONE 22:scissors *:NONE =:NONE
EXPR: 0 | POS | INT | 11 | 76 | 1188 | (54*22)=x | 54 22 * x = | 54:NONE 22:scissors *:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 11 | 76 | 1188 | x=(54*22) | x 54 22 * = | x:scissors 54:NONE 22:scissors *:scissors =:scissors
EXPR: 0 | POS | INT | 11 | 76 | 1188 | x=(54*22) | x 54 22 * = | x:NONE 54:NONE 22:scissors *:NONE =:NONE
EXPR: 0 | POS | INT | 11 | 76 | 1188 | (54*22)=x | 54 22 * x = | 54:NONE 22:scissors *:scissors x:scissors =:scissors
EXPR: 0 | POS | INT | 11 | 76 | 1188 | x=(54*22) | x 54 22 * = | x:NONE 54:scissors 22:NONE *:NONE =:NONE
EXPR: 0 | POS | INT | 11 | 76 | 1188 | (54*22)=x | 54 22 * x = | 54:scissors 22:NONE *:scissors x:scissors =:scissors
EXPR: 0 | POS | INT | 11 | 76 | 1188 | (54*22)=x | 54 22 * x = | 54:scissors 22:NONE *:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 11 | 76 | 1188 | x=(54*22) | x 54 22 * = | x:scissors 54:scissors 22:NONE *:scissors =:scissors
EXPR: 0 | POS | INT | 12 | 76 | 1188 | 54=(x/22) | 54 x 22 / = | 54:scissors x:scissors 22:NONE /:scissors =:scissors
EXPR: 0 | POS | INT | 12 | 76 | 1188 | (x/54)=22 | x 54 / 22 = | x:scissors 54:NONE /:scissors 22:scissors =:scissors
EXPR: 0 | POS | INT | 12 | 76 | 1188 | 54=(x/22) | 54 x 22 / = | 54:NONE x:NONE 22:scissors /:NONE =:NONE
EXPR: 0 | POS | INT | 12 | 76 | 1188 | (x/54)=22 | x 54 / 22 = | x:NONE 54:scissors /:NONE 22:NONE =:NONE
EXPR: 0 | POS | INT | 14 | 76 | 1188 | (x/22)=54 | x 22 / 54 = | x:NONE 22:scissors /:NONE 54:NONE =:NONE
EXPR: 0 | POS | INT | 14 | 76 | 1188 | (x/22)=54 | x 22 / 54 = | x:scissors 22:NONE /:scissors 54:scissors =:scissors
EXPR: 0 | POS | INT | 14 | 76 | 1188 | 22=(x/54) | 22 x 54 / = | 22:NONE x:NONE 54:scissors /:NONE =:NONE
EXPR: 0 | POS | INT | 14 | 76 | 1188 | 22=(x/54) | 22 x 54 / = | 22:scissors x:scissors 54:NONE /:scissors =:scissors
EXPR: 0 | POS | INT | 20 | 76 | 32 | x=(54-22) | x 54 22 - = | x:NONE 54:NONE 22:NONE -:NONE =:NONE
EXPR: 1 | POS | INT | 20 | 76 | 76 | x=(54+22) | x 54 22 + = | x:NONE 54:NONE 22:NONE +:NONE =:NONE
EXPR: 0 | POS | INT | 20 | 76 | 32 | (54-22)=x | 54 22 - x = | 54:NONE 22:NONE -:NONE x:NONE =:NONE
EXPR: 1 | POS | INT | 20 | 76 | 76 | (54+22)=x | 54 22 + x = | 54:NONE 22:NONE +:NONE x:NONE =:NONE
EXPR: 1 | POS | INT | 21 | 76 | 76 | x=(54+22) | x 54 22 + = | x:NONE 54:NONE 22:NONE +:NONE =:NONE
EXPR: 1 | POS | INT | 21 | 76 | 76 | (54+22)=x | 54 22 + x = | 54:NONE 22:NONE +:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 21 | 76 | 32 | x=(54-22) | x 54 22 - = | x:NONE 54:NONE 22:NONE -:NONE =:NONE
EXPR: 0 | POS | INT | 21 | 76 | 32 | (54-22)=x | 54 22 - x = | 54:NONE 22:NONE -:NONE x:NONE =:NONE
EXPR: 1 | POS | INT | 22 | 76 | 76 | (x-54)=22 | x 54 - 22 = | x:NONE 54:NONE -:NONE 22:NONE =:NONE
EXPR: 0 | POS | INT | 22 | 76 | 32 | (54-x)=22 | 54 x - 22 = | 54:NONE x:NONE -:NONE 22:NONE =:NONE
EXPR: 0 | POS | INT | 22 | 76 | 32 | 54=(x+22) | 54 x 22 + = | 54:NONE x:NONE 22:NONE +:NONE =:NONE
EXPR: 1 | POS | INT | 22 | 76 | 76 | 54=(x-22) | 54 x 22 - = | 54:NONE x:NONE 22:NONE -:NONE =:NONE
EXPR: 0 | POS | INT | 22 | 76 | 32 | 54=(22+x) | 54 22 x + = | 54:NONE 22:NONE x:NONE +:NONE =:NONE
EXPR: 1 | POS | INT | 24 | 76 | 76 | (x-22)=54 | x 22 - 54 = | x:NONE 22:NONE -:NONE 54:NONE =:NONE
EXPR: 0 | POS | INT | 24 | 76 | 32 | (22+x)=54 | 22 x + 54 = | 22:NONE x:NONE +:NONE 54:NONE =:NONE
EXPR: 0 | POS | INT | 24 | 76 | 32 | (x+22)=54 | x 22 + 54 = | x:NONE 22:NONE +:NONE 54:NONE =:NONE
EXPR: 0 | POS | INT | 24 | 76 | 32 | 22=(54-x) | 22 54 x - = | 22:NONE 54:NONE x:NONE -:NONE =:NONE
EXPR: 1 | POS | INT | 24 | 76 | 76 | 22=(x-54) | 22 x 54 - = | 22:NONE x:NONE 54:NONE -:NONE =:NONE
