parameters: n=5 l=2 k=1 p=5 q=2 m=8
TOTAL 136 solutions found
EXPR: 1 | POS | INT | 0 | 16 | 16 | (79-63)=x | 79 63 - x = | 79:seashell 63:seashell -:seashell x:seashell =:seashell
EXPR: 1 | POS | INT | 0 | 16 | 16 | x=(79-63) | x 79 63 - = | x:seashell 79:seashell 63:seashell -:seashell =:seashell
EXPR: 0 | POS | INT | 0 | 16 | 142 | x=(79+63) | x 79 63 + = | x:seashell 79:seashell 63:seashell +:seashell =:seashell
EXPR: 0 | POS | INT | 0 | 16 | 142 | (79+63)=x | 79 63 + x = | 79:seashell 63:seashell +:seashell x:seashell =:seashell
EXPR: 1 | POS | INT | 1 | 16 | 16 | x=(79-63) | x 79 63 - = | x:seashell 79:seashell 63:seashell -:seashell =:seashell
EXPR: 0 | POS | INT | 1 | 16 | 142 | x=(79+63) | x 79 63 + = | x:seashell 79:seashell 63:seashell +:seashell =:seashell
EXPR: 1 | POS | INT | 1 | 16 | 16 | (79-63)=x | 79 63 - x = | 79:seashell 63:seashell -:seashell x:seashell =:seashell
EXPR: 0 | POS | INT | 1 | 16 | 142 | (79+63)=x | 79 63 + x = | 79:seashell 63:seashell +:seashell x:seashell =:seashell
EXPR: 0 | POS | INT | 2 | 16 | 142 | (x-79)=63 | x 79 - 63 = | x:seashell 79:seashell -:seashell 63:seashell =:seashell
EXPR: 1 | POS | INT | 2 | 16 | 16 | (79-x)=63 | 79 x - 63 = | 79:seashell x:seashell -:seashell 63:seashell =:seashell
EXPR: 1 | POS | INT | 2 | 16 | 16 | 79=(x+63) | 79 x 63 + = | 79:seashell x:seashell 63:seashell +:seashell =:seashell
EXPR: 0 | POS | INT | 2 | 16 | 142 | 79=(x-63) | 79 x 63 - = | 79:seashell x:seashell 63:seashell -:seashell =:seashell
EXPR: 1 | POS | INT | 2 | 16 | 16 | 79=(63+x) | 79 63 x + = | 79:seashell 63:seashell x:seashell +:seashell =:seashell
EXPR: 0 | POS | INT | 4 | 16 | 142 | (x-63)=79 | x 63 - 79 = | x:seashell 63:seashell -:seashell 79:seashell =:seashell
EXPR: 1 | POS | INT | 4 | 16 | 16 | (x+63)=79 | x 63 + 79 = | x:seashell 63:seashell +:seashell 79:seashell =:seashell
EXPR: 1 | POS | INT | 4 | 16 | 16 | (63+x)=79 | 63 x + 79 = | 63:seashell x:seashell +:seashell 79:seashell =:seashell
EXPR: 1 | POS | INT | 4 | 16 | 16 | 63=(79-x) | 63 79 x - = | 63:seashell 79:seashell x:seashell -:seashell =:seashell
EXPR: 0 | POS | INT | 4 | 16 | 142 | 63=(x-79) | 63 x 79 - = | 63:seashell x:seashell 79:seashell -:seashell =:seashell
EXPR: 0 | POS | INT | 10 | 16 | 4977 | (79*63)=x | 79 63 * x = | 79:seashell 63:NONE *:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 10 | 16 | 4977 | x=(79*63) | x 79 63 * = | x:seashell 79:NONE 63:seashell *:seashell =:seashell
EXPR: 0 | POS | INT | 10 | 16 | 4977 | (79*63)=x | 79 63 * x = | 79:NONE 63:seashell *:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 10 | 16 | 4977 | (79*63)=x | 79 63 * x = | 79:NONE 63:seashell *:seashell x:seashell =:seashell
EXPR: 0 | POS | INT | 10 | 16 | 4977 | x=(79*63) | x 79 63 * = | x:NONE 79:seashell 63:NONE *:NONE =:NONE
