parameters: n=5 l=2 k=1 p=5 q=1 m=8
TOTAL 28 solutions found
EXPR: 0 | POS | INT | 0 | 16 | 10 | (8+2)=x | 8 2 + x = | 8:trout 2:trout +:trout x:trout =:trout
EXPR: 0 | POS | INT | 0 | 16 | 6 | x=(8-2) | x 8 2 - = | x:trout 8:trout 2:trout -:trout =:trout
EXPR: 0 | POS | INT | 0 | 16 | 6 | (8-2)=x | 8 2 - x = | 8:trout 2:trout -:trout x:trout =:trout
EXPR: 0 | POS | INT | 0 | 16 | 10 | x=(8+2) | x 8 2 + = | x:trout 8:trout 2:trout +:trout =:trout
EXPR: 0 | POS | INT | 1 | 16 | 6 | x=(8-2) | x 8 2 - = | x:trout 8:trout 2:trout -:trout =:trout
EXPR: 0 | POS | INT | 1 | 16 | 10 | x=(8+2) | x 8 2 + = | x:trout 8:trout 2:trout +:trout =:trout
EXPR: 0 | POS | INT | 1 | 16 | 10 | (8+2)=x | 8 2 + x = | 8:trout 2:trout +:trout x:trout =:trout
EXPR: 0 | POS | INT | 1 | 16 | 6 | (8-2)=x | 8 2 - x = | 8:trout 2:trout -:trout x:trout =:trout
EXPR: 0 | POS | INT | 2 | 16 | 6 | 8=(2+x) | 8 2 x + = | 8:trout 2:trout x:trout +:trout =:trout
EXPR: 0 | POS | INT | 2 | 16 | 6 | 8=(x+2) | 8 x 2 + = | 8:trout x:trout 2:trout +:trout =:trout
EXPR: 0 | POS | INT | 2 | 16 | 10 | (x-8)=2 | x 8 - 2 = | x:trout 8:trout -:trout 2:trout =:trout
EXPR: 0 | POS | INT | 2 | 16 | 10 | 8=(x-2) | 8 x 2 - = | 8:trout x:trout 2:trout -:trout =:trout
EXPR: 0 | POS | INT | 2 | 16 | 6 | (8-x)=2 | 8 x - 2 = | 8:trout x:trout -:trout 2:trout =:trout
EXPR: 0 | POS | INT | 4 | 16 | 10 | (x-2)=8 | x 2 - 8 = | x:trout 2:trout -:trout 8:trout =:trout
EXPR: 0 | POS | INT | 4 | 16 | 6 | (x+2)=8 | x 2 + 8 = | x:trout 2:trout +:trout 8:trout =:trout
EXPR: 0 | POS | INT | 4 | 16 | 10 | 2=(x-8) | 2 x 8 - = | 2:trout x:trout 8:trout -:trout =:trout
EXPR: 0 | POS | INT | 4 | 16 | 6 | 2=(8-x) | 2 8 x - = | 2:trout 8:trout x:trout -:trout =:trout
EXPR: 0 | POS | INT | 4 | 16 | 6 | (2+x)=8 | 2 x + 8 = | 2:trout x:trout +:trout 8:trout =:trout
NET 18 non-negative, integer-valued solutions found out of 28 total solutions
