parameters: n=7 l=3 k=1 p=5 q=1 m=9
TOTAL 480 solutions found
EXPR: 0 | POS | FRA | 0 | 2.51 | 20.99 | x=(9.24-(8.25-20)) | x 9.24 8.25 20 - - = | x:dollar 9.24:dollar 8.25:dollar 20:dollar -:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 0 | 2.51 | 20.99 | ((9.24-8.25)+20)=x | 9.24 8.25 - 20 + x = | 9.24:dollar 8.25:dollar -:dollar 20:dollar +:dollar x:dollar =:dollar
EXPR: 0 | POS | FRA | 0 | 2.51 | 37.49 | ((9.24+8.25)+20)=x | 9.24 8.25 + 20 + x = | 9.24:dollar 8.25:dollar +:dollar 20:dollar +:dollar x:dollar =:dollar
EXPR: 0 | POS | FRA | 0 | 2.51 | 37.49 | x=(9.24+(8.25+20)) | x 9.24 8.25 20 + + = | x:dollar 9.24:dollar 8.25:dollar 20:dollar +:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 0 | 2.51 | 37.49 | x=((9.24+8.25)+20) | x 9.24 8.25 + 20 + = | x:dollar 9.24:dollar 8.25:dollar +:dollar 20:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 0 | 2.51 | 20.99 | x=((9.24-8.25)+20) | x 9.24 8.25 - 20 + = | x:dollar 9.24:dollar 8.25:dollar -:dollar 20:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 0 | 2.51 | 20.99 | (9.24-(8.25-20))=x | 9.24 8.25 20 - - x = | 9.24:dollar 8.25:dollar 20:dollar -:dollar -:dollar x:dollar =:dollar
EXPR: 0 | POS | FRA | 0 | 2.51 | 37.49 | (9.24+(8.25+20))=x | 9.24 8.25 20 + + x = | 9.24:dollar 8.25:dollar 20:dollar +:dollar +:dollar x:dollar =:dollar
EXPR: 0 | POS | FRA | 1 | 2.51 | 20.99 | ((9.24-8.25)+20)=x | 9.24 8.25 - 20 + x = | 9.24:dollar 8.25:dollar -:dollar 20:dollar +:dollar x:dollar =:dollar
EXPR: 0 | POS | FRA | 1 | 2.51 | 20.99 | x=(9.24-(8.25-20)) | x 9.24 8.25 20 - - = | x:dollar 9.24:dollar 8.25:dollar 20:dollar -:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 1 | 2.51 | 37.49 | ((9.24+8.25)+20)=x | 9.24 8.25 + 20 + x = | 9.24:dollar 8.25:dollar +:dollar 20:dollar +:dollar x:dollar =:dollar
