parameters: n=7 l=3 k=1 p=5 q=2 m=9
TOTAL 1000 solutions found
EXPR: 0 | POS | INT | 0 | 8 | 10 | x=(0.5*(8+12)) | x 0.5 8 12 + * = | x:dollar 0.5:half 8:dollar 12:dollar +:dollar *:dollar =:dollar
EXPR: 0 | POS | FRA | 0 | 8 | 0.75 | x=((0.5/8)*12) | x 0.5 8 / 12 * = | x:dollar 0.5:half 8:dollar /:half 12:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 8 | 16 | x=((0.5*8)+12) | x 0.5 8 * 12 + = | x:dollar 0.5:half 8:dollar *:dollar 12:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 8 | 16 | x=((0.5*8)+12) | x 0.5 8 * 12 + = | x:dollar 0.5:half 8:dollar *:dollar 12:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 8 | 10 | x=(0.5*(8+12)) | x 0.5 8 12 + * = | x:dollar 0.5:half 8:dollar 12:dollar +:dollar *:dollar =:dollar
EXPR: 0 | POS | FRA | 1 | 8 | 0.75 | x=((0.5/8)*12) | x 0.5 8 / 12 * = | x:dollar 0.5:half 8:dollar /:half 12:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 8 | 192 | (x*(0.5/8))=12 | x 0.5 8 / * 12 = | x:dollar 0.5:half 8:dollar /:half *:dollar 12:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 8 | 10 | ((x/0.5)-8)=12 | x 0.5 / 8 - 12 = | x:dollar 0.5:half /:dollar 8:dollar -:dollar 12:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 8 | 2 | ((x/0.5)+8)=12 | x 0.5 / 8 + 12 = | x:dollar 0.5:half /:dollar 8:dollar +:dollar 12:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 8 | 40 | ((x*0.5)-8)=12 | x 0.5 * 8 - 12 = | x:dollar 0.5:half *:dollar 8:dollar -:dollar 12:dollar =:dollar
EXPR: 1 | POS | INT | 2 | 8 | 8 | ((x*0.5)+8)=12 | x 0.5 * 8 + 12 = | x:dollar 0.5:half *:dollar 8:dollar +:dollar 12:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 8 | 16 | (0.5*(8+x))=12 | 0.5 8 x + * 12 = | 0.5:half 8:dollar x:dollar +:dollar *:dollar 12:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 8 | 32 | (0.5*(x-8))=12 | 0.5 x 8 - * 12 = | 0.5:half x:dollar 8:dollar -:dollar *:dollar 12:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 8 | 16 | (0.5*(x+8))=12 | 0.5 x 8 + * 12 = | 0.5:half x:dollar 8:dollar +:dollar *:dollar 12:dollar =:dollar
EXPR: 1 | POS | INT | 2 | 8 | 8 | (x+(0.5*8))=12 | x 0.5 8 * + 12 = | x:dollar 0.5:half 8:dollar *:dollar +:dollar 12:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 8 | 48 | (x/(0.5*8))=12 | x 0.5 8 * / 12 = | x:dollar 0.5:half 8:dollar *:half /:dollar 12:dollar =:dollar
