parameters: n=5 l=2 k=1 p=5 q=1 m=8
TOTAL 22 solutions found
EXPR: 1 | POS | INT | 0 | 48 | 48 | x=(10+38) | x 10 38 + = | x:book 10:book 38:book +:book =:book
EXPR: 1 | POS | INT | 1 | 48 | 48 | x=(10+38) | x 10 38 + = | x:book 10:book 38:book +:book =:book
EXPR: 0 | POS | INT | 2 | 48 | 28 | (10+x)=38 | 10 x + 38 = | 10:book x:book +:book 38:book =:book
EXPR: 1 | POS | INT | 2 | 48 | 48 | (x-10)=38 | x 10 - 38 = | x:book 10:book -:book 38:book =:book
EXPR: 0 | POS | INT | 2 | 48 | 28 | (x+10)=38 | x 10 + 38 = | x:book 10:book +:book 38:book =:book
EXPR: 0 | POS | INT | 2 | 48 | 28 | 10=(38-x) | 10 38 x - = | 10:book 38:book x:book -:book =:book
EXPR: 1 | POS | INT | 2 | 48 | 48 | 10=(x-38) | 10 x 38 - = | 10:book x:book 38:book -:book =:book
EXPR: 0 | POS | INT | 10 | 48 | 28 | x=(38-10) | x 38 10 - = | x:book 38:book 10:book -:book =:book
EXPR: 0 | POS | INT | 11 | 48 | 28 | x=(38-10) | x 38 10 - = | x:book 38:book 10:book -:book =:book
EXPR: 0 | POS | INT | 12 | 48 | 28 | 38=(x+10) | 38 x 10 + = | 38:book x:book 10:book +:book =:book
EXPR: 1 | POS | INT | 12 | 48 | 48 | 38=(x-10) | 38 x 10 - = | 38:book x:book 10:book -:book =:book
EXPR: 0 | POS | INT | 12 | 48 | 28 | (38-x)=10 | 38 x - 10 = | 38:book x:book -:book 10:book =:book
EXPR: 1 | POS | INT | 12 | 48 | 48 | (x-38)=10 | x 38 - 10 = | x:book 38:book -:book 10:book =:book
EXPR: 0 | POS | INT | 12 | 48 | 28 | 38=(10+x) | 38 10 x + = | 38:book 10:book x:book +:book =:book
NET 14 non-negative, integer-valued solutions found out of 22 total solutions
