parameters: n=5 l=2 k=1 p=5 q=1 m=8
TOTAL 22 solutions found
EXPR: 0 | POS | INT | 0 | 34 | 78 | x=(56+22) | x 56 22 + = | x:seashell 56:seashell 22:seashell +:seashell =:seashell
EXPR: 1 | POS | INT | 0 | 34 | 34 | x=(56-22) | x 56 22 - = | x:seashell 56:seashell 22:seashell -:seashell =:seashell
EXPR: 1 | POS | INT | 1 | 34 | 34 | x=(56-22) | x 56 22 - = | x:seashell 56:seashell 22:seashell -:seashell =:seashell
EXPR: 0 | POS | INT | 1 | 34 | 78 | x=(56+22) | x 56 22 + = | x:seashell 56:seashell 22:seashell +:seashell =:seashell
EXPR: 1 | POS | INT | 2 | 34 | 34 | (56-x)=22 | 56 x - 22 = | 56:seashell x:seashell -:seashell 22:seashell =:seashell
EXPR: 0 | POS | INT | 2 | 34 | 78 | (x-56)=22 | x 56 - 22 = | x:seashell 56:seashell -:seashell 22:seashell =:seashell
EXPR: 1 | POS | INT | 2 | 34 | 34 | 56=(22+x) | 56 22 x + = | 56:seashell 22:seashell x:seashell +:seashell =:seashell
EXPR: 0 | POS | INT | 2 | 34 | 78 | 56=(x-22) | 56 x 22 - = | 56:seashell x:seashell 22:seashell -:seashell =:seashell
EXPR: 1 | POS | INT | 2 | 34 | 34 | 56=(x+22) | 56 x 22 + = | 56:seashell x:seashell 22:seashell +:seashell =:seashell
EXPR: 0 | POS | INT | 12 | 34 | 78 | 22=(x-56) | 22 x 56 - = | 22:seashell x:seashell 56:seashell -:seashell =:seashell
EXPR: 1 | POS | INT | 12 | 34 | 34 | (22+x)=56 | 22 x + 56 = | 22:seashell x:seashell +:seashell 56:seashell =:seashell
EXPR: 1 | POS | INT | 12 | 34 | 34 | (x+22)=56 | x 22 + 56 = | x:seashell 22:seashell +:seashell 56:seashell =:seashell
EXPR: 0 | POS | INT | 12 | 34 | 78 | (x-22)=56 | x 22 - 56 = | x:seashell 22:seashell -:seashell 56:seashell =:seashell
EXPR: 1 | POS | INT | 12 | 34 | 34 | 22=(56-x) | 22 56 x - = | 22:seashell 56:seashell x:seashell -:seashell =:seashell
NET 14 non-negative, integer-valued solutions found out of 22 total solutions
