parameters: n=7 l=3 k=1 p=5 q=3 m=9
TOTAL 1000 solutions found
EXPR: 0 | POS | INT | 2 | 32 | 2 | (x*(48/8))=12 | x 48 8 / * 12 = | x:dozen 48:book 8:mike /:book *:book 12:book =:book
EXPR: 0 | POS | INT | 2 | 32 | 2 | 48=((8*12)/x) | 48 8 12 * x / = | 48:book 8:mike 12:book *:book x:dozen /:book =:book
EXPR: 1 | POS | INT | 2 | 32 | 32 | 48=((x/8)*12) | 48 x 8 / 12 * = | 48:book x:dozen 8:mike /:dozen 12:book *:book =:book
EXPR: 0 | POS | INT | 2 | 32 | 2 | 48=(8*(12/x)) | 48 8 12 x / * = | 48:book 8:mike 12:book x:dozen /:book *:book =:book
EXPR: 0 | POS | INT | 2 | 32 | 2 | (48*(x/8))=12 | 48 x 8 / * 12 = | 48:book x:dozen 8:mike /:dozen *:book 12:book =:book
EXPR: 0 | POS | INT | 2 | 32 | 2 | ((x*48)/8)=12 | x 48 * 8 / 12 = | x:dozen 48:book *:book 8:mike /:book 12:book =:book
EXPR: 1 | POS | INT | 2 | 32 | 32 | (48*(8/x))=12 | 48 8 x / * 12 = | 48:book 8:mike x:dozen /:mike *:book 12:book =:book
EXPR: 0 | POS | INT | 2 | 32 | 2 | ((48*x)/8)=12 | 48 x * 8 / 12 = | 48:book x:dozen *:book 8:mike /:book 12:book =:book
EXPR: 0 | POS | INT | 2 | 32 | 2 | 48=((8/x)*12) | 48 8 x / 12 * = | 48:book 8:mike x:dozen /:mike 12:book *:book =:book
EXPR: 1 | POS | INT | 2 | 32 | 32 | ((48/x)*8)=12 | 48 x / 8 * 12 = | 48:book x:dozen /:book 8:mike *:book 12:book =:book
EXPR: 1 | POS | INT | 2 | 32 | 32 | ((48*8)/x)=12 | 48 8 * x / 12 = | 48:book 8:mike *:book x:dozen /:book 12:book =:book
EXPR: 0 | POS | INT | 2 | 32 | 2 | ((48/8)*x)=12 | 48 8 / x * 12 = | 48:book 8:mike /:book x:dozen *:book 12:book =:book
EXPR: 1 | POS | INT | 10 | 32 | 32 | x=((48*8)/12) | x 48 8 * 12 / = | x:dozen 48:book 8:dozen *:dozen 12:book /:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 32 | 4608 | x=((48*8)*12) | x 48 8 * 12 * = | x:dozen 48:book 8:mike *:mike 12:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 32 | 4608 | x=(48*(8*12)) | x 48 8 12 * * = | x:dozen 48:dozen 8:mike 12:book *:mike *:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 32 | 4608 | x=((48*8)*12) | x 48 8 * 12 * = | x:dozen 48:book 8:mike *:book 12:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 32 | 72 | x=((48/8)*12) | x 48 8 / 12 * = | x:dozen 48:book 8:mike /:book 12:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 32 | 4608 | x=((48*8)*12) | x 48 8 * 12 * = | x:book 48:book 8:mike *:mike 12:book *:book =:book
EXPR: 0 | POS | INT | 10 | 32 | 4608 | x=(48*(8*12)) | x 48 8 12 * * = | x:dozen 48:book 8:mike 12:dozen *:dozen *:dozen =:dozen
EXPR: 1 | POS | INT | 10 | 32 | 32 | x=((48*8)/12) | x 48 8 * 12 / = | x:mike 48:book 8:mike *:mike 12:book /:mike =:mike
EXPR: 0 | POS | INT | 10 | 32 | 4608 | x=((48*8)*12) | x 48 8 * 12 * = | x:dozen 48:dozen 8:mike *:dozen 12:book *:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 32 | 4608 | x=((48*8)*12) | x 48 8 * 12 * = | x:mike 48:book 8:mike *:mike 12:book *:mike =:mike
EXPR: 1 | POS | INT | 10 | 32 | 32 | x=((48*8)/12) | x 48 8 * 12 / = | x:dozen 48:dozen 8:mike *:dozen 12:book /:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 32 | 72 | x=((48/8)*12) | x 48 8 / 12 * = | x:dozen 48:dozen 8:mike /:dozen 12:book *:dozen =:dozen
EXPR: 1 | POS | INT | 10 | 32 | 32 | x=(48*(8/12)) | x 48 8 12 / * = | x:dozen 48:dozen 8:mike 12:book /:mike *:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 32 | 144 | x=(48+(8*12)) | x 48 8 12 * + = | x:book 48:book 8:mike 12:book *:book +:book =:book
EXPR: 0 | POS | INT | 11 | 32 | 4608 | x=((48*8)*12) | x 48 8 * 12 * = | x:dozen 48:book 8:mike *:mike 12:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 11 | 32 | 4608 | x=(48*(8*12)) | x 48 8 12 * * = | x:dozen 48:book 8:mike 12:dozen *:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 11 | 32 | 4608 | x=((48*8)*12) | x 48 8 * 12 * = | x:dozen 48:book 8:mike *:book 12:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 11 | 32 | 72 | x=((48/8)*12) | x 48 8 / 12 * = | x:dozen 48:book 8:mike /:book 12:dozen *:dozen =:dozen
EXPR: 1 | POS | INT | 11 | 32 | 32 | x=((48*8)/12) | x 48 8 * 12 / = | x:mike 48:book 8:mike *:mike 12:book /:mike =:mike
EXPR: 0 | POS | INT | 11 | 32 | 4608 | x=((48*8)*12) | x 48 8 * 12 * = | x:mike 48:book 8:mike *:mike 12:book *:mike =:mike
EXPR: 1 | POS | INT | 11 | 32 | 32 | x=((48*8)/12) | x 48 8 * 12 / = | x:dozen 48:dozen 8:mike *:dozen 12:book /:dozen =:dozen
EXPR: 0 | POS | INT | 11 | 32 | 4608 | x=((48*8)*12) | x 48 8 * 12 * = | x:dozen 48:dozen 8:mike *:dozen 12:book *:dozen =:dozen
EXPR: 0 | POS | INT | 11 | 32 | 4608 | x=(48*(8*12)) | x 48 8 12 * * = | x:dozen 48:dozen 8:mike 12:book *:mike *:dozen =:dozen
EXPR: 1 | POS | INT | 11 | 32 | 32 | x=(48*(8/12)) | x 48 8 12 / * = | x:dozen 48:dozen 8:mike 12:book /:mike *:dozen =:dozen
EXPR: 1 | POS | INT | 11 | 32 | 32 | x=((48*8)/12) | x 48 8 * 12 / = | x:dozen 48:book 8:dozen *:dozen 12:book /:dozen =:dozen
EXPR: 0 | POS | INT | 11 | 32 | 144 | x=(48+(8*12)) | x 48 8 12 * + = | x:book 48:book 8:mike 12:book *:book +:book =:book
EXPR: 0 | POS | INT | 12 | 32 | 2 | 48=((12/x)*8) | 48 12 x / 8 * = | 48:book 12:book x:dozen /:book 8:mike *:book =:book
