parameters: n=5 l=2 k=1 p=5 q=2 m=8
TOTAL 108 solutions found
EXPR: 1 | POS | INT | 2 | 3 | 3 | 36.0=(x*12) | 36.0 x 12 * = | 36.0:quarter x:dozen 12:quarter *:quarter =:quarter
EXPR: 1 | POS | INT | 2 | 3 | 3 | (36.0/x)=12 | 36.0 x / 12 = | 36.0:quarter x:dozen /:quarter 12:quarter =:quarter
EXPR: 1 | POS | INT | 2 | 3 | 3 | 36.0=(12*x) | 36.0 12 x * = | 36.0:quarter 12:quarter x:dozen *:quarter =:quarter
EXPR: 0 | POS | INT | 10 | 3 | 24 | x=(36.0-12) | x 36.0 12 - = | x:quarter 36.0:quarter 12:quarter -:quarter =:quarter
EXPR: 1 | POS | INT | 10 | 3 | 3 | x=(36.0/12) | x 36.0 12 / = | x:dozen 36.0:dozen 12:quarter /:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 3 | 48 | x=(36.0+12) | x 36.0 12 + = | x:quarter 36.0:quarter 12:quarter +:quarter =:quarter
EXPR: 0 | POS | INT | 10 | 3 | 432 | x=(36.0*12) | x 36.0 12 * = | x:dozen 36.0:quarter 12:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 3 | 432 | x=(36.0*12) | x 36.0 12 * = | x:dozen 36.0:dozen 12:quarter *:dozen =:dozen
EXPR: 0 | POS | INT | 11 | 3 | 24 | x=(36.0-12) | x 36.0 12 - = | x:quarter 36.0:quarter 12:quarter -:quarter =:quarter
EXPR: 0 | POS | INT | 11 | 3 | 48 | x=(36.0+12) | x 36.0 12 + = | x:quarter 36.0:quarter 12:quarter +:quarter =:quarter
EXPR: 0 | POS | INT | 11 | 3 | 432 | x=(36.0*12) | x 36.0 12 * = | x:dozen 36.0:quarter 12:dozen *:dozen =:dozen
EXPR: 1 | POS | INT | 11 | 3 | 3 | x=(36.0/12) | x 36.0 12 / = | x:dozen 36.0:dozen 12:quarter /:dozen =:dozen
EXPR: 0 | POS | INT | 11 | 3 | 432 | x=(36.0*12) | x 36.0 12 * = | x:dozen 36.0:dozen 12:quarter *:dozen =:dozen
EXPR: 1 | POS | INT | 12 | 3 | 3 | 12=(36.0/x) | 12 36.0 x / = | 12:quarter 36.0:quarter x:dozen /:quarter =:quarter
EXPR: 1 | POS | INT | 12 | 3 | 3 | (12*x)=36.0 | 12 x * 36.0 = | 12:quarter x:dozen *:quarter 36.0:quarter =:quarter
EXPR: 1 | POS | INT | 12 | 3 | 3 | 36.0=(x*12) | 36.0 x 12 * = | 36.0:dozen x:dozen 12:quarter *:dozen =:dozen
EXPR: 0 | POS | INT | 12 | 3 | 24 | (36.0-x)=12 | 36.0 x - 12 = | 36.0:quarter x:quarter -:quarter 12:quarter =:quarter
EXPR: 1 | POS | INT | 12 | 3 | 3 | (x*12)=36.0 | x 12 * 36.0 = | x:dozen 12:quarter *:quarter 36.0:quarter =:quarter
EXPR: 0 | POS | INT | 12 | 3 | 432 | (x/36.0)=12 | x 36.0 / 12 = | x:dozen 36.0:quarter /:dozen 12:dozen =:dozen
EXPR: 0 | POS | INT | 12 | 3 | 48 | (x-36.0)=12 | x 36.0 - 12 = | x:quarter 36.0:quarter -:quarter 12:quarter =:quarter
EXPR: 0 | POS | INT | 12 | 3 | 24 | 36.0=(12+x) | 36.0 12 x + = | 36.0:quarter 12:quarter x:quarter +:quarter =:quarter
EXPR: 1 | POS | INT | 12 | 3 | 3 | 36.0=(12*x) | 36.0 12 x * = | 36.0:dozen 12:quarter x:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 12 | 3 | 432 | 36.0=(x/12) | 36.0 x 12 / = | 36.0:dozen x:dozen 12:quarter /:dozen =:dozen
EXPR: 0 | POS | INT | 12 | 3 | 24 | 36.0=(x+12) | 36.0 x 12 + = | 36.0:quarter x:quarter 12:quarter +:quarter =:quarter
EXPR: 0 | POS | INT | 12 | 3 | 48 | 36.0=(x-12) | 36.0 x 12 - = | 36.0:quarter x:quarter 12:quarter -:quarter =:quarter
EXPR: 0 | POS | INT | 20 | 3 | 432 | x=(36.0*12) | x 36.0 12 * = | x:quarter 36.0:quarter 12:dozen *:quarter =:quarter
EXPR: 0 | POS | INT | 20 | 3 | 24 | x=(36.0-12) | x 36.0 12 - = | x:dozen 36.0:dozen 12:dozen -:dozen =:dozen
EXPR: 0 | POS | INT | 20 | 3 | 48 | x=(36.0+12) | x 36.0 12 + = | x:dozen 36.0:dozen 12:dozen +:dozen =:dozen
EXPR: 0 | POS | INT | 20 | 3 | 432 | x=(36.0*12) | x 36.0 12 * = | x:quarter 36.0:dozen 12:quarter *:quarter =:quarter
EXPR: 1 | POS | INT | 20 | 3 | 3 | x=(36.0/12) | x 36.0 12 / = | x:quarter 36.0:quarter 12:dozen /:quarter =:quarter
EXPR: 0 | POS | INT | 21 | 3 | 432 | x=(36.0*12) | x 36.0 12 * = | x:quarter 36.0:quarter 12:dozen *:quarter =:quarter
EXPR: 0 | POS | INT | 21 | 3 | 432 | x=(36.0*12) | x 36.0 12 * = | x:quarter 36.0:dozen 12:quarter *:quarter =:quarter
EXPR: 0 | POS | INT | 21 | 3 | 24 | x=(36.0-12) | x 36.0 12 - = | x:dozen 36.0:dozen 12:dozen -:dozen =:dozen
EXPR: 0 | POS | INT | 21 | 3 | 48 | x=(36.0+12) | x 36.0 12 + = | x:dozen 36.0:dozen 12:dozen +:dozen =:dozen
EXPR: 1 | POS | INT | 21 | 3 | 3 | x=(36.0/12) | x 36.0 12 / = | x:quarter 36.0:quarter 12:dozen /:quarter =:quarter
EXPR: 1 | POS | INT | 22 | 3 | 3 | 36.0=(x*12) | 36.0 x 12 * = | 36.0:quarter x:quarter 12:dozen *:quarter =:quarter
EXPR: 1 | POS | INT | 22 | 3 | 3 | (12*x)=36.0 | 12 x * 36.0 = | 12:quarter x:dozen *:dozen 36.0:dozen =:dozen
EXPR: 0 | POS | INT | 22 | 3 | 432 | 36.0=(x/12) | 36.0 x 12 / = | 36.0:quarter x:quarter 12:dozen /:quarter =:quarter
EXPR: 0 | POS | INT | 22 | 3 | 48 | 36.0=(x-12) | 36.0 x 12 - = | 36.0:dozen x:dozen 12:dozen -:dozen =:dozen
EXPR: 0 | POS | INT | 22 | 3 | 432 | (x/36.0)=12 | x 36.0 / 12 = | x:quarter 36.0:dozen /:quarter 12:quarter =:quarter
EXPR: 0 | POS | INT | 22 | 3 | 24 | 12=(36.0-x) | 12 36.0 x - = | 12:quarter 36.0:quarter x:quarter -:quarter =:quarter
EXPR: 0 | POS | INT | 22 | 3 | 48 | (x-36.0)=12 | x 36.0 - 12 = | x:dozen 36.0:dozen -:dozen 12:dozen =:dozen
EXPR: 0 | POS | INT | 22 | 3 | 24 | 36.0=(12+x) | 36.0 12 x + = | 36.0:dozen 12:dozen x:dozen +:dozen =:dozen
EXPR: 0 | POS | INT | 22 | 3 | 432 | 12=(x/36.0) | 12 x 36.0 / = | 12:dozen x:dozen 36.0:quarter /:dozen =:dozen
EXPR: 0 | POS | INT | 22 | 3 | 24 | 36.0=(x+12) | 36.0 x 12 + = | 36.0:dozen x:dozen 12:dozen +:dozen =:dozen
EXPR: 0 | POS | INT | 22 | 3 | 24 | (12+x)=36.0 | 12 x + 36.0 = | 12:quarter x:quarter +:quarter 36.0:quarter =:quarter
EXPR: 0 | POS | INT | 22 | 3 | 24 | (36.0-x)=12 | 36.0 x - 12 = | 36.0:dozen x:dozen -:dozen 12:dozen =:dozen
EXPR: 1 | POS | INT | 22 | 3 | 3 | (x*12)=36.0 | x 12 * 36.0 = | x:dozen 12:quarter *:dozen 36.0:dozen =:dozen
EXPR: 0 | POS | INT | 22 | 3 | 432 | (x/12)=36.0 | x 12 / 36.0 = | x:dozen 12:quarter /:dozen 36.0:dozen =:dozen
EXPR: 0 | POS | INT | 22 | 3 | 48 | (x-12)=36.0 | x 12 - 36.0 = | x:quarter 12:quarter -:quarter 36.0:quarter =:quarter
EXPR: 0 | POS | INT | 22 | 3 | 24 | (x+12)=36.0 | x 12 + 36.0 = | x:quarter 12:quarter +:quarter 36.0:quarter =:quarter
EXPR: 1 | POS | INT | 22 | 3 | 3 | 36.0=(12*x) | 36.0 12 x * = | 36.0:quarter 12:dozen x:quarter *:quarter =:quarter
EXPR: 0 | POS | INT | 22 | 3 | 48 | 12=(x-36.0) | 12 x 36.0 - = | 12:quarter x:quarter 36.0:quarter -:quarter =:quarter
EXPR: 0 | POS | INT | 32 | 3 | 24 | 12=(36.0-x) | 12 36.0 x - = | 12:dozen 36.0:dozen x:dozen -:dozen =:dozen
EXPR: 1 | POS | INT | 32 | 3 | 3 | (36.0/x)=12 | 36.0 x / 12 = | 36.0:dozen x:quarter /:dozen 12:dozen =:dozen
EXPR: 0 | POS | INT | 32 | 3 | 432 | 12=(x/36.0) | 12 x 36.0 / = | 12:quarter x:quarter 36.0:dozen /:quarter =:quarter
EXPR: 0 | POS | INT | 32 | 3 | 24 | (12+x)=36.0 | 12 x + 36.0 = | 12:dozen x:dozen +:dozen 36.0:dozen =:dozen
EXPR: 0 | POS | INT | 32 | 3 | 48 | 12=(x-36.0) | 12 x 36.0 - = | 12:dozen x:dozen 36.0:dozen -:dozen =:dozen
EXPR: 1 | POS | INT | 32 | 3 | 3 | (12*x)=36.0 | 12 x * 36.0 = | 12:dozen x:quarter *:quarter 36.0:quarter =:quarter
EXPR: 1 | POS | INT | 32 | 3 | 3 | 36.0=(x*12) | 36.0 x 12 * = | 36.0:dozen x:quarter 12:dozen *:dozen =:dozen
EXPR: 1 | POS | INT | 32 | 3 | 3 | (x*12)=36.0 | x 12 * 36.0 = | x:quarter 12:dozen *:quarter 36.0:quarter =:quarter
EXPR: 0 | POS | INT | 32 | 3 | 432 | (x/12)=36.0 | x 12 / 36.0 = | x:quarter 12:dozen /:quarter 36.0:quarter =:quarter
EXPR: 0 | POS | INT | 32 | 3 | 48 | (x-12)=36.0 | x 12 - 36.0 = | x:dozen 12:dozen -:dozen 36.0:dozen =:dozen
EXPR: 0 | POS | INT | 32 | 3 | 24 | (x+12)=36.0 | x 12 + 36.0 = | x:dozen 12:dozen +:dozen 36.0:dozen =:dozen
EXPR: 1 | POS | INT | 32 | 3 | 3 | 36.0=(12*x) | 36.0 12 x * = | 36.0:dozen 12:dozen x:quarter *:dozen =:dozen
EXPR: 1 | POS | INT | 42 | 3 | 3 | (12*x)=36.0 | 12 x * 36.0 = | 12:dozen x:quarter *:dozen 36.0:dozen =:dozen
EXPR: 1 | POS | INT | 42 | 3 | 3 | (x*12)=36.0 | x 12 * 36.0 = | x:quarter 12:dozen *:dozen 36.0:dozen =:dozen
EXPR: 1 | POS | INT | 42 | 3 | 3 | 12=(36.0/x) | 12 36.0 x / = | 12:dozen 36.0:dozen x:quarter /:dozen =:dozen
NET 68 non-negative, integer-valued solutions found out of 108 total solutions
