parameters: n=5 l=2 k=1 p=5 q=2 m=8
TOTAL 108 solutions found
EXPR: 1 | POS | INT | 0 | 72 | 72 | x=(6*12) | x 6 12 * = | x:egg 6:dozen 12:egg *:egg =:egg
EXPR: 1 | POS | INT | 1 | 72 | 72 | x=(6*12) | x 6 12 * = | x:egg 6:dozen 12:egg *:egg =:egg
EXPR: 0 | POS | INT | 2 | 72 | 2 | (x*6)=12 | x 6 * 12 = | x:egg 6:dozen *:egg 12:egg =:egg
EXPR: 0 | POS | INT | 2 | 72 | 2 | (6*x)=12 | 6 x * 12 = | 6:dozen x:egg *:egg 12:egg =:egg
EXPR: 1 | POS | INT | 2 | 72 | 72 | (x/6)=12 | x 6 / 12 = | x:egg 6:dozen /:egg 12:egg =:egg
EXPR: 0 | POS | INT | 10 | 72 | 2 | x=(12/6) | x 12 6 / = | x:egg 12:egg 6:dozen /:egg =:egg
EXPR: 1 | POS | INT | 10 | 72 | 72 | x=(6*12) | x 6 12 * = | x:dozen 6:dozen 12:egg *:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 72 | 18 | x=(6+12) | x 6 12 + = | x:egg 6:egg 12:egg +:egg =:egg
EXPR: 0 | POS | INT | 11 | 72 | 2 | x=(12/6) | x 12 6 / = | x:egg 12:egg 6:dozen /:egg =:egg
EXPR: 1 | POS | INT | 11 | 72 | 72 | x=(6*12) | x 6 12 * = | x:dozen 6:dozen 12:egg *:dozen =:dozen
EXPR: 0 | POS | INT | 11 | 72 | 18 | x=(6+12) | x 6 12 + = | x:egg 6:egg 12:egg +:egg =:egg
EXPR: 0 | POS | INT | 12 | 72 | 2 | (x*6)=12 | x 6 * 12 = | x:egg 6:dozen *:dozen 12:dozen =:dozen
EXPR: 0 | POS | INT | 12 | 72 | 18 | (x-6)=12 | x 6 - 12 = | x:egg 6:egg -:egg 12:egg =:egg
EXPR: 0 | POS | INT | 12 | 72 | 2 | 12=(6*x) | 12 6 x * = | 12:egg 6:dozen x:egg *:egg =:egg
EXPR: 0 | POS | INT | 12 | 72 | 6 | (x+6)=12 | x 6 + 12 = | x:egg 6:egg +:egg 12:egg =:egg
