parameters: n=5 l=2 k=1 p=5 q=2 m=8
TOTAL 108 solutions found
EXPR: 1 | POS | INT | 0 | 100 | 100 | x=(12.50*8) | x 12.50 8 * = | x:dollar 12.50:dollar 8:hour *:dollar =:dollar
EXPR: 0 | POS | FRA | 0 | 100 | 1.5625 | x=(12.50/8) | x 12.50 8 / = | x:dollar 12.50:dollar 8:hour /:dollar =:dollar
EXPR: 1 | POS | INT | 1 | 100 | 100 | x=(12.50*8) | x 12.50 8 * = | x:dollar 12.50:dollar 8:hour *:dollar =:dollar
EXPR: 0 | POS | FRA | 1 | 100 | 1.5625 | x=(12.50/8) | x 12.50 8 / = | x:dollar 12.50:dollar 8:hour /:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 100 | 1.5625 | 12.50=(8*x) | 12.50 8 x * = | 12.50:dollar 8:hour x:dollar *:dollar =:dollar
EXPR: 1 | POS | INT | 2 | 100 | 100 | 12.50=(x/8) | 12.50 x 8 / = | 12.50:dollar x:dollar 8:hour /:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 100 | 1.5625 | 12.50=(x*8) | 12.50 x 8 * = | 12.50:dollar x:dollar 8:hour *:dollar =:dollar
EXPR: 1 | POS | INT | 10 | 100 | 100 | x=(12.50*8) | x 12.50 8 * = | x:hour 12.50:dollar 8:hour *:hour =:hour
EXPR: 0 | POS | FRA | 10 | 100 | 4.5 | x=(12.50-8) | x 12.50 8 - = | x:dollar 12.50:dollar 8:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 10 | 100 | 20.5 | x=(12.50+8) | x 12.50 8 + = | x:dollar 12.50:dollar 8:dollar +:dollar =:dollar
EXPR: 1 | POS | INT | 11 | 100 | 100 | x=(12.50*8) | x 12.50 8 * = | x:hour 12.50:dollar 8:hour *:hour =:hour
EXPR: 0 | POS | FRA | 11 | 100 | 4.5 | x=(12.50-8) | x 12.50 8 - = | x:dollar 12.50:dollar 8:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 11 | 100 | 20.5 | x=(12.50+8) | x 12.50 8 + = | x:dollar 12.50:dollar 8:dollar +:dollar =:dollar
