parameters: n=5 l=2 k=1 p=5 q=2 m=8
TOTAL 108 solutions found
EXPR: 1 | POS | INT | 0 | 16 | 16 | x=(8*2) | x 8 2 * = | x:trout 8:trout 2:melanie *:trout =:trout
EXPR: 0 | POS | INT | 0 | 16 | 4 | x=(8/2) | x 8 2 / = | x:trout 8:trout 2:melanie /:trout =:trout
EXPR: 1 | POS | INT | 1 | 16 | 16 | x=(8*2) | x 8 2 * = | x:trout 8:trout 2:melanie *:trout =:trout
EXPR: 0 | POS | INT | 1 | 16 | 4 | x=(8/2) | x 8 2 / = | x:trout 8:trout 2:melanie /:trout =:trout
EXPR: 0 | POS | INT | 2 | 16 | 4 | 8=(2*x) | 8 2 x * = | 8:trout 2:melanie x:trout *:trout =:trout
EXPR: 1 | POS | INT | 2 | 16 | 16 | 8=(x/2) | 8 x 2 / = | 8:trout x:trout 2:melanie /:trout =:trout
EXPR: 0 | POS | INT | 2 | 16 | 4 | 8=(x*2) | 8 x 2 * = | 8:trout x:trout 2:melanie *:trout =:trout
EXPR: 1 | POS | INT | 10 | 16 | 16 | x=(8*2) | x 8 2 * = | x:melanie 8:trout 2:melanie *:melanie =:melanie
EXPR: 0 | POS | INT | 10 | 16 | 6 | x=(8-2) | x 8 2 - = | x:trout 8:trout 2:trout -:trout =:trout
EXPR: 0 | POS | INT | 10 | 16 | 10 | x=(8+2) | x 8 2 + = | x:trout 8:trout 2:trout +:trout =:trout
EXPR: 1 | POS | INT | 11 | 16 | 16 | x=(8*2) | x 8 2 * = | x:melanie 8:trout 2:melanie *:melanie =:melanie
EXPR: 0 | POS | INT | 11 | 16 | 6 | x=(8-2) | x 8 2 - = | x:trout 8:trout 2:trout -:trout =:trout
EXPR: 0 | POS | INT | 11 | 16 | 10 | x=(8+2) | x 8 2 + = | x:trout 8:trout 2:trout +:trout =:trout
EXPR: 0 | POS | INT | 12 | 16 | 4 | 8=(x*2) | 8 x 2 * = | 8:melanie x:trout 2:melanie *:melanie =:melanie
EXPR: 0 | POS | INT | 12 | 16 | 6 | 8=(2+x) | 8 2 x + = | 8:trout 2:trout x:trout +:trout =:trout
EXPR: 1 | POS | INT | 12 | 16 | 16 | (x/8)=2 | x 8 / 2 = | x:melanie 8:trout /:melanie 2:melanie =:melanie
EXPR: 0 | POS | INT | 12 | 16 | 10 | (x-8)=2 | x 8 - 2 = | x:trout 8:trout -:trout 2:trout =:trout
EXPR: 0 | POS | INT | 12 | 16 | 6 | 8=(x+2) | 8 x 2 + = | 8:trout x:trout 2:trout +:trout =:trout
EXPR: 1 | POS | INT | 12 | 16 | 16 | (x/2)=8 | x 2 / 8 = | x:trout 2:melanie /:trout 8:trout =:trout
EXPR: 0 | POS | INT | 12 | 16 | 4 | 8=(2*x) | 8 2 x * = | 8:melanie 2:melanie x:trout *:melanie =:melanie
EXPR: 0 | POS | INT | 12 | 16 | 4 | (x*2)=8 | x 2 * 8 = | x:trout 2:melanie *:trout 8:trout =:trout
EXPR: 0 | POS | INT | 12 | 16 | 10 | 8=(x-2) | 8 x 2 - = | 8:trout x:trout 2:trout -:trout =:trout
EXPR: 0 | POS | INT | 12 | 16 | 4 | (8/x)=2 | 8 x / 2 = | 8:melanie x:trout /:melanie 2:melanie =:melanie
EXPR: 0 | POS | INT | 12 | 16 | 6 | (8-x)=2 | 8 x - 2 = | 8:trout x:trout -:trout 2:trout =:trout
EXPR: 0 | POS | INT | 12 | 16 | 4 | (2*x)=8 | 2 x * 8 = | 2:melanie x:trout *:trout 8:trout =:trout
EXPR: 1 | POS | INT | 20 | 16 | 16 | x=(8*2) | x 8 2 * = | x:trout 8:melanie 2:trout *:trout =:trout
EXPR: 0 | POS | INT | 20 | 16 | 10 | x=(8+2) | x 8 2 + = | x:melanie 8:melanie 2:melanie +:melanie =:melanie
EXPR: 0 | POS | INT | 20 | 16 | 6 | x=(8-2) | x 8 2 - = | x:melanie 8:melanie 2:melanie -:melanie =:melanie
EXPR: 1 | POS | INT | 21 | 16 | 16 | x=(8*2) | x 8 2 * = | x:trout 8:melanie 2:trout *:trout =:trout
EXPR: 0 | POS | INT | 21 | 16 | 10 | x=(8+2) | x 8 2 + = | x:melanie 8:melanie 2:melanie +:melanie =:melanie
EXPR: 0 | POS | INT | 21 | 16 | 6 | x=(8-2) | x 8 2 - = | x:melanie 8:melanie 2:melanie -:melanie =:melanie
EXPR: 0 | POS | INT | 22 | 16 | 6 | 8=(2+x) | 8 2 x + = | 8:melanie 2:melanie x:melanie +:melanie =:melanie
EXPR: 1 | POS | INT | 22 | 16 | 16 | 2=(x/8) | 2 x 8 / = | 2:melanie x:melanie 8:trout /:melanie =:melanie
EXPR: 0 | POS | INT | 22 | 16 | 10 | (x-8)=2 | x 8 - 2 = | x:melanie 8:melanie -:melanie 2:melanie =:melanie
EXPR: 0 | POS | INT | 22 | 16 | 4 | 8=(x*2) | 8 x 2 * = | 8:trout x:melanie 2:trout *:trout =:trout
EXPR: 0 | POS | INT | 22 | 16 | 6 | (x+2)=8 | x 2 + 8 = | x:trout 2:trout +:trout 8:trout =:trout
EXPR: 0 | POS | INT | 22 | 16 | 6 | 8=(x+2) | 8 x 2 + = | 8:melanie x:melanie 2:melanie +:melanie =:melanie
EXPR: 0 | POS | INT | 22 | 16 | 10 | 8=(x-2) | 8 x 2 - = | 8:melanie x:melanie 2:melanie -:melanie =:melanie
EXPR: 0 | POS | INT | 22 | 16 | 4 | (x*2)=8 | x 2 * 8 = | x:trout 2:melanie *:melanie 8:melanie =:melanie
EXPR: 0 | POS | INT | 22 | 16 | 10 | (x-2)=8 | x 2 - 8 = | x:trout 2:trout -:trout 8:trout =:trout
EXPR: 1 | POS | INT | 22 | 16 | 16 | (x/8)=2 | x 8 / 2 = | x:trout 8:melanie /:trout 2:trout =:trout
EXPR: 0 | POS | INT | 22 | 16 | 10 | 2=(x-8) | 2 x 8 - = | 2:trout x:trout 8:trout -:trout =:trout
EXPR: 0 | POS | INT | 22 | 16 | 4 | 8=(2*x) | 8 2 x * = | 8:trout 2:trout x:melanie *:trout =:trout
EXPR: 0 | POS | INT | 22 | 16 | 4 | 2=(8/x) | 2 8 x / = | 2:melanie 8:melanie x:trout /:melanie =:melanie
EXPR: 0 | POS | INT | 22 | 16 | 4 | (8/x)=2 | 8 x / 2 = | 8:trout x:melanie /:trout 2:trout =:trout
EXPR: 0 | POS | INT | 22 | 16 | 6 | (2+x)=8 | 2 x + 8 = | 2:trout x:trout +:trout 8:trout =:trout
EXPR: 0 | POS | INT | 22 | 16 | 6 | 2=(8-x) | 2 8 x - = | 2:trout 8:trout x:trout -:trout =:trout
EXPR: 0 | POS | INT | 22 | 16 | 4 | (2*x)=8 | 2 x * 8 = | 2:melanie x:trout *:melanie 8:melanie =:melanie
EXPR: 0 | POS | INT | 22 | 16 | 6 | (8-x)=2 | 8 x - 2 = | 8:melanie x:melanie -:melanie 2:melanie =:melanie
EXPR: 0 | POS | INT | 30 | 16 | 4 | x=(8/2) | x 8 2 / = | x:melanie 8:melanie 2:trout /:melanie =:melanie
EXPR: 1 | POS | INT | 30 | 16 | 16 | x=(8*2) | x 8 2 * = | x:melanie 8:melanie 2:trout *:melanie =:melanie
EXPR: 0 | POS | INT | 31 | 16 | 4 | x=(8/2) | x 8 2 / = | x:melanie 8:melanie 2:trout /:melanie =:melanie
EXPR: 1 | POS | INT | 31 | 16 | 16 | x=(8*2) | x 8 2 * = | x:melanie 8:melanie 2:trout *:melanie =:melanie
EXPR: 0 | POS | INT | 32 | 16 | 4 | (x*2)=8 | x 2 * 8 = | x:melanie 2:trout *:trout 8:trout =:trout
EXPR: 1 | POS | INT | 32 | 16 | 16 | 8=(x/2) | 8 x 2 / = | 8:melanie x:melanie 2:trout /:melanie =:melanie
EXPR: 0 | POS | INT | 32 | 16 | 6 | (x+2)=8 | x 2 + 8 = | x:melanie 2:melanie +:melanie 8:melanie =:melanie
EXPR: 0 | POS | INT | 32 | 16 | 4 | 8=(2*x) | 8 2 x * = | 8:melanie 2:trout x:melanie *:melanie =:melanie
EXPR: 0 | POS | INT | 32 | 16 | 10 | (x-2)=8 | x 2 - 8 = | x:melanie 2:melanie -:melanie 8:melanie =:melanie
EXPR: 0 | POS | INT | 32 | 16 | 4 | 2=(8/x) | 2 8 x / = | 2:trout 8:trout x:melanie /:trout =:trout
EXPR: 0 | POS | INT | 32 | 16 | 4 | 8=(x*2) | 8 x 2 * = | 8:melanie x:melanie 2:trout *:melanie =:melanie
EXPR: 0 | POS | INT | 32 | 16 | 10 | 2=(x-8) | 2 x 8 - = | 2:melanie x:melanie 8:melanie -:melanie =:melanie
EXPR: 0 | POS | INT | 32 | 16 | 6 | (2+x)=8 | 2 x + 8 = | 2:melanie x:melanie +:melanie 8:melanie =:melanie
EXPR: 0 | POS | INT | 32 | 16 | 4 | (2*x)=8 | 2 x * 8 = | 2:trout x:melanie *:trout 8:trout =:trout
EXPR: 1 | POS | INT | 32 | 16 | 16 | 2=(x/8) | 2 x 8 / = | 2:trout x:trout 8:melanie /:trout =:trout
EXPR: 0 | POS | INT | 32 | 16 | 6 | 2=(8-x) | 2 8 x - = | 2:melanie 8:melanie x:melanie -:melanie =:melanie
EXPR: 1 | POS | INT | 42 | 16 | 16 | (x/2)=8 | x 2 / 8 = | x:melanie 2:trout /:melanie 8:melanie =:melanie
EXPR: 0 | POS | INT | 42 | 16 | 4 | (x*2)=8 | x 2 * 8 = | x:melanie 2:trout *:melanie 8:melanie =:melanie
