parameters: n=5 l=2 k=1 p=5 q=2 m=8
TOTAL 108 solutions found
EXPR: 1 | POS | INT | 0 | 28 | 28 | x=(7*4) | x 7 4 * = | x:balloon 7:balloon 4:nancy *:balloon =:balloon
EXPR: 1 | POS | INT | 1 | 28 | 28 | x=(7*4) | x 7 4 * = | x:balloon 7:balloon 4:nancy *:balloon =:balloon
EXPR: 1 | POS | INT | 2 | 28 | 28 | 7=(x/4) | 7 x 4 / = | 7:balloon x:balloon 4:nancy /:balloon =:balloon
EXPR: 1 | POS | INT | 10 | 28 | 28 | x=(7*4) | x 7 4 * = | x:nancy 7:balloon 4:nancy *:nancy =:nancy
EXPR: 0 | POS | INT | 10 | 28 | 3 | x=(7-4) | x 7 4 - = | x:balloon 7:balloon 4:balloon -:balloon =:balloon
EXPR: 0 | POS | INT | 10 | 28 | 11 | x=(7+4) | x 7 4 + = | x:balloon 7:balloon 4:balloon +:balloon =:balloon
EXPR: 1 | POS | INT | 11 | 28 | 28 | x=(7*4) | x 7 4 * = | x:nancy 7:balloon 4:nancy *:nancy =:nancy
EXPR: 0 | POS | INT | 11 | 28 | 3 | x=(7-4) | x 7 4 - = | x:balloon 7:balloon 4:balloon -:balloon =:balloon
EXPR: 0 | POS | INT | 11 | 28 | 11 | x=(7+4) | x 7 4 + = | x:balloon 7:balloon 4:balloon +:balloon =:balloon
EXPR: 0 | POS | INT | 12 | 28 | 3 | 7=(4+x) | 7 4 x + = | 7:balloon 4:balloon x:balloon +:balloon =:balloon
EXPR: 1 | POS | INT | 12 | 28 | 28 | (x/7)=4 | x 7 / 4 = | x:nancy 7:balloon /:nancy 4:nancy =:nancy
EXPR: 0 | POS | INT | 12 | 28 | 11 | (x-7)=4 | x 7 - 4 = | x:balloon 7:balloon -:balloon 4:balloon =:balloon
EXPR: 0 | POS | INT | 12 | 28 | 3 | 7=(x+4) | 7 x 4 + = | 7:balloon x:balloon 4:balloon +:balloon =:balloon
EXPR: 1 | POS | INT | 12 | 28 | 28 | (x/4)=7 | x 4 / 7 = | x:balloon 4:nancy /:balloon 7:balloon =:balloon
EXPR: 0 | POS | INT | 12 | 28 | 11 | 7=(x-4) | 7 x 4 - = | 7:balloon x:balloon 4:balloon -:balloon =:balloon
EXPR: 0 | POS | INT | 12 | 28 | 3 | (7-x)=4 | 7 x - 4 = | 7:balloon x:balloon -:balloon 4:balloon =:balloon
EXPR: 1 | POS | INT | 20 | 28 | 28 | x=(7*4) | x 7 4 * = | x:balloon 7:nancy 4:balloon *:balloon =:balloon
EXPR: 0 | POS | INT | 20 | 28 | 11 | x=(7+4) | x 7 4 + = | x:nancy 7:nancy 4:nancy +:nancy =:nancy
EXPR: 0 | POS | INT | 20 | 28 | 3 | x=(7-4) | x 7 4 - = | x:nancy 7:nancy 4:nancy -:nancy =:nancy
EXPR: 1 | POS | INT | 21 | 28 | 28 | x=(7*4) | x 7 4 * = | x:balloon 7:nancy 4:balloon *:balloon =:balloon
EXPR: 0 | POS | INT | 21 | 28 | 11 | x=(7+4) | x 7 4 + = | x:nancy 7:nancy 4:nancy +:nancy =:nancy
EXPR: 0 | POS | INT | 21 | 28 | 3 | x=(7-4) | x 7 4 - = | x:nancy 7:nancy 4:nancy -:nancy =:nancy
EXPR: 0 | POS | INT | 22 | 28 | 3 | 7=(4+x) | 7 4 x + = | 7:nancy 4:nancy x:nancy +:nancy =:nancy
EXPR: 1 | POS | INT | 22 | 28 | 28 | 4=(x/7) | 4 x 7 / = | 4:nancy x:nancy 7:balloon /:nancy =:nancy
EXPR: 0 | POS | INT | 22 | 28 | 11 | (x-7)=4 | x 7 - 4 = | x:nancy 7:nancy -:nancy 4:nancy =:nancy
EXPR: 0 | POS | INT | 22 | 28 | 3 | (x+4)=7 | x 4 + 7 = | x:balloon 4:balloon +:balloon 7:balloon =:balloon
EXPR: 0 | POS | INT | 22 | 28 | 3 | 7=(x+4) | 7 x 4 + = | 7:nancy x:nancy 4:nancy +:nancy =:nancy
EXPR: 0 | POS | INT | 22 | 28 | 11 | 7=(x-4) | 7 x 4 - = | 7:nancy x:nancy 4:nancy -:nancy =:nancy
EXPR: 0 | POS | INT | 22 | 28 | 11 | (x-4)=7 | x 4 - 7 = | x:balloon 4:balloon -:balloon 7:balloon =:balloon
EXPR: 1 | POS | INT | 22 | 28 | 28 | (x/7)=4 | x 7 / 4 = | x:balloon 7:nancy /:balloon 4:balloon =:balloon
EXPR: 0 | POS | INT | 22 | 28 | 11 | 4=(x-7) | 4 x 7 - = | 4:balloon x:balloon 7:balloon -:balloon =:balloon
EXPR: 0 | POS | INT | 22 | 28 | 3 | (4+x)=7 | 4 x + 7 = | 4:balloon x:balloon +:balloon 7:balloon =:balloon
EXPR: 0 | POS | INT | 22 | 28 | 3 | 4=(7-x) | 4 7 x - = | 4:balloon 7:balloon x:balloon -:balloon =:balloon
EXPR: 0 | POS | INT | 22 | 28 | 3 | (7-x)=4 | 7 x - 4 = | 7:nancy x:nancy -:nancy 4:nancy =:nancy
EXPR: 1 | POS | INT | 30 | 28 | 28 | x=(7*4) | x 7 4 * = | x:nancy 7:nancy 4:balloon *:nancy =:nancy
EXPR: 1 | POS | INT | 31 | 28 | 28 | x=(7*4) | x 7 4 * = | x:nancy 7:nancy 4:balloon *:nancy =:nancy
EXPR: 1 | POS | INT | 32 | 28 | 28 | 7=(x/4) | 7 x 4 / = | 7:nancy x:nancy 4:balloon /:nancy =:nancy
EXPR: 0 | POS | INT | 32 | 28 | 3 | (x+4)=7 | x 4 + 7 = | x:nancy 4:nancy +:nancy 7:nancy =:nancy
