parameters: n=5 l=2 k=1 p=5 q=2 m=8
TOTAL 108 solutions found
EXPR: 1 | POS | INT | 0 | 252 | 252 | x=(36*7) | x 36 7 * = | x:book 36:book 7:alyssa *:book =:book
EXPR: 1 | POS | INT | 1 | 252 | 252 | x=(36*7) | x 36 7 * = | x:book 36:book 7:alyssa *:book =:book
EXPR: 1 | POS | INT | 2 | 252 | 252 | 36=(x/7) | 36 x 7 / = | 36:book x:book 7:alyssa /:book =:book
EXPR: 1 | POS | INT | 10 | 252 | 252 | x=(36*7) | x 36 7 * = | x:alyssa 36:book 7:alyssa *:alyssa =:alyssa
EXPR: 0 | POS | INT | 10 | 252 | 29 | x=(36-7) | x 36 7 - = | x:book 36:book 7:book -:book =:book
EXPR: 0 | POS | INT | 10 | 252 | 43 | x=(36+7) | x 36 7 + = | x:book 36:book 7:book +:book =:book
EXPR: 1 | POS | INT | 11 | 252 | 252 | x=(36*7) | x 36 7 * = | x:alyssa 36:book 7:alyssa *:alyssa =:alyssa
EXPR: 0 | POS | INT | 11 | 252 | 29 | x=(36-7) | x 36 7 - = | x:book 36:book 7:book -:book =:book
EXPR: 0 | POS | INT | 11 | 252 | 43 | x=(36+7) | x 36 7 + = | x:book 36:book 7:book +:book =:book
EXPR: 0 | POS | INT | 12 | 252 | 29 | 36=(7+x) | 36 7 x + = | 36:book 7:book x:book +:book =:book
EXPR: 1 | POS | INT | 12 | 252 | 252 | (x/36)=7 | x 36 / 7 = | x:alyssa 36:book /:alyssa 7:alyssa =:alyssa
EXPR: 0 | POS | INT | 12 | 252 | 43 | (x-36)=7 | x 36 - 7 = | x:book 36:book -:book 7:book =:book
EXPR: 0 | POS | INT | 12 | 252 | 29 | 36=(x+7) | 36 x 7 + = | 36:book x:book 7:book +:book =:book
EXPR: 1 | POS | INT | 12 | 252 | 252 | (x/7)=36 | x 7 / 36 = | x:book 7:alyssa /:book 36:book =:book
EXPR: 0 | POS | INT | 12 | 252 | 43 | 36=(x-7) | 36 x 7 - = | 36:book x:book 7:book -:book =:book
EXPR: 0 | POS | INT | 12 | 252 | 29 | (36-x)=7 | 36 x - 7 = | 36:book x:book -:book 7:book =:book
EXPR: 1 | POS | INT | 20 | 252 | 252 | x=(36*7) | x 36 7 * = | x:book 36:alyssa 7:book *:book =:book
EXPR: 0 | POS | INT | 20 | 252 | 43 | x=(36+7) | x 36 7 + = | x:alyssa 36:alyssa 7:alyssa +:alyssa =:alyssa
EXPR: 0 | POS | INT | 20 | 252 | 29 | x=(36-7) | x 36 7 - = | x:alyssa 36:alyssa 7:alyssa -:alyssa =:alyssa
EXPR: 1 | POS | INT | 21 | 252 | 252 | x=(36*7) | x 36 7 * = | x:book 36:alyssa 7:book *:book =:book
EXPR: 0 | POS | INT | 21 | 252 | 43 | x=(36+7) | x 36 7 + = | x:alyssa 36:alyssa 7:alyssa +:alyssa =:alyssa
EXPR: 0 | POS | INT | 21 | 252 | 29 | x=(36-7) | x 36 7 - = | x:alyssa 36:alyssa 7:alyssa -:alyssa =:alyssa
EXPR: 0 | POS | INT | 22 | 252 | 29 | 36=(7+x) | 36 7 x + = | 36:alyssa 7:alyssa x:alyssa +:alyssa =:alyssa
EXPR: 1 | POS | INT | 22 | 252 | 252 | 7=(x/36) | 7 x 36 / = | 7:alyssa x:alyssa 36:book /:alyssa =:alyssa
EXPR: 0 | POS | INT | 22 | 252 | 43 | (x-36)=7 | x 36 - 7 = | x:alyssa 36:alyssa -:alyssa 7:alyssa =:alyssa
EXPR: 0 | POS | INT | 22 | 252 | 29 | (x+7)=36 | x 7 + 36 = | x:book 7:book +:book 36:book =:book
EXPR: 0 | POS | INT | 22 | 252 | 29 | 36=(x+7) | 36 x 7 + = | 36:alyssa x:alyssa 7:alyssa +:alyssa =:alyssa
EXPR: 0 | POS | INT | 22 | 252 | 43 | 36=(x-7) | 36 x 7 - = | 36:alyssa x:alyssa 7:alyssa -:alyssa =:alyssa
EXPR: 0 | POS | INT | 22 | 252 | 43 | (x-7)=36 | x 7 - 36 = | x:book 7:book -:book 36:book =:book
EXPR: 1 | POS | INT | 22 | 252 | 252 | (x/36)=7 | x 36 / 7 = | x:book 36:alyssa /:book 7:book =:book
EXPR: 0 | POS | INT | 22 | 252 | 43 | 7=(x-36) | 7 x 36 - = | 7:book x:book 36:book -:book =:book
EXPR: 0 | POS | INT | 22 | 252 | 29 | (7+x)=36 | 7 x + 36 = | 7:book x:book +:book 36:book =:book
EXPR: 0 | POS | INT | 22 | 252 | 29 | 7=(36-x) | 7 36 x - = | 7:book 36:book x:book -:book =:book
EXPR: 0 | POS | INT | 22 | 252 | 29 | (36-x)=7 | 36 x - 7 = | 36:alyssa x:alyssa -:alyssa 7:alyssa =:alyssa
EXPR: 1 | POS | INT | 30 | 252 | 252 | x=(36*7) | x 36 7 * = | x:alyssa 36:alyssa 7:book *:alyssa =:alyssa
EXPR: 1 | POS | INT | 31 | 252 | 252 | x=(36*7) | x 36 7 * = | x:alyssa 36:alyssa 7:book *:alyssa =:alyssa
EXPR: 1 | POS | INT | 32 | 252 | 252 | 36=(x/7) | 36 x 7 / = | 36:alyssa x:alyssa 7:book /:alyssa =:alyssa
EXPR: 0 | POS | INT | 32 | 252 | 29 | (x+7)=36 | x 7 + 36 = | x:alyssa 7:alyssa +:alyssa 36:alyssa =:alyssa
EXPR: 0 | POS | INT | 32 | 252 | 43 | (x-7)=36 | x 7 - 36 = | x:alyssa 7:alyssa -:alyssa 36:alyssa =:alyssa
EXPR: 0 | POS | INT | 32 | 252 | 43 | 7=(x-36) | 7 x 36 - = | 7:alyssa x:alyssa 36:alyssa -:alyssa =:alyssa
EXPR: 0 | POS | INT | 32 | 252 | 29 | (7+x)=36 | 7 x + 36 = | 7:alyssa x:alyssa +:alyssa 36:alyssa =:alyssa
