parameters: n=5 l=2 k=1 p=5 q=2 m=8
TOTAL 108 solutions found
EXPR: 1 | POS | INT | 0 | 203 | 203 | x=(29*7) | x 29 7 * = | x:balloon 29:balloon 7:dan *:balloon =:balloon
EXPR: 1 | POS | INT | 1 | 203 | 203 | x=(29*7) | x 29 7 * = | x:balloon 29:balloon 7:dan *:balloon =:balloon
EXPR: 1 | POS | INT | 2 | 203 | 203 | 29=(x/7) | 29 x 7 / = | 29:balloon x:balloon 7:dan /:balloon =:balloon
EXPR: 1 | POS | INT | 10 | 203 | 203 | x=(29*7) | x 29 7 * = | x:dan 29:balloon 7:dan *:dan =:dan
EXPR: 0 | POS | INT | 10 | 203 | 22 | x=(29-7) | x 29 7 - = | x:balloon 29:balloon 7:balloon -:balloon =:balloon
EXPR: 0 | POS | INT | 10 | 203 | 36 | x=(29+7) | x 29 7 + = | x:balloon 29:balloon 7:balloon +:balloon =:balloon
EXPR: 1 | POS | INT | 11 | 203 | 203 | x=(29*7) | x 29 7 * = | x:dan 29:balloon 7:dan *:dan =:dan
EXPR: 0 | POS | INT | 11 | 203 | 22 | x=(29-7) | x 29 7 - = | x:balloon 29:balloon 7:balloon -:balloon =:balloon
EXPR: 0 | POS | INT | 11 | 203 | 36 | x=(29+7) | x 29 7 + = | x:balloon 29:balloon 7:balloon +:balloon =:balloon
EXPR: 0 | POS | INT | 12 | 203 | 22 | 29=(7+x) | 29 7 x + = | 29:balloon 7:balloon x:balloon +:balloon =:balloon
EXPR: 1 | POS | INT | 12 | 203 | 203 | (x/29)=7 | x 29 / 7 = | x:dan 29:balloon /:dan 7:dan =:dan
EXPR: 0 | POS | INT | 12 | 203 | 36 | (x-29)=7 | x 29 - 7 = | x:balloon 29:balloon -:balloon 7:balloon =:balloon
EXPR: 0 | POS | INT | 12 | 203 | 22 | 29=(x+7) | 29 x 7 + = | 29:balloon x:balloon 7:balloon +:balloon =:balloon
EXPR: 1 | POS | INT | 12 | 203 | 203 | (x/7)=29 | x 7 / 29 = | x:balloon 7:dan /:balloon 29:balloon =:balloon
EXPR: 0 | POS | INT | 12 | 203 | 36 | 29=(x-7) | 29 x 7 - = | 29:balloon x:balloon 7:balloon -:balloon =:balloon
EXPR: 0 | POS | INT | 12 | 203 | 22 | (29-x)=7 | 29 x - 7 = | 29:balloon x:balloon -:balloon 7:balloon =:balloon
EXPR: 1 | POS | INT | 20 | 203 | 203 | x=(29*7) | x 29 7 * = | x:balloon 29:dan 7:balloon *:balloon =:balloon
EXPR: 0 | POS | INT | 20 | 203 | 36 | x=(29+7) | x 29 7 + = | x:dan 29:dan 7:dan +:dan =:dan
EXPR: 0 | POS | INT | 20 | 203 | 22 | x=(29-7) | x 29 7 - = | x:dan 29:dan 7:dan -:dan =:dan
EXPR: 1 | POS | INT | 21 | 203 | 203 | x=(29*7) | x 29 7 * = | x:balloon 29:dan 7:balloon *:balloon =:balloon
EXPR: 0 | POS | INT | 21 | 203 | 36 | x=(29+7) | x 29 7 + = | x:dan 29:dan 7:dan +:dan =:dan
EXPR: 0 | POS | INT | 21 | 203 | 22 | x=(29-7) | x 29 7 - = | x:dan 29:dan 7:dan -:dan =:dan
EXPR: 0 | POS | INT | 22 | 203 | 22 | 29=(7+x) | 29 7 x + = | 29:dan 7:dan x:dan +:dan =:dan
EXPR: 1 | POS | INT | 22 | 203 | 203 | 7=(x/29) | 7 x 29 / = | 7:dan x:dan 29:balloon /:dan =:dan
EXPR: 0 | POS | INT | 22 | 203 | 36 | (x-29)=7 | x 29 - 7 = | x:dan 29:dan -:dan 7:dan =:dan
EXPR: 0 | POS | INT | 22 | 203 | 22 | (x+7)=29 | x 7 + 29 = | x:balloon 7:balloon +:balloon 29:balloon =:balloon
EXPR: 0 | POS | INT | 22 | 203 | 22 | 29=(x+7) | 29 x 7 + = | 29:dan x:dan 7:dan +:dan =:dan
EXPR: 0 | POS | INT | 22 | 203 | 36 | 29=(x-7) | 29 x 7 - = | 29:dan x:dan 7:dan -:dan =:dan
EXPR: 0 | POS | INT | 22 | 203 | 36 | (x-7)=29 | x 7 - 29 = | x:balloon 7:balloon -:balloon 29:balloon =:balloon
EXPR: 1 | POS | INT | 22 | 203 | 203 | (x/29)=7 | x 29 / 7 = | x:balloon 29:dan /:balloon 7:balloon =:balloon
EXPR: 0 | POS | INT | 22 | 203 | 36 | 7=(x-29) | 7 x 29 - = | 7:balloon x:balloon 29:balloon -:balloon =:balloon
EXPR: 0 | POS | INT | 22 | 203 | 22 | (7+x)=29 | 7 x + 29 = | 7:balloon x:balloon +:balloon 29:balloon =:balloon
EXPR: 0 | POS | INT | 22 | 203 | 22 | 7=(29-x) | 7 29 x - = | 7:balloon 29:balloon x:balloon -:balloon =:balloon
EXPR: 0 | POS | INT | 22 | 203 | 22 | (29-x)=7 | 29 x - 7 = | 29:dan x:dan -:dan 7:dan =:dan
EXPR: 1 | POS | INT | 30 | 203 | 203 | x=(29*7) | x 29 7 * = | x:dan 29:dan 7:balloon *:dan =:dan
EXPR: 1 | POS | INT | 31 | 203 | 203 | x=(29*7) | x 29 7 * = | x:dan 29:dan 7:balloon *:dan =:dan
EXPR: 1 | POS | INT | 32 | 203 | 203 | 29=(x/7) | 29 x 7 / = | 29:dan x:dan 7:balloon /:dan =:dan
EXPR: 0 | POS | INT | 32 | 203 | 22 | (x+7)=29 | x 7 + 29 = | x:dan 7:dan +:dan 29:dan =:dan
EXPR: 0 | POS | INT | 32 | 203 | 36 | (x-7)=29 | x 7 - 29 = | x:dan 7:dan -:dan 29:dan =:dan
EXPR: 0 | POS | INT | 32 | 203 | 36 | 7=(x-29) | 7 x 29 - = | 7:dan x:dan 29:dan -:dan =:dan
EXPR: 0 | POS | INT | 32 | 203 | 22 | (7+x)=29 | 7 x + 29 = | 7:dan x:dan +:dan 29:dan =:dan
EXPR: 1 | POS | INT | 32 | 203 | 203 | 7=(x/29) | 7 x 29 / = | 7:balloon x:balloon 29:dan /:balloon =:balloon
EXPR: 0 | POS | INT | 32 | 203 | 22 | 7=(29-x) | 7 29 x - = | 7:dan 29:dan x:dan -:dan =:dan
EXPR: 1 | POS | INT | 42 | 203 | 203 | (x/7)=29 | x 7 / 29 = | x:dan 7:balloon /:dan 29:dan =:dan
NET 44 non-negative, integer-valued solutions found out of 108 total solutions
