parameters: n=7 l=3 k=1 p=5 q=1 m=9
TOTAL 480 solutions found
EXPR: 0 | POS | INT | 0 | 52 | 162 | ((3+162)-3)=x | 3 162 + 3 - x = | 3:number 162:number +:number 3:number -:number x:number =:number
EXPR: 0 | POS | INT | 0 | 52 | 162 | x=((3+162)-3) | x 3 162 + 3 - = | x:number 3:number 162:number +:number 3:number -:number =:number
EXPR: 0 | POS | INT | 0 | 52 | 168 | ((3+162)+3)=x | 3 162 + 3 + x = | 3:number 162:number +:number 3:number +:number x:number =:number
EXPR: 0 | POS | INT | 0 | 52 | 168 | x=(3+(162+3)) | x 3 162 3 + + = | x:number 3:number 162:number 3:number +:number +:number =:number
EXPR: 0 | POS | INT | 0 | 52 | 168 | x=((3+162)+3) | x 3 162 + 3 + = | x:number 3:number 162:number +:number 3:number +:number =:number
EXPR: 0 | POS | INT | 0 | 52 | 162 | x=(3+(162-3)) | x 3 162 3 - + = | x:number 3:number 162:number 3:number -:number +:number =:number
EXPR: 0 | POS | INT | 0 | 52 | 168 | (3+(162+3))=x | 3 162 3 + + x = | 3:number 162:number 3:number +:number +:number x:number =:number
EXPR: 0 | POS | INT | 0 | 52 | 162 | (3+(162-3))=x | 3 162 3 - + x = | 3:number 162:number 3:number -:number +:number x:number =:number
EXPR: 0 | POS | INT | 1 | 52 | 162 | ((3+162)-3)=x | 3 162 + 3 - x = | 3:number 162:number +:number 3:number -:number x:number =:number
EXPR: 0 | POS | INT | 1 | 52 | 168 | ((3+162)+3)=x | 3 162 + 3 + x = | 3:number 162:number +:number 3:number +:number x:number =:number
EXPR: 0 | POS | INT | 1 | 52 | 168 | x=((3+162)+3) | x 3 162 + 3 + = | x:number 3:number 162:number +:number 3:number +:number =:number
EXPR: 0 | POS | INT | 1 | 52 | 168 | x=(3+(162+3)) | x 3 162 3 + + = | x:number 3:number 162:number 3:number +:number +:number =:number
EXPR: 0 | POS | INT | 1 | 52 | 162 | x=((3+162)-3) | x 3 162 + 3 - = | x:number 3:number 162:number +:number 3:number -:number =:number
