parameters: n=5 l=2 k=1 p=5 q=2 m=8
TOTAL 136 solutions found
EXPR: 0 | POS | INT | 0 | 12 | 6 | (9-3)=x | 9 3 - x = | 9:crayon 3:crayon -:crayon x:crayon =:crayon
EXPR: 0 | POS | INT | 0 | 12 | 6 | x=(9-3) | x 9 3 - = | x:crayon 9:crayon 3:crayon -:crayon =:crayon
EXPR: 1 | POS | INT | 0 | 12 | 12 | x=(9+3) | x 9 3 + = | x:crayon 9:crayon 3:crayon +:crayon =:crayon
EXPR: 1 | POS | INT | 0 | 12 | 12 | (9+3)=x | 9 3 + x = | 9:crayon 3:crayon +:crayon x:crayon =:crayon
EXPR: 0 | POS | INT | 1 | 12 | 6 | x=(9-3) | x 9 3 - = | x:crayon 9:crayon 3:crayon -:crayon =:crayon
EXPR: 1 | POS | INT | 1 | 12 | 12 | x=(9+3) | x 9 3 + = | x:crayon 9:crayon 3:crayon +:crayon =:crayon
EXPR: 0 | POS | INT | 1 | 12 | 6 | (9-3)=x | 9 3 - x = | 9:crayon 3:crayon -:crayon x:crayon =:crayon
EXPR: 1 | POS | INT | 1 | 12 | 12 | (9+3)=x | 9 3 + x = | 9:crayon 3:crayon +:crayon x:crayon =:crayon
EXPR: 0 | POS | INT | 2 | 12 | 3 | 9=(x*3) | 9 x 3 * = | 9:crayon x:NONE 3:crayon *:crayon =:crayon
EXPR: 1 | POS | INT | 2 | 12 | 12 | (x-9)=3 | x 9 - 3 = | x:crayon 9:crayon -:crayon 3:crayon =:crayon
EXPR: 0 | POS | INT | 2 | 12 | 3 | 9=(3*x) | 9 3 x * = | 9:crayon 3:crayon x:NONE *:crayon =:crayon
EXPR: 0 | POS | INT | 2 | 12 | 6 | (9-x)=3 | 9 x - 3 = | 9:crayon x:crayon -:crayon 3:crayon =:crayon
EXPR: 0 | POS | INT | 2 | 12 | 3 | (9/x)=3 | 9 x / 3 = | 9:crayon x:NONE /:crayon 3:crayon =:crayon
EXPR: 0 | POS | INT | 2 | 12 | 6 | 9=(x+3) | 9 x 3 + = | 9:crayon x:crayon 3:crayon +:crayon =:crayon
EXPR: 1 | POS | INT | 2 | 12 | 12 | 9=(x-3) | 9 x 3 - = | 9:crayon x:crayon 3:crayon -:crayon =:crayon
EXPR: 0 | POS | INT | 2 | 12 | 6 | 9=(3+x) | 9 3 x + = | 9:crayon 3:crayon x:crayon +:crayon =:crayon
EXPR: 0 | POS | INT | 4 | 12 | 3 | (x*3)=9 | x 3 * 9 = | x:NONE 3:crayon *:crayon 9:crayon =:crayon
EXPR: 1 | POS | INT | 4 | 12 | 12 | (x-3)=9 | x 3 - 9 = | x:crayon 3:crayon -:crayon 9:crayon =:crayon
EXPR: 0 | POS | INT | 4 | 12 | 6 | (x+3)=9 | x 3 + 9 = | x:crayon 3:crayon +:crayon 9:crayon =:crayon
EXPR: 0 | POS | INT | 4 | 12 | 6 | (3+x)=9 | 3 x + 9 = | 3:crayon x:crayon +:crayon 9:crayon =:crayon
EXPR: 0 | POS | INT | 4 | 12 | 3 | (3*x)=9 | 3 x * 9 = | 3:crayon x:NONE *:crayon 9:crayon =:crayon
EXPR: 0 | POS | INT | 4 | 12 | 6 | 3=(9-x) | 3 9 x - = | 3:crayon 9:crayon x:crayon -:crayon =:crayon
EXPR: 1 | POS | INT | 4 | 12 | 12 | 3=(x-9) | 3 x 9 - = | 3:crayon x:crayon 9:crayon -:crayon =:crayon
EXPR: 0 | POS | INT | 4 | 12 | 3 | 3=(9/x) | 3 9 x / = | 3:crayon 9:crayon x:NONE /:crayon =:crayon
EXPR: 0 | POS | INT | 10 | 12 | 27 | (9*3)=x | 9 3 * x = | 9:crayon 3:NONE *:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 10 | 12 | 3 | (9/3)=x | 9 3 / x = | 9:NONE 3:crayon /:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 10 | 12 | 27 | x=(9*3) | x 9 3 * = | x:crayon 9:NONE 3:crayon *:crayon =:crayon
EXPR: 0 | POS | INT | 10 | 12 | 27 | (9*3)=x | 9 3 * x = | 9:NONE 3:crayon *:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 10 | 12 | 27 | (9*3)=x | 9 3 * x = | 9:NONE 3:crayon *:crayon x:crayon =:crayon
EXPR: 0 | POS | INT | 10 | 12 | 27 | x=(9*3) | x 9 3 * = | x:NONE 9:crayon 3:NONE *:NONE =:NONE
EXPR: 0 | POS | INT | 10 | 12 | 3 | x=(9/3) | x 9 3 / = | x:NONE 9:NONE 3:crayon /:NONE =:NONE
EXPR: 0 | POS | INT | 10 | 12 | 27 | (9*3)=x | 9 3 * x = | 9:crayon 3:NONE *:crayon x:crayon =:crayon
EXPR: 0 | POS | INT | 10 | 12 | 3 | (9/3)=x | 9 3 / x = | 9:crayon 3:NONE /:crayon x:crayon =:crayon
EXPR: 0 | POS | INT | 10 | 12 | 3 | x=(9/3) | x 9 3 / = | x:crayon 9:crayon 3:NONE /:crayon =:crayon
EXPR: 0 | POS | INT | 10 | 12 | 27 | x=(9*3) | x 9 3 * = | x:crayon 9:crayon 3:NONE *:crayon =:crayon
EXPR: 0 | POS | INT | 10 | 12 | 27 | x=(9*3) | x 9 3 * = | x:NONE 9:NONE 3:crayon *:NONE =:NONE
EXPR: 0 | POS | INT | 11 | 12 | 27 | (9*3)=x | 9 3 * x = | 9:NONE 3:crayon *:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 11 | 12 | 27 | x=(9*3) | x 9 3 * = | x:crayon 9:NONE 3:crayon *:crayon =:crayon
EXPR: 0 | POS | INT | 11 | 12 | 27 | x=(9*3) | x 9 3 * = | x:NONE 9:NONE 3:crayon *:NONE =:NONE
EXPR: 0 | POS | INT | 11 | 12 | 27 | (9*3)=x | 9 3 * x = | 9:NONE 3:crayon *:crayon x:crayon =:crayon
EXPR: 0 | POS | INT | 11 | 12 | 27 | x=(9*3) | x 9 3 * = | x:NONE 9:crayon 3:NONE *:NONE =:NONE
EXPR: 0 | POS | INT | 11 | 12 | 3 | (9/3)=x | 9 3 / x = | 9:NONE 3:crayon /:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 11 | 12 | 3 | x=(9/3) | x 9 3 / = | x:NONE 9:NONE 3:crayon /:NONE =:NONE
EXPR: 0 | POS | INT | 11 | 12 | 27 | (9*3)=x | 9 3 * x = | 9:crayon 3:NONE *:crayon x:crayon =:crayon
EXPR: 0 | POS | INT | 11 | 12 | 27 | (9*3)=x | 9 3 * x = | 9:crayon 3:NONE *:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 11 | 12 | 3 | x=(9/3) | x 9 3 / = | x:crayon 9:crayon 3:NONE /:crayon =:crayon
EXPR: 0 | POS | INT | 11 | 12 | 3 | (9/3)=x | 9 3 / x = | 9:crayon 3:NONE /:crayon x:crayon =:crayon
EXPR: 0 | POS | INT | 11 | 12 | 27 | x=(9*3) | x 9 3 * = | x:crayon 9:crayon 3:NONE *:crayon =:crayon
EXPR: 0 | POS | INT | 12 | 12 | 3 | 9=(x*3) | 9 x 3 * = | 9:crayon x:crayon 3:NONE *:crayon =:crayon
EXPR: 0 | POS | INT | 12 | 12 | 27 | 9=(x/3) | 9 x 3 / = | 9:crayon x:crayon 3:NONE /:crayon =:crayon
EXPR: 0 | POS | INT | 12 | 12 | 27 | (x/9)=3 | x 9 / 3 = | x:crayon 9:NONE /:crayon 3:crayon =:crayon
EXPR: 0 | POS | INT | 12 | 12 | 3 | 9=(3*x) | 9 3 x * = | 9:NONE 3:crayon x:NONE *:NONE =:NONE
EXPR: 0 | POS | INT | 12 | 12 | 3 | 9=(x*3) | 9 x 3 * = | 9:NONE x:NONE 3:crayon *:NONE =:NONE
EXPR: 0 | POS | INT | 12 | 12 | 27 | 9=(x/3) | 9 x 3 / = | 9:NONE x:NONE 3:crayon /:NONE =:NONE
EXPR: 0 | POS | INT | 12 | 12 | 27 | (x/9)=3 | x 9 / 3 = | x:NONE 9:crayon /:NONE 3:NONE =:NONE
EXPR: 0 | POS | INT | 12 | 12 | 3 | 9=(3*x) | 9 3 x * = | 9:crayon 3:NONE x:crayon *:crayon =:crayon
EXPR: 0 | POS | INT | 14 | 12 | 27 | (x/3)=9 | x 3 / 9 = | x:NONE 3:crayon /:NONE 9:NONE =:NONE
EXPR: 0 | POS | INT | 14 | 12 | 3 | (x*3)=9 | x 3 * 9 = | x:NONE 3:crayon *:NONE 9:NONE =:NONE
EXPR: 0 | POS | INT | 14 | 12 | 3 | (3*x)=9 | 3 x * 9 = | 3:NONE x:crayon *:crayon 9:crayon =:crayon
EXPR: 0 | POS | INT | 14 | 12 | 27 | (x/3)=9 | x 3 / 9 = | x:crayon 3:NONE /:crayon 9:crayon =:crayon
EXPR: 0 | POS | INT | 14 | 12 | 27 | 3=(x/9) | 3 x 9 / = | 3:NONE x:NONE 9:crayon /:NONE =:NONE
EXPR: 0 | POS | INT | 14 | 12 | 3 | (3*x)=9 | 3 x * 9 = | 3:crayon x:NONE *:NONE 9:NONE =:NONE
EXPR: 0 | POS | INT | 14 | 12 | 3 | (x*3)=9 | x 3 * 9 = | x:crayon 3:NONE *:crayon 9:crayon =:crayon
EXPR: 0 | POS | INT | 14 | 12 | 27 | 3=(x/9) | 3 x 9 / = | 3:crayon x:crayon 9:NONE /:crayon =:crayon
EXPR: 0 | POS | INT | 20 | 12 | 6 | x=(9-3) | x 9 3 - = | x:NONE 9:NONE 3:NONE -:NONE =:NONE
EXPR: 1 | POS | INT | 20 | 12 | 12 | x=(9+3) | x 9 3 + = | x:NONE 9:NONE 3:NONE +:NONE =:NONE
EXPR: 0 | POS | INT | 20 | 12 | 6 | (9-3)=x | 9 3 - x = | 9:NONE 3:NONE -:NONE x:NONE =:NONE
EXPR: 1 | POS | INT | 20 | 12 | 12 | (9+3)=x | 9 3 + x = | 9:NONE 3:NONE +:NONE x:NONE =:NONE
EXPR: 1 | POS | INT | 21 | 12 | 12 | x=(9+3) | x 9 3 + = | x:NONE 9:NONE 3:NONE +:NONE =:NONE
EXPR: 1 | POS | INT | 21 | 12 | 12 | (9+3)=x | 9 3 + x = | 9:NONE 3:NONE +:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 21 | 12 | 6 | x=(9-3) | x 9 3 - = | x:NONE 9:NONE 3:NONE -:NONE =:NONE
EXPR: 0 | POS | INT | 21 | 12 | 6 | (9-3)=x | 9 3 - x = | 9:NONE 3:NONE -:NONE x:NONE =:NONE
EXPR: 1 | POS | INT | 22 | 12 | 12 | (x-9)=3 | x 9 - 3 = | x:NONE 9:NONE -:NONE 3:NONE =:NONE
EXPR: 0 | POS | INT | 22 | 12 | 3 | 9=(x*3) | 9 x 3 * = | 9:NONE x:crayon 3:NONE *:NONE =:NONE
EXPR: 0 | POS | INT | 22 | 12 | 6 | (9-x)=3 | 9 x - 3 = | 9:NONE x:NONE -:NONE 3:NONE =:NONE
EXPR: 0 | POS | INT | 22 | 12 | 3 | 9=(3*x) | 9 3 x * = | 9:NONE 3:NONE x:crayon *:NONE =:NONE
EXPR: 0 | POS | INT | 22 | 12 | 6 | 9=(x+3) | 9 x 3 + = | 9:NONE x:NONE 3:NONE +:NONE =:NONE
EXPR: 0 | POS | INT | 22 | 12 | 3 | (9/x)=3 | 9 x / 3 = | 9:NONE x:crayon /:NONE 3:NONE =:NONE
EXPR: 1 | POS | INT | 22 | 12 | 12 | 9=(x-3) | 9 x 3 - = | 9:NONE x:NONE 3:NONE -:NONE =:NONE
EXPR: 0 | POS | INT | 22 | 12 | 6 | 9=(3+x) | 9 3 x + = | 9:NONE 3:NONE x:NONE +:NONE =:NONE
EXPR: 1 | POS | INT | 24 | 12 | 12 | (x-3)=9 | x 3 - 9 = | x:NONE 3:NONE -:NONE 9:NONE =:NONE
EXPR: 0 | POS | INT | 24 | 12 | 6 | (3+x)=9 | 3 x + 9 = | 3:NONE x:NONE +:NONE 9:NONE =:NONE
EXPR: 0 | POS | INT | 24 | 12 | 6 | (x+3)=9 | x 3 + 9 = | x:NONE 3:NONE +:NONE 9:NONE =:NONE
EXPR: 0 | POS | INT | 24 | 12 | 6 | 3=(9-x) | 3 9 x - = | 3:NONE 9:NONE x:NONE -:NONE =:NONE
EXPR: 0 | POS | INT | 24 | 12 | 3 | (3*x)=9 | 3 x * 9 = | 3:NONE x:crayon *:NONE 9:NONE =:NONE
EXPR: 1 | POS | INT | 24 | 12 | 12 | 3=(x-9) | 3 x 9 - = | 3:NONE x:NONE 9:NONE -:NONE =:NONE
EXPR: 0 | POS | INT | 24 | 12 | 3 | 3=(9/x) | 3 9 x / = | 3:NONE 9:NONE x:crayon /:NONE =:NONE
EXPR: 0 | POS | INT | 24 | 12 | 3 | (x*3)=9 | x 3 * 9 = | x:crayon 3:NONE *:NONE 9:NONE =:NONE
NET 88 non-negative, integer-valued solutions found out of 136 total solutions
