parameters: n=5 l=2 k=1 p=5 q=2 m=8
TOTAL 136 solutions found
EXPR: 1 | POS | INT | 0 | 3 | 3 | (5-2)=x | 5 2 - x = | 5:seashell 2:seashell -:seashell x:seashell =:seashell
EXPR: 1 | POS | INT | 0 | 3 | 3 | x=(5-2) | x 5 2 - = | x:seashell 5:seashell 2:seashell -:seashell =:seashell
EXPR: 0 | POS | INT | 0 | 3 | 7 | x=(5+2) | x 5 2 + = | x:seashell 5:seashell 2:seashell +:seashell =:seashell
EXPR: 0 | POS | INT | 0 | 3 | 7 | (5+2)=x | 5 2 + x = | 5:seashell 2:seashell +:seashell x:seashell =:seashell
EXPR: 1 | POS | INT | 1 | 3 | 3 | x=(5-2) | x 5 2 - = | x:seashell 5:seashell 2:seashell -:seashell =:seashell
EXPR: 0 | POS | INT | 1 | 3 | 7 | x=(5+2) | x 5 2 + = | x:seashell 5:seashell 2:seashell +:seashell =:seashell
EXPR: 1 | POS | INT | 1 | 3 | 3 | (5-2)=x | 5 2 - x = | 5:seashell 2:seashell -:seashell x:seashell =:seashell
EXPR: 0 | POS | INT | 1 | 3 | 7 | (5+2)=x | 5 2 + x = | 5:seashell 2:seashell +:seashell x:seashell =:seashell
EXPR: 0 | POS | INT | 2 | 3 | 7 | (x-5)=2 | x 5 - 2 = | x:seashell 5:seashell -:seashell 2:seashell =:seashell
EXPR: 1 | POS | INT | 2 | 3 | 3 | (5-x)=2 | 5 x - 2 = | 5:seashell x:seashell -:seashell 2:seashell =:seashell
EXPR: 1 | POS | INT | 2 | 3 | 3 | 5=(x+2) | 5 x 2 + = | 5:seashell x:seashell 2:seashell +:seashell =:seashell
EXPR: 0 | POS | INT | 2 | 3 | 7 | 5=(x-2) | 5 x 2 - = | 5:seashell x:seashell 2:seashell -:seashell =:seashell
EXPR: 1 | POS | INT | 2 | 3 | 3 | 5=(2+x) | 5 2 x + = | 5:seashell 2:seashell x:seashell +:seashell =:seashell
EXPR: 0 | POS | INT | 4 | 3 | 7 | (x-2)=5 | x 2 - 5 = | x:seashell 2:seashell -:seashell 5:seashell =:seashell
EXPR: 1 | POS | INT | 4 | 3 | 3 | (x+2)=5 | x 2 + 5 = | x:seashell 2:seashell +:seashell 5:seashell =:seashell
EXPR: 1 | POS | INT | 4 | 3 | 3 | (2+x)=5 | 2 x + 5 = | 2:seashell x:seashell +:seashell 5:seashell =:seashell
EXPR: 1 | POS | INT | 4 | 3 | 3 | 2=(5-x) | 2 5 x - = | 2:seashell 5:seashell x:seashell -:seashell =:seashell
EXPR: 0 | POS | INT | 4 | 3 | 7 | 2=(x-5) | 2 x 5 - = | 2:seashell x:seashell 5:seashell -:seashell =:seashell
EXPR: 0 | POS | INT | 10 | 3 | 10 | (5*2)=x | 5 2 * x = | 5:seashell 2:NONE *:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 10 | 3 | 10 | x=(5*2) | x 5 2 * = | x:seashell 5:NONE 2:seashell *:seashell =:seashell
EXPR: 0 | POS | INT | 10 | 3 | 10 | (5*2)=x | 5 2 * x = | 5:NONE 2:seashell *:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 10 | 3 | 10 | (5*2)=x | 5 2 * x = | 5:NONE 2:seashell *:seashell x:seashell =:seashell
