parameters: n=5 l=2 k=1 p=5 q=2 m=8
TOTAL 136 solutions found
EXPR: 1 | POS | INT | 0 | 15 | 15 | (33-18)=x | 33 18 - x = | 33:tree 18:tree -:tree x:tree =:tree
EXPR: 1 | POS | INT | 0 | 15 | 15 | x=(33-18) | x 33 18 - = | x:tree 33:tree 18:tree -:tree =:tree
EXPR: 0 | POS | INT | 0 | 15 | 51 | x=(33+18) | x 33 18 + = | x:tree 33:tree 18:tree +:tree =:tree
EXPR: 0 | POS | INT | 0 | 15 | 51 | (33+18)=x | 33 18 + x = | 33:tree 18:tree +:tree x:tree =:tree
EXPR: 1 | POS | INT | 1 | 15 | 15 | x=(33-18) | x 33 18 - = | x:tree 33:tree 18:tree -:tree =:tree
EXPR: 0 | POS | INT | 1 | 15 | 51 | x=(33+18) | x 33 18 + = | x:tree 33:tree 18:tree +:tree =:tree
EXPR: 1 | POS | INT | 1 | 15 | 15 | (33-18)=x | 33 18 - x = | 33:tree 18:tree -:tree x:tree =:tree
EXPR: 0 | POS | INT | 1 | 15 | 51 | (33+18)=x | 33 18 + x = | 33:tree 18:tree +:tree x:tree =:tree
EXPR: 0 | POS | INT | 2 | 15 | 51 | (x-33)=18 | x 33 - 18 = | x:tree 33:tree -:tree 18:tree =:tree
EXPR: 1 | POS | INT | 2 | 15 | 15 | (33-x)=18 | 33 x - 18 = | 33:tree x:tree -:tree 18:tree =:tree
EXPR: 1 | POS | INT | 2 | 15 | 15 | 33=(x+18) | 33 x 18 + = | 33:tree x:tree 18:tree +:tree =:tree
EXPR: 0 | POS | INT | 2 | 15 | 51 | 33=(x-18) | 33 x 18 - = | 33:tree x:tree 18:tree -:tree =:tree
EXPR: 1 | POS | INT | 2 | 15 | 15 | 33=(18+x) | 33 18 x + = | 33:tree 18:tree x:tree +:tree =:tree
EXPR: 0 | POS | INT | 4 | 15 | 51 | (x-18)=33 | x 18 - 33 = | x:tree 18:tree -:tree 33:tree =:tree
EXPR: 1 | POS | INT | 4 | 15 | 15 | (x+18)=33 | x 18 + 33 = | x:tree 18:tree +:tree 33:tree =:tree
EXPR: 1 | POS | INT | 4 | 15 | 15 | (18+x)=33 | 18 x + 33 = | 18:tree x:tree +:tree 33:tree =:tree
EXPR: 1 | POS | INT | 4 | 15 | 15 | 18=(33-x) | 18 33 x - = | 18:tree 33:tree x:tree -:tree =:tree
EXPR: 0 | POS | INT | 4 | 15 | 51 | 18=(x-33) | 18 x 33 - = | 18:tree x:tree 33:tree -:tree =:tree
EXPR: 0 | POS | INT | 10 | 15 | 594 | (33*18)=x | 33 18 * x = | 33:tree 18:NONE *:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 10 | 15 | 594 | x=(33*18) | x 33 18 * = | x:tree 33:NONE 18:tree *:tree =:tree
EXPR: 0 | POS | INT | 10 | 15 | 594 | (33*18)=x | 33 18 * x = | 33:NONE 18:tree *:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 10 | 15 | 594 | (33*18)=x | 33 18 * x = | 33:NONE 18:tree *:tree x:tree =:tree
EXPR: 0 | POS | INT | 10 | 15 | 594 | x=(33*18) | x 33 18 * = | x:NONE 33:tree 18:NONE *:NONE =:NONE
EXPR: 0 | POS | INT | 10 | 15 | 594 | (33*18)=x | 33 18 * x = | 33:tree 18:NONE *:tree x:tree =:tree
EXPR: 0 | POS | INT | 10 | 15 | 594 | x=(33*18) | x 33 18 * = | x:tree 33:tree 18:NONE *:tree =:tree
EXPR: 0 | POS | INT | 10 | 15 | 594 | x=(33*18) | x 33 18 * = | x:NONE 33:NONE 18:tree *:NONE =:NONE
EXPR: 0 | POS | INT | 11 | 15 | 594 | (33*18)=x | 33 18 * x = | 33:NONE 18:tree *:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 11 | 15 | 594 | x=(33*18) | x 33 18 * = | x:tree 33:NONE 18:tree *:tree =:tree
EXPR: 0 | POS | INT | 11 | 15 | 594 | x=(33*18) | x 33 18 * = | x:NONE 33:NONE 18:tree *:NONE =:NONE
EXPR: 0 | POS | INT | 11 | 15 | 594 | (33*18)=x | 33 18 * x = | 33:NONE 18:tree *:tree x:tree =:tree
EXPR: 0 | POS | INT | 11 | 15 | 594 | x=(33*18) | x 33 18 * = | x:NONE 33:tree 18:NONE *:NONE =:NONE
EXPR: 0 | POS | INT | 11 | 15 | 594 | (33*18)=x | 33 18 * x = | 33:tree 18:NONE *:tree x:tree =:tree
EXPR: 0 | POS | INT | 11 | 15 | 594 | (33*18)=x | 33 18 * x = | 33:tree 18:NONE *:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 11 | 15 | 594 | x=(33*18) | x 33 18 * = | x:tree 33:tree 18:NONE *:tree =:tree
EXPR: 0 | POS | INT | 12 | 15 | 594 | 33=(x/18) | 33 x 18 / = | 33:tree x:tree 18:NONE /:tree =:tree
EXPR: 0 | POS | INT | 12 | 15 | 594 | (x/33)=18 | x 33 / 18 = | x:tree 33:NONE /:tree 18:tree =:tree
EXPR: 0 | POS | INT | 12 | 15 | 594 | 33=(x/18) | 33 x 18 / = | 33:NONE x:NONE 18:tree /:NONE =:NONE
EXPR: 0 | POS | INT | 12 | 15 | 594 | (x/33)=18 | x 33 / 18 = | x:NONE 33:tree /:NONE 18:NONE =:NONE
EXPR: 0 | POS | INT | 14 | 15 | 594 | (x/18)=33 | x 18 / 33 = | x:NONE 18:tree /:NONE 33:NONE =:NONE
EXPR: 0 | POS | INT | 14 | 15 | 594 | (x/18)=33 | x 18 / 33 = | x:tree 18:NONE /:tree 33:tree =:tree
EXPR: 0 | POS | INT | 14 | 15 | 594 | 18=(x/33) | 18 x 33 / = | 18:NONE x:NONE 33:tree /:NONE =:NONE
EXPR: 0 | POS | INT | 14 | 15 | 594 | 18=(x/33) | 18 x 33 / = | 18:tree x:tree 33:NONE /:tree =:tree
EXPR: 1 | POS | INT | 20 | 15 | 15 | x=(33-18) | x 33 18 - = | x:NONE 33:NONE 18:NONE -:NONE =:NONE
EXPR: 0 | POS | INT | 20 | 15 | 51 | x=(33+18) | x 33 18 + = | x:NONE 33:NONE 18:NONE +:NONE =:NONE
EXPR: 1 | POS | INT | 20 | 15 | 15 | (33-18)=x | 33 18 - x = | 33:NONE 18:NONE -:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 20 | 15 | 51 | (33+18)=x | 33 18 + x = | 33:NONE 18:NONE +:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 21 | 15 | 51 | x=(33+18) | x 33 18 + = | x:NONE 33:NONE 18:NONE +:NONE =:NONE
EXPR: 0 | POS | INT | 21 | 15 | 51 | (33+18)=x | 33 18 + x = | 33:NONE 18:NONE +:NONE x:NONE =:NONE
EXPR: 1 | POS | INT | 21 | 15 | 15 | x=(33-18) | x 33 18 - = | x:NONE 33:NONE 18:NONE -:NONE =:NONE
EXPR: 1 | POS | INT | 21 | 15 | 15 | (33-18)=x | 33 18 - x = | 33:NONE 18:NONE -:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 22 | 15 | 51 | (x-33)=18 | x 33 - 18 = | x:NONE 33:NONE -:NONE 18:NONE =:NONE
EXPR: 1 | POS | INT | 22 | 15 | 15 | (33-x)=18 | 33 x - 18 = | 33:NONE x:NONE -:NONE 18:NONE =:NONE
EXPR: 1 | POS | INT | 22 | 15 | 15 | 33=(x+18) | 33 x 18 + = | 33:NONE x:NONE 18:NONE +:NONE =:NONE
EXPR: 0 | POS | INT | 22 | 15 | 51 | 33=(x-18) | 33 x 18 - = | 33:NONE x:NONE 18:NONE -:NONE =:NONE
EXPR: 1 | POS | INT | 22 | 15 | 15 | 33=(18+x) | 33 18 x + = | 33:NONE 18:NONE x:NONE +:NONE =:NONE
EXPR: 0 | POS | INT | 24 | 15 | 51 | (x-18)=33 | x 18 - 33 = | x:NONE 18:NONE -:NONE 33:NONE =:NONE
EXPR: 1 | POS | INT | 24 | 15 | 15 | (18+x)=33 | 18 x + 33 = | 18:NONE x:NONE +:NONE 33:NONE =:NONE
EXPR: 1 | POS | INT | 24 | 15 | 15 | (x+18)=33 | x 18 + 33 = | x:NONE 18:NONE +:NONE 33:NONE =:NONE
EXPR: 1 | POS | INT | 24 | 15 | 15 | 18=(33-x) | 18 33 x - = | 18:NONE 33:NONE x:NONE -:NONE =:NONE
EXPR: 0 | POS | INT | 24 | 15 | 51 | 18=(x-33) | 18 x 33 - = | 18:NONE x:NONE 33:NONE -:NONE =:NONE
NET 60 non-negative, integer-valued solutions found out of 136 total solutions
