parameters: n=5 l=2 k=1 p=5 q=2 m=8
TOTAL 136 solutions found
EXPR: 0 | POS | INT | 0 | 14 | 19 | x=(6+13) | x 6 13 + = | x:book 6:book 13:book +:book =:book
EXPR: 0 | POS | INT | 0 | 14 | 19 | (6+13)=x | 6 13 + x = | 6:book 13:book +:book x:book =:book
EXPR: 0 | POS | INT | 1 | 14 | 19 | x=(6+13) | x 6 13 + = | x:book 6:book 13:book +:book =:book
EXPR: 0 | POS | INT | 1 | 14 | 19 | (6+13)=x | 6 13 + x = | 6:book 13:book +:book x:book =:book
EXPR: 0 | POS | INT | 2 | 14 | 19 | (x-6)=13 | x 6 - 13 = | x:book 6:book -:book 13:book =:book
EXPR: 0 | POS | INT | 2 | 14 | 7 | x=(13-6) | x 13 6 - = | x:book 13:book 6:book -:book =:book
EXPR: 0 | POS | INT | 2 | 14 | 7 | (13-6)=x | 13 6 - x = | 13:book 6:book -:book x:book =:book
EXPR: 0 | POS | INT | 2 | 14 | 7 | (x+6)=13 | x 6 + 13 = | x:book 6:book +:book 13:book =:book
EXPR: 0 | POS | INT | 2 | 14 | 7 | (6+x)=13 | 6 x + 13 = | 6:book x:book +:book 13:book =:book
EXPR: 0 | POS | INT | 2 | 14 | 19 | 6=(x-13) | 6 x 13 - = | 6:book x:book 13:book -:book =:book
EXPR: 0 | POS | INT | 2 | 14 | 7 | 6=(13-x) | 6 13 x - = | 6:book 13:book x:book -:book =:book
EXPR: 0 | POS | INT | 3 | 14 | 7 | x=(13-6) | x 13 6 - = | x:book 13:book 6:book -:book =:book
EXPR: 0 | POS | INT | 3 | 14 | 7 | (13-6)=x | 13 6 - x = | 13:book 6:book -:book x:book =:book
EXPR: 0 | POS | INT | 4 | 14 | 19 | (x-13)=6 | x 13 - 6 = | x:book 13:book -:book 6:book =:book
EXPR: 0 | POS | INT | 4 | 14 | 7 | (13-x)=6 | 13 x - 6 = | 13:book x:book -:book 6:book =:book
EXPR: 0 | POS | INT | 4 | 14 | 19 | 13=(x-6) | 13 x 6 - = | 13:book x:book 6:book -:book =:book
EXPR: 0 | POS | INT | 4 | 14 | 7 | 13=(6+x) | 13 6 x + = | 13:book 6:book x:book +:book =:book
EXPR: 0 | POS | INT | 4 | 14 | 7 | 13=(x+6) | 13 x 6 + = | 13:book x:book 6:book +:book =:book
EXPR: 0 | POS | INT | 10 | 14 | 78 | (6*13)=x | 6 13 * x = | 6:book 13:NONE *:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 10 | 14 | 78 | x=(6*13) | x 6 13 * = | x:book 6:NONE 13:book *:book =:book
EXPR: 0 | POS | INT | 10 | 14 | 78 | (6*13)=x | 6 13 * x = | 6:NONE 13:book *:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 10 | 14 | 78 | (6*13)=x | 6 13 * x = | 6:NONE 13:book *:book x:book =:book
EXPR: 0 | POS | INT | 10 | 14 | 78 | x=(6*13) | x 6 13 * = | x:NONE 6:book 13:NONE *:NONE =:NONE
EXPR: 0 | POS | INT | 10 | 14 | 78 | (6*13)=x | 6 13 * x = | 6:book 13:NONE *:book x:book =:book
EXPR: 0 | POS | INT | 10 | 14 | 78 | x=(6*13) | x 6 13 * = | x:book 6:book 13:NONE *:book =:book
EXPR: 0 | POS | INT | 10 | 14 | 78 | x=(6*13) | x 6 13 * = | x:NONE 6:NONE 13:book *:NONE =:NONE
EXPR: 0 | POS | INT | 11 | 14 | 78 | (6*13)=x | 6 13 * x = | 6:NONE 13:book *:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 11 | 14 | 78 | x=(6*13) | x 6 13 * = | x:book 6:NONE 13:book *:book =:book
EXPR: 0 | POS | INT | 11 | 14 | 78 | x=(6*13) | x 6 13 * = | x:NONE 6:NONE 13:book *:NONE =:NONE
EXPR: 0 | POS | INT | 11 | 14 | 78 | (6*13)=x | 6 13 * x = | 6:NONE 13:book *:book x:book =:book
EXPR: 0 | POS | INT | 11 | 14 | 78 | x=(6*13) | x 6 13 * = | x:NONE 6:book 13:NONE *:NONE =:NONE
EXPR: 0 | POS | INT | 11 | 14 | 78 | (6*13)=x | 6 13 * x = | 6:book 13:NONE *:book x:book =:book
EXPR: 0 | POS | INT | 11 | 14 | 78 | (6*13)=x | 6 13 * x = | 6:book 13:NONE *:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 11 | 14 | 78 | x=(6*13) | x 6 13 * = | x:book 6:book 13:NONE *:book =:book
EXPR: 0 | POS | INT | 12 | 14 | 78 | 6=(x/13) | 6 x 13 / = | 6:book x:book 13:NONE /:book =:book
EXPR: 0 | POS | INT | 12 | 14 | 78 | (x/6)=13 | x 6 / 13 = | x:book 6:NONE /:book 13:book =:book
EXPR: 0 | POS | INT | 12 | 14 | 78 | 6=(x/13) | 6 x 13 / = | 6:NONE x:NONE 13:book /:NONE =:NONE
EXPR: 0 | POS | INT | 12 | 14 | 78 | (x/6)=13 | x 6 / 13 = | x:NONE 6:book /:NONE 13:NONE =:NONE
