parameters: n=9 l=4 k=1 p=5 q=2 m=10
TOTAL 1000 solutions found
EXPR: 0 | POS | INT | 0 | 74 | 220 | x=(((109*2)+13)-11) | x 109 2 * 13 + 11 - = | x:dollar 109:dollar 2:shirt *:dollar 13:dollar +:dollar 11:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 74 | 61 | x=(109-(2*(13+11))) | x 109 2 13 11 + * - = | x:dollar 109:dollar 2:shirt 13:dollar 11:dollar +:dollar *:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 74 | 157 | x=(109+(2*(13+11))) | x 109 2 13 11 + * + = | x:dollar 109:dollar 2:shirt 13:dollar 11:dollar +:dollar *:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 74 | 105 | x=(109-(2*(13-11))) | x 109 2 13 11 - * - = | x:dollar 109:dollar 2:shirt 13:dollar 11:dollar -:dollar *:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 74 | 113 | x=(109+(2*(13-11))) | x 109 2 13 11 - * + = | x:dollar 109:dollar 2:shirt 13:dollar 11:dollar -:dollar *:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 74 | 109 | x=(109*(2/(13-11))) | x 109 2 13 11 - / * = | x:dollar 109:dollar 2:shirt 13:dollar 11:dollar -:dollar /:shirt *:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 74 | 5232 | x=((109*2)*(13+11)) | x 109 2 * 13 11 + * = | x:dollar 109:dollar 2:shirt *:shirt 13:dollar 11:dollar +:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 74 | 242 | x=(((109*2)+13)+11) | x 109 2 * 13 + 11 + = | x:dollar 109:dollar 2:shirt *:dollar 13:dollar +:dollar 11:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 74 | 436 | x=((109*2)*(13-11)) | x 109 2 * 13 11 - * = | x:dollar 109:dollar 2:shirt *:shirt 13:dollar 11:dollar -:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 74 | 216 | x=(((109*2)-13)+11) | x 109 2 * 13 - 11 + = | x:dollar 109:dollar 2:shirt *:dollar 13:dollar -:dollar 11:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 74 | 72 | x=(109-((2*13)+11)) | x 109 2 13 * 11 + - = | x:dollar 109:dollar 2:shirt 13:dollar *:dollar 11:dollar +:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 74 | 194 | x=(((109*2)-13)-11) | x 109 2 * 13 - 11 - = | x:dollar 109:dollar 2:shirt *:dollar 13:dollar -:dollar 11:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 74 | 124 | x=((109+(2*13))-11) | x 109 2 13 * + 11 - = | x:dollar 109:dollar 2:shirt 13:dollar *:dollar +:dollar 11:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 74 | 72 | x=((109-(2*13))-11) | x 109 2 13 * - 11 - = | x:dollar 109:dollar 2:shirt 13:dollar *:dollar -:dollar 11:dollar -:dollar =:dollar
