parameters: n=9 l=4 k=1 p=5 q=2 m=10
TOTAL 1000 solutions found
EXPR: 0 | POS | INT | 0 | 160 |  | x=(((4-8)+4)*10) | x 4 8 - 4 + 10 * = | x:ball 4:pack 8:pack -:pack 4:pack +:pack 10:ball *:ball =:ball
EXPR: 1 | POS | INT | 0 | 160 | 160 | x=((4+(8+4))*10) | x 4 8 4 + + 10 * = | x:ball 4:pack 8:pack 4:pack +:pack +:pack 10:ball *:ball =:ball
EXPR: 0 | POS | INT | 0 | 160 | 80 | x=(((4+8)-4)*10) | x 4 8 + 4 - 10 * = | x:ball 4:pack 8:pack +:pack 4:pack -:pack 10:ball *:ball =:ball
EXPR: 0 | POS | INT | 0 | 160 |  | x=((4-(8-4))*10) | x 4 8 4 - - 10 * = | x:ball 4:pack 8:pack 4:pack -:pack -:pack 10:ball *:ball =:ball
EXPR: 1 | POS | INT | 0 | 160 | 160 | x=(((4+8)+4)*10) | x 4 8 + 4 + 10 * = | x:ball 4:pack 8:pack +:pack 4:pack +:pack 10:ball *:ball =:ball
EXPR: 0 | POS | INT | 0 | 160 | 80 | x=((4+(8-4))*10) | x 4 8 4 - + 10 * = | x:ball 4:pack 8:pack 4:pack -:pack +:pack 10:ball *:ball =:ball
EXPR: 0 | POS | INT | 1 | 160 |  | x=(((4-8)+4)*10) | x 4 8 - 4 + 10 * = | x:ball 4:pack 8:pack -:pack 4:pack +:pack 10:ball *:ball =:ball
EXPR: 1 | POS | INT | 1 | 160 | 160 | x=((4+(8+4))*10) | x 4 8 4 + + 10 * = | x:ball 4:pack 8:pack 4:pack +:pack +:pack 10:ball *:ball =:ball
EXPR: 0 | POS | INT | 1 | 160 |  | x=((4-(8-4))*10) | x 4 8 4 - - 10 * = | x:ball 4:pack 8:pack 4:pack -:pack -:pack 10:ball *:ball =:ball
EXPR: 1 | POS | INT | 1 | 160 | 160 | x=(((4+8)+4)*10) | x 4 8 + 4 + 10 * = | x:ball 4:pack 8:pack +:pack 4:pack +:pack 10:ball *:ball =:ball
EXPR: 0 | POS | INT | 1 | 160 | 80 | x=(((4+8)-4)*10) | x 4 8 + 4 - 10 * = | x:ball 4:pack 8:pack +:pack 4:pack -:pack 10:ball *:ball =:ball
EXPR: 0 | POS | INT | 1 | 160 | 80 | x=((4+(8-4))*10) | x 4 8 4 - + 10 * = | x:ball 4:pack 8:pack 4:pack -:pack +:pack 10:ball *:ball =:ball
EXPR: 0 | POS | INT | 10 | 160 | 30 | x=(((4+8)/4)*10) | x 4 8 + 4 / 10 * = | x:ball 4:pack 8:pack +:pack 4:ball /:pack 10:ball *:ball =:ball
EXPR: 0 | POS | INT | 10 | 160 | 80 | x=(((8-4)+4)*10) | x 8 4 - 4 + 10 * = | x:ball 8:pack 4:pack -:pack 4:pack +:pack 10:ball *:ball =:ball
EXPR: 0 | POS | INT | 10 | 160 | 80 | x=(((4+8)-4)*10) | x 4 8 + 4 - 10 * = | x:pack 4:pack 8:pack +:pack 4:pack -:pack 10:ball *:pack =:pack
EXPR: 0 | POS | INT | 10 | 160 | 72 | x=((4*8)+(4*10)) | x 4 8 * 4 10 * + = | x:ball 4:pack 8:ball *:ball 4:pack 10:ball *:ball +:ball =:ball
EXPR: 1 | POS | INT | 10 | 160 | 160 | x=(((4+8)+4)*10) | x 4 8 + 4 + 10 * = | x:pack 4:pack 8:pack +:pack 4:pack +:pack 10:ball *:pack =:pack
EXPR: 1 | POS | INT | 10 | 160 | 160 | x=((4+(8+4))*10) | x 4 8 4 + + 10 * = | x:pack 4:pack 8:pack 4:pack +:pack +:pack 10:ball *:pack =:pack
EXPR: 0 | POS | INT | 10 | 160 |  | x=((4-(8-4))*10) | x 4 8 4 - - 10 * = | x:pack 4:pack 8:pack 4:pack -:pack -:pack 10:ball *:pack =:pack
EXPR: 0 | POS | INT | 10 | 160 |  | x=(((4+4)-8)*10) | x 4 4 + 8 - 10 * = | x:ball 4:pack 4:pack +:pack 8:pack -:pack 10:ball *:ball =:ball
EXPR: 0 | POS | INT | 11 | 160 | 30 | x=(((4+8)/4)*10) | x 4 8 + 4 / 10 * = | x:ball 4:pack 8:pack +:pack 4:ball /:pack 10:ball *:ball =:ball
EXPR: 0 | POS | INT | 11 | 160 | 80 | x=(((4+8)-4)*10) | x 4 8 + 4 - 10 * = | x:pack 4:pack 8:pack +:pack 4:pack -:pack 10:ball *:pack =:pack
EXPR: 1 | POS | INT | 11 | 160 | 160 | x=(((4+8)+4)*10) | x 4 8 + 4 + 10 * = | x:pack 4:pack 8:pack +:pack 4:pack +:pack 10:ball *:pack =:pack
EXPR: 1 | POS | INT | 11 | 160 | 160 | x=((4+(8+4))*10) | x 4 8 4 + + 10 * = | x:pack 4:pack 8:pack 4:pack +:pack +:pack 10:ball *:pack =:pack
EXPR: 0 | POS | INT | 11 | 160 |  | x=((4-(8-4))*10) | x 4 8 4 - - 10 * = | x:pack 4:pack 8:pack 4:pack -:pack -:pack 10:ball *:pack =:pack
EXPR: 0 | POS | INT | 12 | 160 | 10 | 4=(((8-4)/x)*10) | 4 8 4 - x / 10 * = | 4:ball 8:pack 4:pack -:pack x:ball /:pack 10:ball *:ball =:ball
EXPR: 0 | POS | INT | 12 | 160 | 0 | 4=(((x*8)/10)+4) | 4 x 8 * 10 / 4 + = | 4:pack x:ball 8:pack *:pack 10:ball /:pack 4:pack +:pack =:pack
EXPR: 0 | POS | INT | 12 | 160 | 10 | 4=(((8*x)/10)-4) | 4 8 x * 10 / 4 - = | 4:pack 8:pack x:ball *:pack 10:ball /:pack 4:pack -:pack =:pack
EXPR: 0 | POS | INT | 12 | 160 | 10 | 4=(x*((8-4)/10)) | 4 x 8 4 - 10 / * = | 4:ball x:ball 8:pack 4:pack -:pack 10:ball /:pack *:ball =:ball
EXPR: 0 | POS | INT | 12 | 160 | 80 | ((4*(x/8))/10)=4 | 4 x 8 / * 10 / 4 = | 4:pack x:ball 8:pack /:ball *:pack 10:ball /:pack 4:pack =:pack
EXPR: 0 | POS | INT | 20 | 160 | 7 | x=((4/8)*(4+10)) | x 4 8 / 4 10 + * = | x:ball 4:pack 8:ball /:pack 4:ball 10:ball +:ball *:ball =:ball
EXPR: 0 | POS | INT | 20 | 160 | 36 | x=((4-8)+(4*10)) | x 4 8 - 4 10 * + = | x:ball 4:ball 8:ball -:ball 4:pack 10:ball *:ball +:ball =:ball
EXPR: 0 | POS | INT | 20 | 160 | 10 | x=(((8-4)/4)*10) | x 8 4 - 4 / 10 * = | x:ball 8:pack 4:pack -:pack 4:ball /:pack 10:ball *:ball =:ball
EXPR: 0 | POS | INT | 20 | 160 |  | x=(((4-4)/8)*10) | x 4 4 - 8 / 10 * = | x:ball 4:pack 4:pack -:pack 8:ball /:pack 10:ball *:ball =:ball
EXPR: 0 | POS | INT | 20 | 160 | 10 | x=(((4-4)*8)+10) | x 4 4 - 8 * 10 + = | x:ball 4:pack 4:pack -:pack 8:ball *:ball 10:ball +:ball =:ball
