parameters: n=5 l=2 k=1 p=5 q=1 m=8
TOTAL 22 solutions found
EXPR: 0 | POS | INT | 0 | 33 | 77 | x=(22+55) | x 22 55 + = | x:tree 22:tree 55:tree +:tree =:tree
EXPR: 0 | POS | INT | 1 | 33 | 77 | x=(22+55) | x 22 55 + = | x:tree 22:tree 55:tree +:tree =:tree
EXPR: 1 | POS | INT | 2 | 33 | 33 | (22+x)=55 | 22 x + 55 = | 22:tree x:tree +:tree 55:tree =:tree
EXPR: 0 | POS | INT | 2 | 33 | 77 | (x-22)=55 | x 22 - 55 = | x:tree 22:tree -:tree 55:tree =:tree
EXPR: 1 | POS | INT | 2 | 33 | 33 | (x+22)=55 | x 22 + 55 = | x:tree 22:tree +:tree 55:tree =:tree
EXPR: 1 | POS | INT | 2 | 33 | 33 | 22=(55-x) | 22 55 x - = | 22:tree 55:tree x:tree -:tree =:tree
EXPR: 0 | POS | INT | 2 | 33 | 77 | 22=(x-55) | 22 x 55 - = | 22:tree x:tree 55:tree -:tree =:tree
EXPR: 1 | POS | INT | 10 | 33 | 33 | x=(55-22) | x 55 22 - = | x:tree 55:tree 22:tree -:tree =:tree
EXPR: 1 | POS | INT | 11 | 33 | 33 | x=(55-22) | x 55 22 - = | x:tree 55:tree 22:tree -:tree =:tree
EXPR: 1 | POS | INT | 12 | 33 | 33 | 55=(x+22) | 55 x 22 + = | 55:tree x:tree 22:tree +:tree =:tree
EXPR: 0 | POS | INT | 12 | 33 | 77 | 55=(x-22) | 55 x 22 - = | 55:tree x:tree 22:tree -:tree =:tree
EXPR: 1 | POS | INT | 12 | 33 | 33 | (55-x)=22 | 55 x - 22 = | 55:tree x:tree -:tree 22:tree =:tree
EXPR: 0 | POS | INT | 12 | 33 | 77 | (x-55)=22 | x 55 - 22 = | x:tree 55:tree -:tree 22:tree =:tree
EXPR: 1 | POS | INT | 12 | 33 | 33 | 55=(22+x) | 55 22 x + = | 55:tree 22:tree x:tree +:tree =:tree
NET 14 non-negative, integer-valued solutions found out of 22 total solutions
