parameters: n=5 l=2 k=1 p=5 q=2 m=8
TOTAL 136 solutions found
EXPR: 1 | POS | INT | 0 | 5 | 5 | x=(110/22) | x 110 22 / = | x:marble 110:marble 22:time /:marble =:marble
EXPR: 1 | POS | INT | 0 | 5 | 5 | (110/22)=x | 110 22 / x = | 110:marble 22:time /:marble x:marble =:marble
EXPR: 0 | POS | INT | 0 | 5 | 2420 | (110*22)=x | 110 22 * x = | 110:marble 22:time *:marble x:marble =:marble
EXPR: 0 | POS | INT | 0 | 5 | 2420 | x=(110*22) | x 110 22 * = | x:marble 110:marble 22:time *:marble =:marble
EXPR: 1 | POS | INT | 1 | 5 | 5 | x=(110/22) | x 110 22 / = | x:marble 110:marble 22:time /:marble =:marble
EXPR: 0 | POS | INT | 1 | 5 | 2420 | (110*22)=x | 110 22 * x = | 110:marble 22:time *:marble x:marble =:marble
EXPR: 0 | POS | INT | 1 | 5 | 2420 | x=(110*22) | x 110 22 * = | x:marble 110:marble 22:time *:marble =:marble
EXPR: 1 | POS | INT | 1 | 5 | 5 | (110/22)=x | 110 22 / x = | 110:marble 22:time /:marble x:marble =:marble
EXPR: 0 | POS | INT | 2 | 5 | 2420 | 110=(x/22) | 110 x 22 / = | 110:marble x:marble 22:time /:marble =:marble
EXPR: 1 | POS | INT | 2 | 5 | 5 | 110=(x*22) | 110 x 22 * = | 110:marble x:marble 22:time *:marble =:marble
EXPR: 1 | POS | INT | 2 | 5 | 5 | 110=(22*x) | 110 22 x * = | 110:marble 22:time x:marble *:marble =:marble
EXPR: 0 | POS | INT | 4 | 5 | 2420 | (x/22)=110 | x 22 / 110 = | x:marble 22:time /:marble 110:marble =:marble
EXPR: 1 | POS | INT | 4 | 5 | 5 | (22*x)=110 | 22 x * 110 = | 22:time x:marble *:marble 110:marble =:marble
EXPR: 1 | POS | INT | 4 | 5 | 5 | (x*22)=110 | x 22 * 110 = | x:marble 22:time *:marble 110:marble =:marble
EXPR: 0 | POS | INT | 10 | 5 | 2420 | x=(110*22) | x 110 22 * = | x:time 110:marble 22:time *:time =:time
EXPR: 0 | POS | INT | 10 | 5 | 132 | (110+22)=x | 110 22 + x = | 110:marble 22:marble +:marble x:marble =:marble
EXPR: 0 | POS | INT | 10 | 5 | 88 | (110-22)=x | 110 22 - x = | 110:marble 22:marble -:marble x:marble =:marble
EXPR: 0 | POS | INT | 10 | 5 | 88 | x=(110-22) | x 110 22 - = | x:marble 110:marble 22:marble -:marble =:marble
EXPR: 0 | POS | INT | 10 | 5 | 132 | x=(110+22) | x 110 22 + = | x:marble 110:marble 22:marble +:marble =:marble
EXPR: 0 | POS | INT | 10 | 5 | 2420 | (110*22)=x | 110 22 * x = | 110:marble 22:time *:time x:time =:time
EXPR: 0 | POS | INT | 11 | 5 | 132 | (110+22)=x | 110 22 + x = | 110:marble 22:marble +:marble x:marble =:marble
EXPR: 0 | POS | INT | 11 | 5 | 2420 | x=(110*22) | x 110 22 * = | x:time 110:marble 22:time *:time =:time
EXPR: 0 | POS | INT | 11 | 5 | 88 | x=(110-22) | x 110 22 - = | x:marble 110:marble 22:marble -:marble =:marble
EXPR: 0 | POS | INT | 11 | 5 | 132 | x=(110+22) | x 110 22 + = | x:marble 110:marble 22:marble +:marble =:marble
EXPR: 0 | POS | INT | 11 | 5 | 88 | (110-22)=x | 110 22 - x = | 110:marble 22:marble -:marble x:marble =:marble
EXPR: 0 | POS | INT | 11 | 5 | 2420 | (110*22)=x | 110 22 * x = | 110:marble 22:time *:time x:time =:time
EXPR: 0 | POS | INT | 12 | 5 | 2420 | (x/110)=22 | x 110 / 22 = | x:time 110:marble /:time 22:time =:time
EXPR: 0 | POS | INT | 12 | 5 | 132 | (x-110)=22 | x 110 - 22 = | x:marble 110:marble -:marble 22:marble =:marble
EXPR: 0 | POS | INT | 12 | 5 | 88 | (110-x)=22 | 110 x - 22 = | 110:marble x:marble -:marble 22:marble =:marble
EXPR: 0 | POS | INT | 12 | 5 | 132 | 110=(x-22) | 110 x 22 - = | 110:marble x:marble 22:marble -:marble =:marble
EXPR: 0 | POS | INT | 12 | 5 | 88 | 110=(x+22) | 110 x 22 + = | 110:marble x:marble 22:marble +:marble =:marble
EXPR: 1 | POS | INT | 12 | 5 | 5 | 110=(22*x) | 110 22 x * = | 110:time 22:time x:marble *:time =:time
EXPR: 1 | POS | INT | 12 | 5 | 5 | 110=(x*22) | 110 x 22 * = | 110:time x:marble 22:time *:time =:time
EXPR: 0 | POS | INT | 12 | 5 | 88 | 110=(22+x) | 110 22 x + = | 110:marble 22:marble x:marble +:marble =:marble
EXPR: 1 | POS | INT | 12 | 5 | 5 | (110/x)=22 | 110 x / 22 = | 110:time x:marble /:time 22:time =:time
EXPR: 0 | POS | INT | 14 | 5 | 88 | (x+22)=110 | x 22 + 110 = | x:marble 22:marble +:marble 110:marble =:marble
EXPR: 0 | POS | INT | 14 | 5 | 88 | 22=(110-x) | 22 110 x - = | 22:marble 110:marble x:marble -:marble =:marble
EXPR: 1 | POS | INT | 14 | 5 | 5 | (x*22)=110 | x 22 * 110 = | x:marble 22:time *:time 110:time =:time
EXPR: 0 | POS | INT | 14 | 5 | 2420 | 22=(x/110) | 22 x 110 / = | 22:time x:time 110:marble /:time =:time
EXPR: 0 | POS | INT | 14 | 5 | 132 | (x-22)=110 | x 22 - 110 = | x:marble 22:marble -:marble 110:marble =:marble
EXPR: 0 | POS | INT | 14 | 5 | 88 | (22+x)=110 | 22 x + 110 = | 22:marble x:marble +:marble 110:marble =:marble
EXPR: 0 | POS | INT | 14 | 5 | 132 | 22=(x-110) | 22 x 110 - = | 22:marble x:marble 110:marble -:marble =:marble
EXPR: 1 | POS | INT | 14 | 5 | 5 | 22=(110/x) | 22 110 x / = | 22:time 110:time x:marble /:time =:time
EXPR: 1 | POS | INT | 14 | 5 | 5 | (22*x)=110 | 22 x * 110 = | 22:time x:marble *:time 110:time =:time
EXPR: 0 | POS | INT | 20 | 5 | 132 | (110+22)=x | 110 22 + x = | 110:time 22:time +:time x:time =:time
EXPR: 0 | POS | INT | 20 | 5 | 88 | (110-22)=x | 110 22 - x = | 110:time 22:time -:time x:time =:time
EXPR: 0 | POS | INT | 20 | 5 | 2420 | (110*22)=x | 110 22 * x = | 110:time 22:marble *:marble x:marble =:marble
EXPR: 0 | POS | INT | 20 | 5 | 88 | x=(110-22) | x 110 22 - = | x:time 110:time 22:time -:time =:time
EXPR: 0 | POS | INT | 20 | 5 | 132 | x=(110+22) | x 110 22 + = | x:time 110:time 22:time +:time =:time
EXPR: 0 | POS | INT | 20 | 5 | 2420 | x=(110*22) | x 110 22 * = | x:marble 110:time 22:marble *:marble =:marble
EXPR: 0 | POS | INT | 21 | 5 | 88 | (110-22)=x | 110 22 - x = | 110:time 22:time -:time x:time =:time
EXPR: 0 | POS | INT | 21 | 5 | 88 | x=(110-22) | x 110 22 - = | x:time 110:time 22:time -:time =:time
EXPR: 0 | POS | INT | 21 | 5 | 132 | (110+22)=x | 110 22 + x = | 110:time 22:time +:time x:time =:time
EXPR: 0 | POS | INT | 21 | 5 | 2420 | (110*22)=x | 110 22 * x = | 110:time 22:marble *:marble x:marble =:marble
EXPR: 0 | POS | INT | 21 | 5 | 2420 | x=(110*22) | x 110 22 * = | x:marble 110:time 22:marble *:marble =:marble
EXPR: 0 | POS | INT | 21 | 5 | 132 | x=(110+22) | x 110 22 + = | x:time 110:time 22:time +:time =:time
EXPR: 0 | POS | INT | 22 | 5 | 132 | (x-110)=22 | x 110 - 22 = | x:time 110:time -:time 22:time =:time
EXPR: 0 | POS | INT | 22 | 5 | 88 | (110-x)=22 | 110 x - 22 = | 110:time x:time -:time 22:time =:time
EXPR: 0 | POS | INT | 22 | 5 | 2420 | (x/110)=22 | x 110 / 22 = | x:marble 110:time /:marble 22:marble =:marble
EXPR: 0 | POS | INT | 22 | 5 | 132 | 110=(x-22) | 110 x 22 - = | 110:time x:time 22:time -:time =:time
EXPR: 1 | POS | INT | 22 | 5 | 5 | (110/x)=22 | 110 x / 22 = | 110:marble x:time /:marble 22:marble =:marble
