parameters: n=7 l=3 k=1 p=5 q=2 m=9
TOTAL 1000 solutions found
EXPR: 1 | POS | INT | 0 | 144 | 144 | ((3*12)*4)=x | 3 12 * 4 * x = | 3:dozen 12:marble *:marble 4:dozen *:marble x:marble =:marble
EXPR: 1 | POS | INT | 0 | 144 | 144 | (3*(12*4))=x | 3 12 4 * * x = | 3:dozen 12:marble 4:dozen *:marble *:marble x:marble =:marble
EXPR: 0 | POS | INT | 0 | 144 | 9 | (3*(12/4))=x | 3 12 4 / * x = | 3:dozen 12:marble 4:dozen /:marble *:marble x:marble =:marble
EXPR: 0 | POS | INT | 0 | 144 | 9 | ((3*12)/4)=x | 3 12 * 4 / x = | 3:dozen 12:marble *:marble 4:dozen /:marble x:marble =:marble
EXPR: 0 | POS | INT | 0 | 144 | 9 | x=((3*12)/4) | x 3 12 * 4 / = | x:marble 3:dozen 12:marble *:marble 4:dozen /:marble =:marble
EXPR: 0 | POS | INT | 0 | 144 | 9 | x=(3*(12/4)) | x 3 12 4 / * = | x:marble 3:dozen 12:marble 4:dozen /:marble *:marble =:marble
EXPR: 1 | POS | INT | 0 | 144 | 144 | x=(3*(12*4)) | x 3 12 4 * * = | x:marble 3:dozen 12:marble 4:dozen *:marble *:marble =:marble
EXPR: 1 | POS | INT | 0 | 144 | 144 | x=((3*12)*4) | x 3 12 * 4 * = | x:marble 3:dozen 12:marble *:marble 4:dozen *:marble =:marble
EXPR: 1 | POS | INT | 1 | 144 | 144 | (3*(12*4))=x | 3 12 4 * * x = | 3:dozen 12:marble 4:dozen *:marble *:marble x:marble =:marble
EXPR: 1 | POS | INT | 1 | 144 | 144 | ((3*12)*4)=x | 3 12 * 4 * x = | 3:dozen 12:marble *:marble 4:dozen *:marble x:marble =:marble
EXPR: 0 | POS | INT | 1 | 144 | 9 | ((3*12)/4)=x | 3 12 * 4 / x = | 3:dozen 12:marble *:marble 4:dozen /:marble x:marble =:marble
EXPR: 0 | POS | INT | 1 | 144 | 9 | (3*(12/4))=x | 3 12 4 / * x = | 3:dozen 12:marble 4:dozen /:marble *:marble x:marble =:marble
EXPR: 1 | POS | INT | 1 | 144 | 144 | x=(3*(12*4)) | x 3 12 4 * * = | x:marble 3:dozen 12:marble 4:dozen *:marble *:marble =:marble
EXPR: 0 | POS | INT | 1 | 144 | 9 | x=((3*12)/4) | x 3 12 * 4 / = | x:marble 3:dozen 12:marble *:marble 4:dozen /:marble =:marble
EXPR: 0 | POS | INT | 1 | 144 | 9 | x=(3*(12/4)) | x 3 12 4 / * = | x:marble 3:dozen 12:marble 4:dozen /:marble *:marble =:marble
EXPR: 1 | POS | INT | 1 | 144 | 144 | x=((3*12)*4) | x 3 12 * 4 * = | x:marble 3:dozen 12:marble *:marble 4:dozen *:marble =:marble
EXPR: 0 | POS | INT | 2 | 144 | 84 | x=((3+4)*12) | x 3 4 + 12 * = | x:marble 3:dozen 4:dozen +:dozen 12:marble *:marble =:marble
EXPR: 0 | POS | INT | 2 | 144 | 16 | 3=((12*4)/x) | 3 12 4 * x / = | 3:dozen 12:marble 4:dozen *:dozen x:marble /:dozen =:dozen
EXPR: 0 | POS | INT | 2 | 144 | 16 | ((3*x)/12)=4 | 3 x * 12 / 4 = | 3:dozen x:marble *:dozen 12:marble /:dozen 4:dozen =:dozen
EXPR: 0 | POS | INT | 2 | 144 | 84 | x=(12*(3+4)) | x 12 3 4 + * = | x:marble 12:marble 3:dozen 4:dozen +:dozen *:marble =:marble
EXPR: 0 | POS | INT | 2 | 144 | 16 | ((12/3)*4)=x | 12 3 / 4 * x = | 12:marble 3:dozen /:marble 4:dozen *:marble x:marble =:marble
EXPR: 0 | POS | INT | 2 | 144 | 16 | ((x*3)/12)=4 | x 3 * 12 / 4 = | x:marble 3:dozen *:dozen 12:marble /:dozen 4:dozen =:dozen
EXPR: 0 | POS | INT | 2 | 144 | 84 | (12*(3+4))=x | 12 3 4 + * x = | 12:marble 3:dozen 4:dozen +:dozen *:marble x:marble =:marble
