parameters: n=5 l=2 k=1 p=5 q=2 m=8
TOTAL 136 solutions found
EXPR: 1 | POS | INT | 0 | 341 | 341 | (31*11)=x | 31 11 * x = | 31:calorie 11:bar *:calorie x:calorie =:calorie
EXPR: 1 | POS | INT | 0 | 341 | 341 | x=(31*11) | x 31 11 * = | x:calorie 31:calorie 11:bar *:calorie =:calorie
EXPR: 1 | POS | INT | 1 | 341 | 341 | (31*11)=x | 31 11 * x = | 31:calorie 11:bar *:calorie x:calorie =:calorie
EXPR: 1 | POS | INT | 1 | 341 | 341 | x=(31*11) | x 31 11 * = | x:calorie 31:calorie 11:bar *:calorie =:calorie
EXPR: 1 | POS | INT | 2 | 341 | 341 | 31=(x/11) | 31 x 11 / = | 31:calorie x:calorie 11:bar /:calorie =:calorie
EXPR: 1 | POS | INT | 4 | 341 | 341 | (x/11)=31 | x 11 / 31 = | x:calorie 11:bar /:calorie 31:calorie =:calorie
EXPR: 1 | POS | INT | 10 | 341 | 341 | x=(31*11) | x 31 11 * = | x:bar 31:calorie 11:bar *:bar =:bar
EXPR: 0 | POS | INT | 10 | 341 | 42 | (31+11)=x | 31 11 + x = | 31:calorie 11:calorie +:calorie x:calorie =:calorie
EXPR: 0 | POS | INT | 10 | 341 | 20 | (31-11)=x | 31 11 - x = | 31:calorie 11:calorie -:calorie x:calorie =:calorie
EXPR: 0 | POS | INT | 10 | 341 | 20 | x=(31-11) | x 31 11 - = | x:calorie 31:calorie 11:calorie -:calorie =:calorie
EXPR: 0 | POS | INT | 10 | 341 | 42 | x=(31+11) | x 31 11 + = | x:calorie 31:calorie 11:calorie +:calorie =:calorie
EXPR: 1 | POS | INT | 10 | 341 | 341 | (31*11)=x | 31 11 * x = | 31:calorie 11:bar *:bar x:bar =:bar
EXPR: 0 | POS | INT | 11 | 341 | 42 | (31+11)=x | 31 11 + x = | 31:calorie 11:calorie +:calorie x:calorie =:calorie
EXPR: 1 | POS | INT | 11 | 341 | 341 | x=(31*11) | x 31 11 * = | x:bar 31:calorie 11:bar *:bar =:bar
EXPR: 0 | POS | INT | 11 | 341 | 20 | x=(31-11) | x 31 11 - = | x:calorie 31:calorie 11:calorie -:calorie =:calorie
EXPR: 0 | POS | INT | 11 | 341 | 42 | x=(31+11) | x 31 11 + = | x:calorie 31:calorie 11:calorie +:calorie =:calorie
EXPR: 0 | POS | INT | 11 | 341 | 20 | (31-11)=x | 31 11 - x = | 31:calorie 11:calorie -:calorie x:calorie =:calorie
EXPR: 1 | POS | INT | 11 | 341 | 341 | (31*11)=x | 31 11 * x = | 31:calorie 11:bar *:bar x:bar =:bar
EXPR: 1 | POS | INT | 12 | 341 | 341 | (x/31)=11 | x 31 / 11 = | x:bar 31:calorie /:bar 11:bar =:bar
EXPR: 0 | POS | INT | 12 | 341 | 42 | (x-31)=11 | x 31 - 11 = | x:calorie 31:calorie -:calorie 11:calorie =:calorie
EXPR: 0 | POS | INT | 12 | 341 | 20 | (31-x)=11 | 31 x - 11 = | 31:calorie x:calorie -:calorie 11:calorie =:calorie
EXPR: 0 | POS | INT | 12 | 341 | 42 | 31=(x-11) | 31 x 11 - = | 31:calorie x:calorie 11:calorie -:calorie =:calorie
EXPR: 0 | POS | INT | 12 | 341 | 20 | 31=(x+11) | 31 x 11 + = | 31:calorie x:calorie 11:calorie +:calorie =:calorie
EXPR: 0 | POS | INT | 12 | 341 | 20 | 31=(11+x) | 31 11 x + = | 31:calorie 11:calorie x:calorie +:calorie =:calorie
EXPR: 0 | POS | INT | 14 | 341 | 20 | (x+11)=31 | x 11 + 31 = | x:calorie 11:calorie +:calorie 31:calorie =:calorie
EXPR: 0 | POS | INT | 14 | 341 | 20 | 11=(31-x) | 11 31 x - = | 11:calorie 31:calorie x:calorie -:calorie =:calorie
EXPR: 1 | POS | INT | 14 | 341 | 341 | 11=(x/31) | 11 x 31 / = | 11:bar x:bar 31:calorie /:bar =:bar
EXPR: 0 | POS | INT | 14 | 341 | 42 | (x-11)=31 | x 11 - 31 = | x:calorie 11:calorie -:calorie 31:calorie =:calorie
EXPR: 0 | POS | INT | 14 | 341 | 20 | (11+x)=31 | 11 x + 31 = | 11:calorie x:calorie +:calorie 31:calorie =:calorie
EXPR: 0 | POS | INT | 14 | 341 | 42 | 11=(x-31) | 11 x 31 - = | 11:calorie x:calorie 31:calorie -:calorie =:calorie
EXPR: 0 | POS | INT | 20 | 341 | 42 | (31+11)=x | 31 11 + x = | 31:bar 11:bar +:bar x:bar =:bar
EXPR: 0 | POS | INT | 20 | 341 | 20 | (31-11)=x | 31 11 - x = | 31:bar 11:bar -:bar x:bar =:bar
EXPR: 1 | POS | INT | 20 | 341 | 341 | (31*11)=x | 31 11 * x = | 31:bar 11:calorie *:calorie x:calorie =:calorie
EXPR: 0 | POS | INT | 20 | 341 | 20 | x=(31-11) | x 31 11 - = | x:bar 31:bar 11:bar -:bar =:bar
EXPR: 0 | POS | INT | 20 | 341 | 42 | x=(31+11) | x 31 11 + = | x:bar 31:bar 11:bar +:bar =:bar
EXPR: 1 | POS | INT | 20 | 341 | 341 | x=(31*11) | x 31 11 * = | x:calorie 31:bar 11:calorie *:calorie =:calorie
EXPR: 0 | POS | INT | 21 | 341 | 20 | (31-11)=x | 31 11 - x = | 31:bar 11:bar -:bar x:bar =:bar
EXPR: 0 | POS | INT | 21 | 341 | 20 | x=(31-11) | x 31 11 - = | x:bar 31:bar 11:bar -:bar =:bar
EXPR: 0 | POS | INT | 21 | 341 | 42 | (31+11)=x | 31 11 + x = | 31:bar 11:bar +:bar x:bar =:bar
EXPR: 1 | POS | INT | 21 | 341 | 341 | (31*11)=x | 31 11 * x = | 31:bar 11:calorie *:calorie x:calorie =:calorie
EXPR: 1 | POS | INT | 21 | 341 | 341 | x=(31*11) | x 31 11 * = | x:calorie 31:bar 11:calorie *:calorie =:calorie
EXPR: 0 | POS | INT | 21 | 341 | 42 | x=(31+11) | x 31 11 + = | x:bar 31:bar 11:bar +:bar =:bar
EXPR: 0 | POS | INT | 22 | 341 | 42 | (x-31)=11 | x 31 - 11 = | x:bar 31:bar -:bar 11:bar =:bar
EXPR: 0 | POS | INT | 22 | 341 | 20 | (31-x)=11 | 31 x - 11 = | 31:bar x:bar -:bar 11:bar =:bar
EXPR: 1 | POS | INT | 22 | 341 | 341 | (x/31)=11 | x 31 / 11 = | x:calorie 31:bar /:calorie 11:calorie =:calorie
EXPR: 0 | POS | INT | 22 | 341 | 42 | 31=(x-11) | 31 x 11 - = | 31:bar x:bar 11:bar -:bar =:bar
EXPR: 0 | POS | INT | 22 | 341 | 20 | 31=(x+11) | 31 x 11 + = | 31:bar x:bar 11:bar +:bar =:bar
EXPR: 0 | POS | INT | 22 | 341 | 20 | 31=(11+x) | 31 11 x + = | 31:bar 11:bar x:bar +:bar =:bar
EXPR: 0 | POS | INT | 24 | 341 | 20 | 11=(31-x) | 11 31 x - = | 11:bar 31:bar x:bar -:bar =:bar
EXPR: 0 | POS | INT | 24 | 341 | 42 | (x-11)=31 | x 11 - 31 = | x:bar 11:bar -:bar 31:bar =:bar
EXPR: 0 | POS | INT | 24 | 341 | 20 | (11+x)=31 | 11 x + 31 = | 11:bar x:bar +:bar 31:bar =:bar
