parameters: n=7 l=3 k=1 p=5 q=3 m=9
TOTAL 1000 solutions found
EXPR: 0 | POS | INT | 0 | 2208 | 138 | ((46/4)*12)=x | 46 4 / 12 * x = | 46:child 4:dozen /:child 12:pencil *:pencil x:pencil =:pencil
EXPR: 1 | POS | INT | 0 | 2208 | 2208 | ((46*4)*12)=x | 46 4 * 12 * x = | 46:child 4:dozen *:dozen 12:pencil *:pencil x:pencil =:pencil
EXPR: 1 | POS | INT | 0 | 2208 | 2208 | x=((46*4)*12) | x 46 4 * 12 * = | x:pencil 46:child 4:dozen *:dozen 12:pencil *:pencil =:pencil
EXPR: 1 | POS | INT | 0 | 2208 | 2208 | (46*(4*12))=x | 46 4 12 * * x = | 46:child 4:dozen 12:pencil *:pencil *:pencil x:pencil =:pencil
EXPR: 1 | POS | INT | 0 | 2208 | 2208 | x=((46*4)*12) | x 46 4 * 12 * = | x:pencil 46:child 4:dozen *:child 12:pencil *:pencil =:pencil
EXPR: 0 | POS | INT | 0 | 2208 | 138 | x=((46/4)*12) | x 46 4 / 12 * = | x:pencil 46:child 4:dozen /:child 12:pencil *:pencil =:pencil
EXPR: 1 | POS | INT | 0 | 2208 | 2208 | ((46*4)*12)=x | 46 4 * 12 * x = | 46:child 4:dozen *:child 12:pencil *:pencil x:pencil =:pencil
EXPR: 1 | POS | INT | 0 | 2208 | 2208 | x=(46*(4*12)) | x 46 4 12 * * = | x:pencil 46:child 4:dozen 12:pencil *:pencil *:pencil =:pencil
EXPR: 1 | POS | INT | 1 | 2208 | 2208 | ((46*4)*12)=x | 46 4 * 12 * x = | 46:child 4:dozen *:dozen 12:pencil *:pencil x:pencil =:pencil
EXPR: 1 | POS | INT | 1 | 2208 | 2208 | x=((46*4)*12) | x 46 4 * 12 * = | x:pencil 46:child 4:dozen *:dozen 12:pencil *:pencil =:pencil
EXPR: 0 | POS | INT | 1 | 2208 | 138 | ((46/4)*12)=x | 46 4 / 12 * x = | 46:child 4:dozen /:child 12:pencil *:pencil x:pencil =:pencil
EXPR: 1 | POS | INT | 1 | 2208 | 2208 | (46*(4*12))=x | 46 4 12 * * x = | 46:child 4:dozen 12:pencil *:pencil *:pencil x:pencil =:pencil
EXPR: 1 | POS | INT | 1 | 2208 | 2208 | x=((46*4)*12) | x 46 4 * 12 * = | x:pencil 46:child 4:dozen *:child 12:pencil *:pencil =:pencil
EXPR: 0 | POS | INT | 1 | 2208 | 138 | x=((46/4)*12) | x 46 4 / 12 * = | x:pencil 46:child 4:dozen /:child 12:pencil *:pencil =:pencil
