parameters: n=5 l=2 k=1 p=5 q=2 m=8
TOTAL 124 solutions found
EXPR: 1 | POS | INT | 0 | 3 | 3 | (1*3.0)=x | 1 3.0 * x = | 1:dozen 3.0:dollar *:dollar x:dollar =:dollar
EXPR: 1 | POS | INT | 0 | 3 | 3 | x=(1*3.0) | x 1 3.0 * = | x:dollar 1:dozen 3.0:dollar *:dollar =:dollar
EXPR: 1 | POS | INT | 1 | 3 | 3 | (1*3.0)=x | 1 3.0 * x = | 1:dozen 3.0:dollar *:dollar x:dollar =:dollar
EXPR: 1 | POS | INT | 1 | 3 | 3 | x=(1*3.0) | x 1 3.0 * = | x:dollar 1:dozen 3.0:dollar *:dollar =:dollar
EXPR: 1 | POS | INT | 2 | 3 | 3 | (1*x)=3.0 | 1 x * 3.0 = | 1:dozen x:dollar *:dollar 3.0:dollar =:dollar
EXPR: 1 | POS | INT | 2 | 3 | 3 | (x*1)=3.0 | x 1 * 3.0 = | x:dollar 1:dozen *:dollar 3.0:dollar =:dollar
EXPR: 1 | POS | INT | 4 | 3 | 3 | 3.0=(x*1) | 3.0 x 1 * = | 3.0:dollar x:dollar 1:dozen *:dollar =:dollar
EXPR: 1 | POS | INT | 4 | 3 | 3 | 3.0=(1*x) | 3.0 1 x * = | 3.0:dollar 1:dozen x:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 3 | 4 | (1+3.0)=x | 1 3.0 + x = | 1:dollar 3.0:dollar +:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 3 | 4 | x=(1+3.0) | x 1 3.0 + = | x:dollar 1:dollar 3.0:dollar +:dollar =:dollar
EXPR: 1 | POS | INT | 10 | 3 | 3 | (1*3.0)=x | 1 3.0 * x = | 1:dozen 3.0:dollar *:dozen x:dozen =:dozen
EXPR: 1 | POS | INT | 10 | 3 | 3 | x=(1*3.0) | x 1 3.0 * = | x:dozen 1:dozen 3.0:dollar *:dozen =:dozen
EXPR: 0 | POS | INT | 11 | 3 | 4 | (1+3.0)=x | 1 3.0 + x = | 1:dollar 3.0:dollar +:dollar x:dollar =:dollar
EXPR: 1 | POS | INT | 11 | 3 | 3 | (1*3.0)=x | 1 3.0 * x = | 1:dozen 3.0:dollar *:dozen x:dozen =:dozen
EXPR: 1 | POS | INT | 11 | 3 | 3 | x=(1*3.0) | x 1 3.0 * = | x:dozen 1:dozen 3.0:dollar *:dozen =:dozen
EXPR: 0 | POS | INT | 11 | 3 | 4 | x=(1+3.0) | x 1 3.0 + = | x:dollar 1:dollar 3.0:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 3 | 2 | x=(3.0-1) | x 3.0 1 - = | x:dollar 3.0:dollar 1:dollar -:dollar =:dollar
EXPR: 1 | POS | INT | 12 | 3 | 3 | (x*1)=3.0 | x 1 * 3.0 = | x:dollar 1:dozen *:dozen 3.0:dozen =:dozen
EXPR: 0 | POS | INT | 12 | 3 | 2 | (3.0-1)=x | 3.0 1 - x = | 3.0:dollar 1:dollar -:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 3 | 4 | (x-1)=3.0 | x 1 - 3.0 = | x:dollar 1:dollar -:dollar 3.0:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 3 | 4 | 1=(x-3.0) | 1 x 3.0 - = | 1:dollar x:dollar 3.0:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 3 | 2 | (1+x)=3.0 | 1 x + 3.0 = | 1:dollar x:dollar +:dollar 3.0:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 3 | 2 | (x+1)=3.0 | x 1 + 3.0 = | x:dollar 1:dollar +:dollar 3.0:dollar =:dollar
EXPR: 1 | POS | INT | 12 | 3 | 3 | 1=(3.0/x) | 1 3.0 x / = | 1:dozen 3.0:dozen x:dollar /:dozen =:dozen
EXPR: 1 | POS | INT | 12 | 3 | 3 | 1=(x/3.0) | 1 x 3.0 / = | 1:dozen x:dozen 3.0:dollar /:dozen =:dozen
EXPR: 1 | POS | INT | 12 | 3 | 3 | (1*x)=3.0 | 1 x * 3.0 = | 1:dozen x:dollar *:dozen 3.0:dozen =:dozen
EXPR: 0 | POS | INT | 12 | 3 | 2 | 1=(3.0-x) | 1 3.0 x - = | 1:dollar 3.0:dollar x:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 13 | 3 | 2 | x=(3.0-1) | x 3.0 1 - = | x:dollar 3.0:dollar 1:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 13 | 3 | 2 | (3.0-1)=x | 3.0 1 - x = | 3.0:dollar 1:dollar -:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 14 | 3 | 2 | (3.0-x)=1 | 3.0 x - 1 = | 3.0:dollar x:dollar -:dollar 1:dollar =:dollar
EXPR: 0 | POS | INT | 14 | 3 | 4 | (x-3.0)=1 | x 3.0 - 1 = | x:dollar 3.0:dollar -:dollar 1:dollar =:dollar
EXPR: 1 | POS | INT | 14 | 3 | 3 | (3.0/x)=1 | 3.0 x / 1 = | 3.0:dozen x:dollar /:dozen 1:dozen =:dozen
EXPR: 1 | POS | INT | 14 | 3 | 3 | 3.0=(1*x) | 3.0 1 x * = | 3.0:dozen 1:dozen x:dollar *:dozen =:dozen
EXPR: 1 | POS | INT | 14 | 3 | 3 | 3.0=(x*1) | 3.0 x 1 * = | 3.0:dozen x:dollar 1:dozen *:dozen =:dozen
EXPR: 1 | POS | INT | 14 | 3 | 3 | (x/3.0)=1 | x 3.0 / 1 = | x:dozen 3.0:dollar /:dozen 1:dozen =:dozen
EXPR: 0 | POS | INT | 14 | 3 | 2 | 3.0=(1+x) | 3.0 1 x + = | 3.0:dollar 1:dollar x:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 14 | 3 | 2 | 3.0=(x+1) | 3.0 x 1 + = | 3.0:dollar x:dollar 1:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 14 | 3 | 4 | 3.0=(x-1) | 3.0 x 1 - = | 3.0:dollar x:dollar 1:dollar -:dollar =:dollar
EXPR: 1 | POS | INT | 20 | 3 | 3 | (1*3.0)=x | 1 3.0 * x = | 1:dollar 3.0:dozen *:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 3 | 4 | (1+3.0)=x | 1 3.0 + x = | 1:dozen 3.0:dozen +:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 20 | 3 | 4 | x=(1+3.0) | x 1 3.0 + = | x:dozen 1:dozen 3.0:dozen +:dozen =:dozen
EXPR: 1 | POS | INT | 20 | 3 | 3 | x=(1*3.0) | x 1 3.0 * = | x:dollar 1:dollar 3.0:dozen *:dollar =:dollar
EXPR: 0 | POS | INT | 21 | 3 | 4 | (1+3.0)=x | 1 3.0 + x = | 1:dozen 3.0:dozen +:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 21 | 3 | 4 | x=(1+3.0) | x 1 3.0 + = | x:dozen 1:dozen 3.0:dozen +:dozen =:dozen
EXPR: 1 | POS | INT | 21 | 3 | 3 | x=(1*3.0) | x 1 3.0 * = | x:dollar 1:dollar 3.0:dozen *:dollar =:dollar
EXPR: 1 | POS | INT | 21 | 3 | 3 | (1*3.0)=x | 1 3.0 * x = | 1:dollar 3.0:dozen *:dollar x:dollar =:dollar
EXPR: 1 | POS | INT | 22 | 3 | 3 | 1=(3.0/x) | 1 3.0 x / = | 1:dollar 3.0:dollar x:dozen /:dollar =:dollar
EXPR: 0 | POS | INT | 22 | 3 | 2 | x=(3.0-1) | x 3.0 1 - = | x:dozen 3.0:dozen 1:dozen -:dozen =:dozen
EXPR: 0 | POS | INT | 22 | 3 | 4 | (x-1)=3.0 | x 1 - 3.0 = | x:dozen 1:dozen -:dozen 3.0:dozen =:dozen
EXPR: 0 | POS | INT | 22 | 3 | 2 | (3.0-1)=x | 3.0 1 - x = | 3.0:dozen 1:dozen -:dozen x:dozen =:dozen
EXPR: 1 | POS | INT | 22 | 3 | 3 | (1*x)=3.0 | 1 x * 3.0 = | 1:dollar x:dozen *:dollar 3.0:dollar =:dollar
EXPR: 1 | POS | INT | 22 | 3 | 3 | (x*1)=3.0 | x 1 * 3.0 = | x:dozen 1:dollar *:dollar 3.0:dollar =:dollar
EXPR: 1 | POS | INT | 22 | 3 | 3 | 1=(x/3.0) | 1 x 3.0 / = | 1:dollar x:dollar 3.0:dozen /:dollar =:dollar
EXPR: 0 | POS | INT | 22 | 3 | 4 | 1=(x-3.0) | 1 x 3.0 - = | 1:dozen x:dozen 3.0:dozen -:dozen =:dozen
EXPR: 0 | POS | INT | 22 | 3 | 2 | 1=(3.0-x) | 1 3.0 x - = | 1:dozen 3.0:dozen x:dozen -:dozen =:dozen
EXPR: 0 | POS | INT | 22 | 3 | 2 | (x+1)=3.0 | x 1 + 3.0 = | x:dozen 1:dozen +:dozen 3.0:dozen =:dozen
EXPR: 0 | POS | INT | 22 | 3 | 2 | (1+x)=3.0 | 1 x + 3.0 = | 1:dozen x:dozen +:dozen 3.0:dozen =:dozen
EXPR: 0 | POS | INT | 23 | 3 | 2 | (3.0-1)=x | 3.0 1 - x = | 3.0:dozen 1:dozen -:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 23 | 3 | 2 | x=(3.0-1) | x 3.0 1 - = | x:dozen 3.0:dozen 1:dozen -:dozen =:dozen
EXPR: 0 | POS | INT | 24 | 3 | 2 | (3.0-x)=1 | 3.0 x - 1 = | 3.0:dozen x:dozen -:dozen 1:dozen =:dozen
EXPR: 0 | POS | INT | 24 | 3 | 4 | (x-3.0)=1 | x 3.0 - 1 = | x:dozen 3.0:dozen -:dozen 1:dozen =:dozen
EXPR: 1 | POS | INT | 24 | 3 | 3 | 3.0=(x*1) | 3.0 x 1 * = | 3.0:dollar x:dozen 1:dollar *:dollar =:dollar
EXPR: 1 | POS | INT | 24 | 3 | 3 | (3.0/x)=1 | 3.0 x / 1 = | 3.0:dollar x:dozen /:dollar 1:dollar =:dollar
EXPR: 1 | POS | INT | 24 | 3 | 3 | 3.0=(1*x) | 3.0 1 x * = | 3.0:dollar 1:dollar x:dozen *:dollar =:dollar
EXPR: 1 | POS | INT | 24 | 3 | 3 | (x/3.0)=1 | x 3.0 / 1 = | x:dollar 3.0:dozen /:dollar 1:dollar =:dollar
EXPR: 0 | POS | INT | 24 | 3 | 2 | 3.0=(1+x) | 3.0 1 x + = | 3.0:dozen 1:dozen x:dozen +:dozen =:dozen
EXPR: 0 | POS | INT | 24 | 3 | 2 | 3.0=(x+1) | 3.0 x 1 + = | 3.0:dozen x:dozen 1:dozen +:dozen =:dozen
EXPR: 0 | POS | INT | 24 | 3 | 4 | 3.0=(x-1) | 3.0 x 1 - = | 3.0:dozen x:dozen 1:dozen -:dozen =:dozen
EXPR: 1 | POS | INT | 30 | 3 | 3 | (1*3.0)=x | 1 3.0 * x = | 1:dollar 3.0:dozen *:dozen x:dozen =:dozen
EXPR: 1 | POS | INT | 30 | 3 | 3 | x=(1*3.0) | x 1 3.0 * = | x:dozen 1:dollar 3.0:dozen *:dozen =:dozen
EXPR: 1 | POS | INT | 31 | 3 | 3 | (1*3.0)=x | 1 3.0 * x = | 1:dollar 3.0:dozen *:dozen x:dozen =:dozen
EXPR: 1 | POS | INT | 31 | 3 | 3 | x=(1*3.0) | x 1 3.0 * = | x:dozen 1:dollar 3.0:dozen *:dozen =:dozen
EXPR: 1 | POS | INT | 32 | 3 | 3 | (1*x)=3.0 | 1 x * 3.0 = | 1:dollar x:dozen *:dozen 3.0:dozen =:dozen
EXPR: 1 | POS | INT | 32 | 3 | 3 | (x*1)=3.0 | x 1 * 3.0 = | x:dozen 1:dollar *:dozen 3.0:dozen =:dozen
EXPR: 1 | POS | INT | 34 | 3 | 3 | 3.0=(1*x) | 3.0 1 x * = | 3.0:dozen 1:dollar x:dozen *:dozen =:dozen
EXPR: 1 | POS | INT | 34 | 3 | 3 | 3.0=(x*1) | 3.0 x 1 * = | 3.0:dozen x:dozen 1:dollar *:dozen =:dozen
NET 76 non-negative, integer-valued solutions found out of 124 total solutions
