parameters: n=5 l=2 k=1 p=5 q=1 m=8
TOTAL 28 solutions found
EXPR: 0 | POS | INT | 0 | 8 | 20 | (8+12)=x | 8 12 + x = | 8:dollar 12:dollar +:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 8 | 20 | x=(8+12) | x 8 12 + = | x:dollar 8:dollar 12:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 8 | 20 | x=(8+12) | x 8 12 + = | x:dollar 8:dollar 12:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 8 | 20 | (8+12)=x | 8 12 + x = | 8:dollar 12:dollar +:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 8 | 4 | x=(12-8) | x 12 8 - = | x:dollar 12:dollar 8:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 8 | 4 | 8=(12-x) | 8 12 x - = | 8:dollar 12:dollar x:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 8 | 20 | (x-8)=12 | x 8 - 12 = | x:dollar 8:dollar -:dollar 12:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 8 | 20 | 8=(x-12) | 8 x 12 - = | 8:dollar x:dollar 12:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 8 | 4 | (x+8)=12 | x 8 + 12 = | x:dollar 8:dollar +:dollar 12:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 8 | 4 | (12-8)=x | 12 8 - x = | 12:dollar 8:dollar -:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 8 | 4 | (8+x)=12 | 8 x + 12 = | 8:dollar x:dollar +:dollar 12:dollar =:dollar
EXPR: 0 | POS | INT | 3 | 8 | 4 | x=(12-8) | x 12 8 - = | x:dollar 12:dollar 8:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 3 | 8 | 4 | (12-8)=x | 12 8 - x = | 12:dollar 8:dollar -:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 4 | 8 | 20 | (x-12)=8 | x 12 - 8 = | x:dollar 12:dollar -:dollar 8:dollar =:dollar
EXPR: 0 | POS | INT | 4 | 8 | 20 | 12=(x-8) | 12 x 8 - = | 12:dollar x:dollar 8:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 4 | 8 | 4 | 12=(x+8) | 12 x 8 + = | 12:dollar x:dollar 8:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 4 | 8 | 4 | 12=(8+x) | 12 8 x + = | 12:dollar 8:dollar x:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 4 | 8 | 4 | (12-x)=8 | 12 x - 8 = | 12:dollar x:dollar -:dollar 8:dollar =:dollar
NET 18 non-negative, integer-valued solutions found out of 28 total solutions
