parameters: n=5 l=2 k=1 p=5 q=2 m=8
TOTAL 136 solutions found
EXPR: 0 | POS | INT | 10 | 1 | 5 | x=(3+2) | x 3 2 + = | x:card 3:card 2:card +:card =:card
EXPR: 0 | POS | INT | 10 | 1 | 6 | (3*2)=x | 3 2 * x = | 3:card 2:pokemon *:pokemon x:pokemon =:pokemon
EXPR: 0 | POS | INT | 10 | 1 | 6 | x=(3*2) | x 3 2 * = | x:pokemon 3:pokemon 2:card *:pokemon =:pokemon
EXPR: 0 | POS | INT | 10 | 1 | 5 | (3+2)=x | 3 2 + x = | 3:card 2:card +:card x:card =:card
EXPR: 0 | POS | INT | 10 | 1 | 6 | (3*2)=x | 3 2 * x = | 3:pokemon 2:card *:pokemon x:pokemon =:pokemon
EXPR: 0 | POS | INT | 10 | 1 | 6 | x=(3*2) | x 3 2 * = | x:pokemon 3:card 2:pokemon *:pokemon =:pokemon
EXPR: 1 | POS | INT | 10 | 1 | 1 | x=(3-2) | x 3 2 - = | x:card 3:card 2:card -:card =:card
EXPR: 1 | POS | INT | 10 | 1 | 1 | (3-2)=x | 3 2 - x = | 3:card 2:card -:card x:card =:card
EXPR: 0 | POS | INT | 11 | 1 | 6 | x=(3*2) | x 3 2 * = | x:pokemon 3:pokemon 2:card *:pokemon =:pokemon
EXPR: 0 | POS | INT | 11 | 1 | 5 | (3+2)=x | 3 2 + x = | 3:card 2:card +:card x:card =:card
EXPR: 0 | POS | INT | 11 | 1 | 6 | (3*2)=x | 3 2 * x = | 3:card 2:pokemon *:pokemon x:pokemon =:pokemon
EXPR: 0 | POS | INT | 11 | 1 | 5 | x=(3+2) | x 3 2 + = | x:card 3:card 2:card +:card =:card
EXPR: 0 | POS | INT | 11 | 1 | 6 | x=(3*2) | x 3 2 * = | x:pokemon 3:card 2:pokemon *:pokemon =:pokemon
EXPR: 0 | POS | INT | 11 | 1 | 6 | (3*2)=x | 3 2 * x = | 3:pokemon 2:card *:pokemon x:pokemon =:pokemon
EXPR: 1 | POS | INT | 11 | 1 | 1 | x=(3-2) | x 3 2 - = | x:card 3:card 2:card -:card =:card
EXPR: 1 | POS | INT | 11 | 1 | 1 | (3-2)=x | 3 2 - x = | 3:card 2:card -:card x:card =:card
EXPR: 0 | POS | INT | 12 | 1 | 6 | (x/3)=2 | x 3 / 2 = | x:pokemon 3:card /:pokemon 2:pokemon =:pokemon
EXPR: 1 | POS | INT | 12 | 1 | 1 | 3=(x+2) | 3 x 2 + = | 3:card x:card 2:card +:card =:card
EXPR: 1 | POS | INT | 12 | 1 | 1 | (3-x)=2 | 3 x - 2 = | 3:card x:card -:card 2:card =:card
EXPR: 1 | POS | INT | 12 | 1 | 1 | 3=(2+x) | 3 2 x + = | 3:card 2:card x:card +:card =:card
EXPR: 0 | POS | INT | 12 | 1 | 6 | 3=(x/2) | 3 x 2 / = | 3:pokemon x:pokemon 2:card /:pokemon =:pokemon
EXPR: 0 | POS | INT | 12 | 1 | 5 | (x-3)=2 | x 3 - 2 = | x:card 3:card -:card 2:card =:card
EXPR: 0 | POS | INT | 12 | 1 | 5 | 3=(x-2) | 3 x 2 - = | 3:card x:card 2:card -:card =:card
EXPR: 0 | POS | INT | 14 | 1 | 5 | (x-2)=3 | x 2 - 3 = | x:card 2:card -:card 3:card =:card
EXPR: 0 | POS | INT | 14 | 1 | 6 | 2=(x/3) | 2 x 3 / = | 2:pokemon x:pokemon 3:card /:pokemon =:pokemon
EXPR: 1 | POS | INT | 14 | 1 | 1 | (x+2)=3 | x 2 + 3 = | x:card 2:card +:card 3:card =:card
EXPR: 1 | POS | INT | 14 | 1 | 1 | (2+x)=3 | 2 x + 3 = | 2:card x:card +:card 3:card =:card
EXPR: 0 | POS | INT | 14 | 1 | 5 | 2=(x-3) | 2 x 3 - = | 2:card x:card 3:card -:card =:card
EXPR: 1 | POS | INT | 14 | 1 | 1 | 2=(3-x) | 2 3 x - = | 2:card 3:card x:card -:card =:card
EXPR: 0 | POS | INT | 14 | 1 | 6 | (x/2)=3 | x 2 / 3 = | x:pokemon 2:card /:pokemon 3:pokemon =:pokemon
EXPR: 0 | POS | INT | 20 | 1 | 6 | x=(3*2) | x 3 2 * = | x:card 3:pokemon 2:card *:card =:card
