parameters: n=7 l=3 k=1 p=5 q=2 m=9
TOTAL 1000 solutions found
EXPR: 0 | POS | INT | 0 | 3120 | 18903 | x=((2*7341)+4221) | x 2 7341 * 4221 + = | x:cell 2:sample 7341:cell *:cell 4221:cell +:cell =:cell
EXPR: 0 | POS | INT | 0 | 3120 | 10461 | x=((2*7341)-4221) | x 2 7341 * 4221 - = | x:cell 2:sample 7341:cell *:cell 4221:cell -:cell =:cell
EXPR: 0 | POS | INT | 0 | 3120 | 6240 | x=(2*(7341-4221)) | x 2 7341 4221 - * = | x:cell 2:sample 7341:cell 4221:cell -:cell *:cell =:cell
EXPR: 0 | POS | INT | 0 | 3120 | 6240 | (2*(7341-4221))=x | 2 7341 4221 - * x = | 2:sample 7341:cell 4221:cell -:cell *:cell x:cell =:cell
EXPR: 0 | POS | INT | 0 | 3120 | 18903 | ((2*7341)+4221)=x | 2 7341 * 4221 + x = | 2:sample 7341:cell *:cell 4221:cell +:cell x:cell =:cell
EXPR: 0 | POS | INT | 0 | 3120 | 23124 | x=(2*(7341+4221)) | x 2 7341 4221 + * = | x:cell 2:sample 7341:cell 4221:cell +:cell *:cell =:cell
EXPR: 0 | POS | INT | 0 | 3120 | 23124 | (2*(7341+4221))=x | 2 7341 4221 + * x = | 2:sample 7341:cell 4221:cell +:cell *:cell x:cell =:cell
EXPR: 0 | POS | INT | 0 | 3120 | 10461 | ((2*7341)-4221)=x | 2 7341 * 4221 - x = | 2:sample 7341:cell *:cell 4221:cell -:cell x:cell =:cell
EXPR: 0 | POS | INT | 1 | 3120 | 18903 | x=((2*7341)+4221) | x 2 7341 * 4221 + = | x:cell 2:sample 7341:cell *:cell 4221:cell +:cell =:cell
EXPR: 0 | POS | INT | 1 | 3120 | 6240 | x=(2*(7341-4221)) | x 2 7341 4221 - * = | x:cell 2:sample 7341:cell 4221:cell -:cell *:cell =:cell
EXPR: 0 | POS | INT | 1 | 3120 | 10461 | x=((2*7341)-4221) | x 2 7341 * 4221 - = | x:cell 2:sample 7341:cell *:cell 4221:cell -:cell =:cell
EXPR: 0 | POS | INT | 1 | 3120 | 6240 | (2*(7341-4221))=x | 2 7341 4221 - * x = | 2:sample 7341:cell 4221:cell -:cell *:cell x:cell =:cell
EXPR: 0 | POS | INT | 1 | 3120 | 18903 | ((2*7341)+4221)=x | 2 7341 * 4221 + x = | 2:sample 7341:cell *:cell 4221:cell +:cell x:cell =:cell
EXPR: 0 | POS | INT | 1 | 3120 | 23124 | (2*(7341+4221))=x | 2 7341 4221 + * x = | 2:sample 7341:cell 4221:cell +:cell *:cell x:cell =:cell
EXPR: 0 | POS | INT | 1 | 3120 | 23124 | x=(2*(7341+4221)) | x 2 7341 4221 + * = | x:cell 2:sample 7341:cell 4221:cell +:cell *:cell =:cell
EXPR: 0 | POS | INT | 1 | 3120 | 10461 | ((2*7341)-4221)=x | 2 7341 * 4221 - x = | 2:sample 7341:cell *:cell 4221:cell -:cell x:cell =:cell
EXPR: 0 | POS | INT | 2 | 3120 | 15783 | ((2*4221)+7341)=x | 2 4221 * 7341 + x = | 2:sample 4221:cell *:cell 7341:cell +:cell x:cell =:cell
EXPR: 0 | POS | INT | 2 | 3120 | 1101 | ((2*4221)-7341)=x | 2 4221 * 7341 - x = | 2:sample 4221:cell *:cell 7341:cell -:cell x:cell =:cell
EXPR: 0 | POS | INT | 2 | 3120 | 23124 | ((x/2)-7341)=4221 | x 2 / 7341 - 4221 = | x:cell 2:sample /:cell 7341:cell -:cell 4221:cell =:cell
EXPR: 0 | POS | INT | 2 | 3120 | 15783 | (7341+(2*4221))=x | 7341 2 4221 * + x = | 7341:cell 2:sample 4221:cell *:cell +:cell x:cell =:cell
EXPR: 0 | POS | INT | 2 | 3120 | 10461 | ((2*7341)-x)=4221 | 2 7341 * x - 4221 = | 2:sample 7341:cell *:cell x:cell -:cell 4221:cell =:cell
EXPR: 0 | POS | INT | 2 | 3120 | 61972722 | (x/(2*7341))=4221 | x 2 7341 * / 4221 = | x:cell 2:sample 7341:cell *:sample /:cell 4221:cell =:cell
EXPR: 0 | POS | INT | 2 | 3120 | 15783 | x=(7341+(2*4221)) | x 7341 2 4221 * + = | x:cell 7341:cell 2:sample 4221:cell *:cell +:cell =:cell
EXPR: 0 | POS | INT | 2 | 3120 | 5781 | ((x*2)-7341)=4221 | x 2 * 7341 - 4221 = | x:cell 2:sample *:cell 7341:cell -:cell 4221:cell =:cell
EXPR: 0 | POS | INT | 2 | 3120 | 5781 | ((2*x)-7341)=4221 | 2 x * 7341 - 4221 = | 2:sample x:cell *:cell 7341:cell -:cell 4221:cell =:cell
EXPR: 0 | POS | INT | 2 | 3120 | 18903 | (x-(2*7341))=4221 | x 2 7341 * - 4221 = | x:cell 2:sample 7341:cell *:cell -:cell 4221:cell =:cell
EXPR: 0 | POS | INT | 2 | 3120 | 15783 | x=((2*4221)+7341) | x 2 4221 * 7341 + = | x:cell 2:sample 4221:cell *:cell 7341:cell +:cell =:cell
EXPR: 0 | POS | INT | 2 | 3120 | 1101 | x=((2*4221)-7341) | x 2 4221 * 7341 - = | x:cell 2:sample 4221:cell *:cell 7341:cell -:cell =:cell
EXPR: 0 | POS | INT | 3 | 3120 | 15783 | (7341+(2*4221))=x | 7341 2 4221 * + x = | 7341:cell 2:sample 4221:cell *:cell +:cell x:cell =:cell
EXPR: 0 | POS | INT | 3 | 3120 | 15783 | ((2*4221)+7341)=x | 2 4221 * 7341 + x = | 2:sample 4221:cell *:cell 7341:cell +:cell x:cell =:cell
EXPR: 0 | POS | INT | 3 | 3120 | 1101 | ((2*4221)-7341)=x | 2 4221 * 7341 - x = | 2:sample 4221:cell *:cell 7341:cell -:cell x:cell =:cell
EXPR: 0 | POS | INT | 3 | 3120 | 15783 | x=(7341+(2*4221)) | x 7341 2 4221 * + = | x:cell 7341:cell 2:sample 4221:cell *:cell +:cell =:cell
EXPR: 0 | POS | INT | 3 | 3120 | 15783 | x=((2*4221)+7341) | x 2 4221 * 7341 + = | x:cell 2:sample 4221:cell *:cell 7341:cell +:cell =:cell
EXPR: 0 | POS | INT | 3 | 3120 | 1101 | x=((2*4221)-7341) | x 2 4221 * 7341 - = | x:cell 2:sample 4221:cell *:cell 7341:cell -:cell =:cell
EXPR: 0 | POS | INT | 4 | 3120 | 5781 | ((2*x)-4221)=7341 | 2 x * 4221 - 7341 = | 2:sample x:cell *:cell 4221:cell -:cell 7341:cell =:cell
EXPR: 0 | POS | INT | 4 | 3120 | 23124 | ((x/2)-4221)=7341 | x 2 / 4221 - 7341 = | x:cell 2:sample /:cell 4221:cell -:cell 7341:cell =:cell
EXPR: 0 | POS | INT | 4 | 3120 | 1560 | (7341-(2*x))=4221 | 7341 2 x * - 4221 = | 7341:cell 2:sample x:cell *:cell -:cell 4221:cell =:cell
EXPR: 0 | POS | INT | 4 | 3120 | 5781 | ((x*2)-4221)=7341 | x 2 * 4221 - 7341 = | x:cell 2:sample *:cell 4221:cell -:cell 7341:cell =:cell
EXPR: 0 | POS | INT | 4 | 3120 | 1101 | ((2*4221)-x)=7341 | 2 4221 * x - 7341 = | 2:sample 4221:cell *:cell x:cell -:cell 7341:cell =:cell
EXPR: 0 | POS | INT | 4 | 3120 | 1560 | ((2*x)+4221)=7341 | 2 x * 4221 + 7341 = | 2:sample x:cell *:cell 4221:cell +:cell 7341:cell =:cell
EXPR: 0 | POS | INT | 4 | 3120 | 15783 | 7341=(x-(2*4221)) | 7341 x 2 4221 * - = | 7341:cell x:cell 2:sample 4221:cell *:cell -:cell =:cell
EXPR: 0 | POS | INT | 4 | 3120 | 61972722.0000002 | 7341=(x/(2*4221)) | 7341 x 2 4221 * / = | 7341:cell x:cell 2:sample 4221:cell *:sample /:cell =:cell
EXPR: 0 | POS | INT | 4 | 3120 | 61972722 | (x/(2*4221))=7341 | x 2 4221 * / 7341 = | x:cell 2:sample 4221:cell *:sample /:cell 7341:cell =:cell
EXPR: 0 | POS | INT | 4 | 3120 | 6240 | ((x/2)+4221)=7341 | x 2 / 4221 + 7341 = | x:cell 2:sample /:cell 4221:cell +:cell 7341:cell =:cell
EXPR: 0 | POS | INT | 4 | 3120 | 1560 | ((x*2)+4221)=7341 | x 2 * 4221 + 7341 = | x:cell 2:sample *:cell 4221:cell +:cell 7341:cell =:cell
EXPR: 0 | POS | INT | 4 | 3120 | 15783 | (x-(2*4221))=7341 | x 2 4221 * - 7341 = | x:cell 2:sample 4221:cell *:cell -:cell 7341:cell =:cell
EXPR: 0 | POS | INT | 4 | 3120 | 6240 | 7341=((x/2)+4221) | 7341 x 2 / 4221 + = | 7341:cell x:cell 2:sample /:cell 4221:cell +:cell =:cell
EXPR: 0 | POS | INT | 4 | 3120 | 23124 | 7341=((x/2)-4221) | 7341 x 2 / 4221 - = | 7341:cell x:cell 2:sample /:cell 4221:cell -:cell =:cell
EXPR: 0 | POS | INT | 4 | 3120 | 6240 | (7341-(x/2))=4221 | 7341 x 2 / - 4221 = | 7341:cell x:cell 2:sample /:cell -:cell 4221:cell =:cell
EXPR: 0 | POS | INT | 4 | 3120 | 1560 | 7341=((x*2)+4221) | 7341 x 2 * 4221 + = | 7341:cell x:cell 2:sample *:cell 4221:cell +:cell =:cell
EXPR: 0 | POS | INT | 4 | 3120 | 1560 | (7341-(x*2))=4221 | 7341 x 2 * - 4221 = | 7341:cell x:cell 2:sample *:cell -:cell 4221:cell =:cell
EXPR: 0 | POS | INT | 4 | 3120 | 5781 | 7341=((x*2)-4221) | 7341 x 2 * 4221 - = | 7341:cell x:cell 2:sample *:cell 4221:cell -:cell =:cell
EXPR: 0 | POS | INT | 4 | 3120 | 15783 | ((x-7341)/2)=4221 | x 7341 - 2 / 4221 = | x:cell 7341:cell -:cell 2:sample /:cell 4221:cell =:cell
EXPR: 0 | POS | INT | 4 | 3120 | 1560 | 7341=((2*x)+4221) | 7341 2 x * 4221 + = | 7341:cell 2:sample x:cell *:cell 4221:cell +:cell =:cell
EXPR: 0 | POS | INT | 4 | 3120 | 5781 | 7341=((2*x)-4221) | 7341 2 x * 4221 - = | 7341:cell 2:sample x:cell *:cell 4221:cell -:cell =:cell
EXPR: 0 | POS | INT | 4 | 3120 | 1101 | ((x+7341)/2)=4221 | x 7341 + 2 / 4221 = | x:cell 7341:cell +:cell 2:sample /:cell 4221:cell =:cell
EXPR: 0 | POS | INT | 4 | 3120 | 1101 | ((7341+x)/2)=4221 | 7341 x + 2 / 4221 = | 7341:cell x:cell +:cell 2:sample /:cell 4221:cell =:cell
EXPR: 0 | POS | INT | 4 | 3120 | 1101 | 7341=((2*4221)-x) | 7341 2 4221 * x - = | 7341:cell 2:sample 4221:cell *:cell x:cell -:cell =:cell
EXPR: 0 | POS | INT | 5 | 3120 | 1560 | ((7341-4221)/2)=x | 7341 4221 - 2 / x = | 7341:cell 4221:cell -:cell 2:sample /:cell x:cell =:cell
EXPR: 0 | POS | INT | 5 | 3120 | 18903 | (4221+(2*7341))=x | 4221 2 7341 * + x = | 4221:cell 2:sample 7341:cell *:cell +:cell x:cell =:cell
EXPR: 0 | POS | INT | 5 | 3120 | 5781 | ((7341+4221)/2)=x | 7341 4221 + 2 / x = | 7341:cell 4221:cell +:cell 2:sample /:cell x:cell =:cell
EXPR: 0 | POS | INT | 5 | 3120 | 18903 | x=(4221+(2*7341)) | x 4221 2 7341 * + = | x:cell 4221:cell 2:sample 7341:cell *:cell +:cell =:cell
EXPR: 0 | POS | INT | 5 | 3120 | 5781 | x=((7341+4221)/2) | x 7341 4221 + 2 / = | x:cell 7341:cell 4221:cell +:cell 2:sample /:cell =:cell
EXPR: 0 | POS | INT | 5 | 3120 | 23124 | x=((7341+4221)*2) | x 7341 4221 + 2 * = | x:cell 7341:cell 4221:cell +:cell 2:sample *:cell =:cell
EXPR: 0 | POS | INT | 5 | 3120 | 6240 | ((7341-4221)*2)=x | 7341 4221 - 2 * x = | 7341:cell 4221:cell -:cell 2:sample *:cell x:cell =:cell
EXPR: 0 | POS | INT | 5 | 3120 | 23124 | ((7341+4221)*2)=x | 7341 4221 + 2 * x = | 7341:cell 4221:cell +:cell 2:sample *:cell x:cell =:cell
EXPR: 0 | POS | INT | 5 | 3120 | 1560 | x=((7341-4221)/2) | x 7341 4221 - 2 / = | x:cell 7341:cell 4221:cell -:cell 2:sample /:cell =:cell
EXPR: 0 | POS | INT | 5 | 3120 | 6240 | x=((7341-4221)*2) | x 7341 4221 - 2 * = | x:cell 7341:cell 4221:cell -:cell 2:sample *:cell =:cell
EXPR: 0 | POS | INT | 6 | 3120 | 18903 | (4221+(2*7341))=x | 4221 2 7341 * + x = | 4221:cell 2:sample 7341:cell *:cell +:cell x:cell =:cell
EXPR: 0 | POS | INT | 6 | 3120 | 5781 | ((7341+4221)/2)=x | 7341 4221 + 2 / x = | 7341:cell 4221:cell +:cell 2:sample /:cell x:cell =:cell
EXPR: 0 | POS | INT | 6 | 3120 | 1560 | ((7341-4221)/2)=x | 7341 4221 - 2 / x = | 7341:cell 4221:cell -:cell 2:sample /:cell x:cell =:cell
EXPR: 0 | POS | INT | 6 | 3120 | 18903 | x=(4221+(2*7341)) | x 4221 2 7341 * + = | x:cell 4221:cell 2:sample 7341:cell *:cell +:cell =:cell
EXPR: 0 | POS | INT | 6 | 3120 | 5781 | x=((7341+4221)/2) | x 7341 4221 + 2 / = | x:cell 7341:cell 4221:cell +:cell 2:sample /:cell =:cell
EXPR: 0 | POS | INT | 6 | 3120 | 23124 | x=((7341+4221)*2) | x 7341 4221 + 2 * = | x:cell 7341:cell 4221:cell +:cell 2:sample *:cell =:cell
EXPR: 0 | POS | INT | 6 | 3120 | 6240 | ((7341-4221)*2)=x | 7341 4221 - 2 * x = | 7341:cell 4221:cell -:cell 2:sample *:cell x:cell =:cell
EXPR: 0 | POS | INT | 6 | 3120 | 23124 | ((7341+4221)*2)=x | 7341 4221 + 2 * x = | 7341:cell 4221:cell +:cell 2:sample *:cell x:cell =:cell
EXPR: 0 | POS | INT | 6 | 3120 | 1560 | x=((7341-4221)/2) | x 7341 4221 - 2 / = | x:cell 7341:cell 4221:cell -:cell 2:sample /:cell =:cell
EXPR: 0 | POS | INT | 6 | 3120 | 6240 | x=((7341-4221)*2) | x 7341 4221 - 2 * = | x:cell 7341:cell 4221:cell -:cell 2:sample *:cell =:cell
EXPR: 0 | POS | INT | 7 | 3120 | 18903 | 4221=(x-(2*7341)) | 4221 x 2 7341 * - = | 4221:cell x:cell 2:sample 7341:cell *:cell -:cell =:cell
EXPR: 0 | POS | INT | 7 | 3120 | 18903 | ((x-4221)/2)=7341 | x 4221 - 2 / 7341 = | x:cell 4221:cell -:cell 2:sample /:cell 7341:cell =:cell
EXPR: 0 | POS | INT | 7 | 3120 | 1560 | (4221+(2*x))=7341 | 4221 2 x * + 7341 = | 4221:cell 2:sample x:cell *:cell +:cell 7341:cell =:cell
EXPR: 0 | POS | INT | 7 | 3120 | 61972722 | 4221=(x/(2*7341)) | 4221 x 2 7341 * / = | 4221:cell x:cell 2:sample 7341:cell *:sample /:cell =:cell
EXPR: 0 | POS | INT | 7 | 3120 | 10461 | ((x+4221)/2)=7341 | x 4221 + 2 / 7341 = | x:cell 4221:cell +:cell 2:sample /:cell 7341:cell =:cell
EXPR: 0 | POS | INT | 7 | 3120 | 10461 | ((4221+x)/2)=7341 | 4221 x + 2 / 7341 = | 4221:cell x:cell +:cell 2:sample /:cell 7341:cell =:cell
EXPR: 0 | POS | INT | 7 | 3120 | 23124 | 4221=((x/2)-7341) | 4221 x 2 / 7341 - = | 4221:cell x:cell 2:sample /:cell 7341:cell -:cell =:cell
EXPR: 0 | POS | INT | 7 | 3120 | 1560 | 7341=(4221+(2*x)) | 7341 4221 2 x * + = | 7341:cell 4221:cell 2:sample x:cell *:cell +:cell =:cell
