parameters: n=9 l=4 k=1 p=5 q=2 m=10
TOTAL 1000 solutions found
EXPR: 1 | POS | INT | 0 | 160 | 160 | x=((4+(8+4))*10) | x 4 8 4 + + 10 * = | x:ball 4:pack 8:pack 4:pack +:pack +:pack 10:ball *:ball =:ball
EXPR: 0 | POS | INT | 0 | 160 | 80 | x=((4+(8-4))*10) | x 4 8 4 - + 10 * = | x:ball 4:pack 8:pack 4:pack -:pack +:pack 10:ball *:ball =:ball
EXPR: 0 | POS | INT | 0 | 160 |  | x=((4-(8-4))*10) | x 4 8 4 - - 10 * = | x:ball 4:pack 8:pack 4:pack -:pack -:pack 10:ball *:ball =:ball
EXPR: 1 | POS | INT | 0 | 160 | 160 | x=(((4+8)+4)*10) | x 4 8 + 4 + 10 * = | x:ball 4:pack 8:pack +:pack 4:pack +:pack 10:ball *:ball =:ball
EXPR: 0 | POS | INT | 0 | 160 | 80 | ((4+(8-4))*10)=x | 4 8 4 - + 10 * x = | 4:pack 8:pack 4:pack -:pack +:pack 10:ball *:ball x:ball =:ball
EXPR: 1 | POS | INT | 0 | 160 | 160 | ((4+(8+4))*10)=x | 4 8 4 + + 10 * x = | 4:pack 8:pack 4:pack +:pack +:pack 10:ball *:ball x:ball =:ball
EXPR: 0 | POS | INT | 0 | 160 | 0 | (((4-8)+4)*10)=x | 4 8 - 4 + 10 * x = | 4:pack 8:pack -:pack 4:pack +:pack 10:ball *:ball x:ball =:ball
EXPR: 0 | POS | INT | 0 | 160 | 0 | ((4-(8-4))*10)=x | 4 8 4 - - 10 * x = | 4:pack 8:pack 4:pack -:pack -:pack 10:ball *:ball x:ball =:ball
EXPR: 0 | POS | INT | 0 | 160 |  | x=(((4-8)+4)*10) | x 4 8 - 4 + 10 * = | x:ball 4:pack 8:pack -:pack 4:pack +:pack 10:ball *:ball =:ball
EXPR: 0 | POS | INT | 0 | 160 | 80 | x=(((4+8)-4)*10) | x 4 8 + 4 - 10 * = | x:ball 4:pack 8:pack +:pack 4:pack -:pack 10:ball *:ball =:ball
EXPR: 0 | POS | INT | 0 | 160 | 80 | (((4+8)-4)*10)=x | 4 8 + 4 - 10 * x = | 4:pack 8:pack +:pack 4:pack -:pack 10:ball *:ball x:ball =:ball
EXPR: 1 | POS | INT | 1 | 160 | 160 | x=((4+(8+4))*10) | x 4 8 4 + + 10 * = | x:ball 4:pack 8:pack 4:pack +:pack +:pack 10:ball *:ball =:ball
EXPR: 0 | POS | INT | 1 | 160 |  | x=((4-(8-4))*10) | x 4 8 4 - - 10 * = | x:ball 4:pack 8:pack 4:pack -:pack -:pack 10:ball *:ball =:ball
EXPR: 1 | POS | INT | 1 | 160 | 160 | x=(((4+8)+4)*10) | x 4 8 + 4 + 10 * = | x:ball 4:pack 8:pack +:pack 4:pack +:pack 10:ball *:ball =:ball
EXPR: 0 | POS | INT | 1 | 160 | 80 | x=((4+(8-4))*10) | x 4 8 4 - + 10 * = | x:ball 4:pack 8:pack 4:pack -:pack +:pack 10:ball *:ball =:ball
EXPR: 0 | POS | INT | 1 | 160 | 0 | (((4-8)+4)*10)=x | 4 8 - 4 + 10 * x = | 4:pack 8:pack -:pack 4:pack +:pack 10:ball *:ball x:ball =:ball
EXPR: 0 | POS | INT | 1 | 160 |  | x=(((4-8)+4)*10) | x 4 8 - 4 + 10 * = | x:ball 4:pack 8:pack -:pack 4:pack +:pack 10:ball *:ball =:ball
EXPR: 0 | POS | INT | 1 | 160 | 80 | ((4+(8-4))*10)=x | 4 8 4 - + 10 * x = | 4:pack 8:pack 4:pack -:pack +:pack 10:ball *:ball x:ball =:ball
EXPR: 0 | POS | INT | 1 | 160 | 80 | x=(((4+8)-4)*10) | x 4 8 + 4 - 10 * = | x:ball 4:pack 8:pack +:pack 4:pack -:pack 10:ball *:ball =:ball
EXPR: 1 | POS | INT | 1 | 160 | 160 | ((4+(8+4))*10)=x | 4 8 4 + + 10 * x = | 4:pack 8:pack 4:pack +:pack +:pack 10:ball *:ball x:ball =:ball
EXPR: 0 | POS | INT | 1 | 160 | 0 | ((4-(8-4))*10)=x | 4 8 4 - - 10 * x = | 4:pack 8:pack 4:pack -:pack -:pack 10:ball *:ball x:ball =:ball
EXPR: 0 | POS | INT | 1 | 160 | 80 | (((4+8)-4)*10)=x | 4 8 + 4 - 10 * x = | 4:pack 8:pack +:pack 4:pack -:pack 10:ball *:ball x:ball =:ball
EXPR: 0 | POS | INT | 2 | 160 | 80 | x=((8-(4-4))*10) | x 8 4 4 - - 10 * = | x:ball 8:pack 4:pack 4:pack -:pack -:pack 10:ball *:ball =:ball
EXPR: 0 | POS | INT | 2 | 160 |  | x=(((8-4)-4)*10) | x 8 4 - 4 - 10 * = | x:ball 8:pack 4:pack -:pack 4:pack -:pack 10:ball *:ball =:ball
EXPR: 0 | POS | INT | 2 | 160 | - | (((4-8)+4)*x)=10 | 4 8 - 4 + x * 10 = | 4:pack 8:pack -:pack 4:pack +:pack x:ball *:ball 10:ball =:ball
EXPR: 0 | POS | INT | 2 | 160 | 0 | ((4+(4-8))*10)=x | 4 4 8 - + 10 * x = | 4:pack 4:pack 8:pack -:pack +:pack 10:ball *:ball x:ball =:ball
EXPR: 0 | POS | INT | 2 | 160 | 80 | (((4-4)+8)*10)=x | 4 4 - 8 + 10 * x = | 4:pack 4:pack -:pack 8:pack +:pack 10:ball *:ball x:ball =:ball
EXPR: 0 | POS | INT | 2 | 160 | 80 | ((4-(4-8))*10)=x | 4 4 8 - - 10 * x = | 4:pack 4:pack 8:pack -:pack -:pack 10:ball *:ball x:ball =:ball
EXPR: 0 | POS | INT | 2 | 160 | 0 | (((4+4)-8)*10)=x | 4 4 + 8 - 10 * x = | 4:pack 4:pack +:pack 8:pack -:pack 10:ball *:ball x:ball =:ball
EXPR: 0 | POS | INT | 2 | 160 |  | x=(((4+4)-8)*10) | x 4 4 + 8 - 10 * = | x:ball 4:pack 4:pack +:pack 8:pack -:pack 10:ball *:ball =:ball
EXPR: 0 | POS | INT | 2 | 160 | 80 | x=(((8-4)+4)*10) | x 8 4 - 4 + 10 * = | x:ball 8:pack 4:pack -:pack 4:pack +:pack 10:ball *:ball =:ball
EXPR: 0 | POS | INT | 3 | 160 | 80 | x=((8-(4-4))*10) | x 8 4 4 - - 10 * = | x:ball 8:pack 4:pack 4:pack -:pack -:pack 10:ball *:ball =:ball
EXPR: 0 | POS | INT | 3 | 160 | 0 | ((4+(4-8))*10)=x | 4 4 8 - + 10 * x = | 4:pack 4:pack 8:pack -:pack +:pack 10:ball *:ball x:ball =:ball
EXPR: 0 | POS | INT | 3 | 160 |  | x=(((4+4)-8)*10) | x 4 4 + 8 - 10 * = | x:ball 4:pack 4:pack +:pack 8:pack -:pack 10:ball *:ball =:ball
EXPR: 0 | POS | INT | 3 | 160 | 0 | (((4+4)-8)*10)=x | 4 4 + 8 - 10 * x = | 4:pack 4:pack +:pack 8:pack -:pack 10:ball *:ball x:ball =:ball
EXPR: 0 | POS | INT | 4 | 160 | - | ((4+(4-8))*x)=10 | 4 4 8 - + x * 10 = | 4:pack 4:pack 8:pack -:pack +:pack x:ball *:ball 10:ball =:ball
EXPR: 0 | POS | INT | 4 | 160 | 11 | 4=(8+((10-x)*4)) | 4 8 10 x - 4 * + = | 4:pack 8:pack 10:ball x:ball -:ball 4:pack *:pack +:pack =:pack
EXPR: 0 | POS | INT | 4 | 160 | 9 | 4=(8+((x-10)*4)) | 4 8 x 10 - 4 * + = | 4:pack 8:pack x:ball 10:ball -:ball 4:pack *:pack +:pack =:pack
EXPR: 0 | POS | INT | 4 | 160 | 81 | (4/(x-(8*10)))=4 | 4 x 8 10 * - / 4 = | 4:pack x:ball 8:pack 10:ball *:ball -:ball /:pack 4:pack =:pack
EXPR: 0 | POS | INT | 4 | 160 | 79 | (4*((8*10)-x))=4 | 4 8 10 * x - * 4 = | 4:pack 8:pack 10:ball *:ball x:ball -:ball *:pack 4:pack =:pack
EXPR: 0 | POS | INT | 5 | 160 | 80 | x=((4-(4-8))*10) | x 4 4 8 - - 10 * = | x:ball 4:pack 4:pack 8:pack -:pack -:pack 10:ball *:ball =:ball
EXPR: 0 | POS | INT | 5 | 160 |  | x=(((8-4)-4)*10) | x 8 4 - 4 - 10 * = | x:ball 8:pack 4:pack -:pack 4:pack -:pack 10:ball *:ball =:ball
EXPR: 0 | POS | INT | 5 | 160 | 80 | x=(((8-4)+4)*10) | x 8 4 - 4 + 10 * = | x:ball 8:pack 4:pack -:pack 4:pack +:pack 10:ball *:ball =:ball
EXPR: 0 | POS | INT | 5 | 160 | 80 | x=(((8+4)-4)*10) | x 8 4 + 4 - 10 * = | x:ball 8:pack 4:pack +:pack 4:pack -:pack 10:ball *:ball =:ball
EXPR: 0 | POS | INT | 6 | 160 |  | x=(((8-4)-4)*10) | x 8 4 - 4 - 10 * = | x:ball 8:pack 4:pack -:pack 4:pack -:pack 10:ball *:ball =:ball
EXPR: 0 | POS | INT | 6 | 160 | 80 | x=(((8-4)+4)*10) | x 8 4 - 4 + 10 * = | x:ball 8:pack 4:pack -:pack 4:pack +:pack 10:ball *:ball =:ball
EXPR: 0 | POS | INT | 6 | 160 | 9 | ((8-4)*(10-x))=4 | 8 4 - 10 x - * 4 = | 8:pack 4:pack -:pack 10:ball x:ball -:ball *:pack 4:pack =:pack
EXPR: 0 | POS | INT | 6 | 160 | 9 | ((8-4)/(10-x))=4 | 8 4 - 10 x - / 4 = | 8:pack 4:pack -:pack 10:ball x:ball -:ball /:pack 4:pack =:pack
EXPR: 0 | POS | INT | 6 | 160 | 20 | (8/((4/x)*10))=4 | 8 4 x / 10 * / 4 = | 8:pack 4:pack x:ball /:pack 10:ball *:ball /:pack 4:pack =:pack
EXPR: 0 | POS | INT | 7 | 160 |  | x=((4-(8-4))*10) | x 4 8 4 - - 10 * = | x:ball 4:pack 8:pack 4:pack -:pack -:pack 10:ball *:ball =:ball
