parameters: n=9 l=4 k=1 p=5 q=3 m=10
TOTAL 469 solutions found
EXPR: 0 | POS | INT | 0 | 180 | 16 | ((6*6)*(8/18))=x | 6 6 * 8 18 / * x = | 6:van 6:people *:people 8:bus 18:people /:bus *:people x:people =:people
EXPR: 1 | POS | INT | 0 | 180 | 180 | ((6*6)+(8*18))=x | 6 6 * 8 18 * + x = | 6:van 6:people *:people 8:bus 18:people *:people +:people x:people =:people
EXPR: 0 | POS | INT | 0 | 180 | 81 | (((6*6)/8)*18)=x | 6 6 * 8 / 18 * x = | 6:van 6:people *:van 8:bus /:van 18:people *:people x:people =:people
EXPR: 0 | POS | INT | 0 | 180 | 396 | (6*((6*8)+18))=x | 6 6 8 * 18 + * x = | 6:van 6:people 8:bus *:people 18:people +:people *:people x:people =:people
EXPR: 0 | POS | INT | 0 | 180 | 81 | x=(((6*6)/8)*18) | x 6 6 * 8 / 18 * = | x:people 6:van 6:people *:van 8:bus /:van 18:people *:people =:people
EXPR: 1 | POS | INT | 1 | 180 | 180 | ((6*6)+(8*18))=x | 6 6 * 8 18 * + x = | 6:van 6:people *:people 8:bus 18:people *:people +:people x:people =:people
EXPR: 0 | POS | INT | 1 | 180 | 81 | (((6*6)/8)*18)=x | 6 6 * 8 / 18 * x = | 6:van 6:people *:van 8:bus /:van 18:people *:people x:people =:people
EXPR: 0 | POS | INT | 1 | 180 | 16 | ((6*6)*(8/18))=x | 6 6 * 8 18 / * x = | 6:van 6:people *:people 8:bus 18:people /:bus *:people x:people =:people
EXPR: 0 | POS | INT | 1 | 180 | 396 | (6*((6*8)+18))=x | 6 6 8 * 18 + * x = | 6:van 6:people 8:bus *:people 18:people +:people *:people x:people =:people
EXPR: 0 | POS | INT | 1 | 180 | 81 | x=(((6*6)/8)*18) | x 6 6 * 8 / 18 * = | x:people 6:van 6:people *:van 8:bus /:van 18:people *:people =:people
EXPR: 0 | POS | INT | 2 | 180 | 144 | ((6*x)/(6*8))=18 | 6 x * 6 8 * / 18 = | 6:van x:people *:people 6:people 8:bus *:bus /:people 18:people =:people
EXPR: 0 | POS | INT | 2 | 180 | 16 | ((6*6)*(8/x))=18 | 6 6 * 8 x / * 18 = | 6:van 6:people *:people 8:bus x:people /:bus *:people 18:people =:people
EXPR: 0 | POS | INT | 4 | 180 | 72 | (6*((x/8)-6))=18 | 6 x 8 / 6 - * 18 = | 6:van x:people 8:bus /:people 6:people -:people *:people 18:people =:people
EXPR: 0 | POS | INT | 10 | 180 | 792 | (((6*6)+8)*18)=x | 6 6 * 8 + 18 * x = | 6:van 6:bus *:bus 8:bus +:bus 18:people *:people x:people =:people
EXPR: 0 | POS | INT | 10 | 180 | 504 | (((6*6)-8)*18)=x | 6 6 * 8 - 18 * x = | 6:van 6:bus *:bus 8:bus -:bus 18:people *:people x:people =:people
EXPR: 0 | POS | INT | 10 | 180 | 504 | (((6*6)-8)*18)=x | 6 6 * 8 - 18 * x = | 6:van 6:people *:van 8:van -:van 18:people *:people x:people =:people
EXPR: 0 | POS | INT | 10 | 180 | 81 | (((6*6)/8)*18)=x | 6 6 * 8 / 18 * x = | 6:van 6:bus *:van 8:bus /:van 18:people *:people x:people =:people
EXPR: 0 | POS | INT | 10 | 180 | 16 | ((6*6)*(8/18))=x | 6 6 * 8 18 / * x = | 6:van 6:people *:van 8:bus 18:people /:bus *:bus x:bus =:bus
EXPR: 0 | POS | INT | 10 | 180 | 16 | ((6*6)*(8/18))=x | 6 6 * 8 18 / * x = | 6:van 6:people *:people 8:bus 18:people /:bus *:bus x:bus =:bus
EXPR: 0 | POS | INT | 10 | 180 | 192 | (6*((6+8)+18))=x | 6 6 8 + 18 + * x = | 6:van 6:people 8:people +:people 18:people +:people *:people x:people =:people
EXPR: 1 | POS | INT | 10 | 180 | 180 | x=(6*((6*8)-18)) | x 6 6 8 * 18 - * = | x:van 6:van 6:people 8:bus *:people 18:people -:people *:van =:van
EXPR: 0 | POS | INT | 10 | 180 | 396 | x=(6*((6*8)+18)) | x 6 6 8 * 18 + * = | x:van 6:van 6:people 8:bus *:people 18:people +:people *:van =:van
EXPR: 0 | POS | INT | 10 | 180 | 162 | x=(((6/6)+8)*18) | x 6 6 / 8 + 18 * = | x:people 6:van 6:people /:van 8:van +:van 18:people *:people =:people
EXPR: 0 | POS | INT | 10 | 180 | 26 | x=(((6/6)*8)+18) | x 6 6 / 8 * 18 + = | x:people 6:van 6:people /:van 8:people *:people 18:people +:people =:people
EXPR: 0 | POS | INT | 10 | 180 |  | x=(((6-6)/8)*18) | x 6 6 - 8 / 18 * = | x:people 6:van 6:van -:van 8:bus /:van 18:people *:people =:people
EXPR: 0 | POS | INT | 10 | 180 | 81 | x=(((6*6)/8)*18) | x 6 6 * 8 / 18 * = | x:people 6:van 6:bus *:van 8:bus /:van 18:people *:people =:people
EXPR: 0 | POS | INT | 11 | 180 | 792 | (((6*6)+8)*18)=x | 6 6 * 8 + 18 * x = | 6:van 6:bus *:bus 8:bus +:bus 18:people *:people x:people =:people
EXPR: 0 | POS | INT | 11 | 180 | 16 | ((6*6)*(8/18))=x | 6 6 * 8 18 / * x = | 6:van 6:people *:van 8:bus 18:people /:bus *:bus x:bus =:bus
EXPR: 0 | POS | INT | 11 | 180 | 192 | (6*((6+8)+18))=x | 6 6 8 + 18 + * x = | 6:van 6:people 8:people +:people 18:people +:people *:people x:people =:people
EXPR: 1 | POS | INT | 11 | 180 | 180 | x=(6*((6*8)-18)) | x 6 6 8 * 18 - * = | x:van 6:van 6:people 8:bus *:people 18:people -:people *:van =:van
EXPR: 0 | POS | INT | 11 | 180 | 396 | x=(6*((6*8)+18)) | x 6 6 8 * 18 + * = | x:van 6:van 6:people 8:bus *:people 18:people +:people *:van =:van
EXPR: 0 | POS | INT | 11 | 180 | 162 | x=(((6/6)+8)*18) | x 6 6 / 8 + 18 * = | x:people 6:van 6:people /:van 8:van +:van 18:people *:people =:people
EXPR: 0 | POS | INT | 11 | 180 |  | x=(((6-6)/8)*18) | x 6 6 - 8 / 18 * = | x:people 6:van 6:van -:van 8:bus /:van 18:people *:people =:people
EXPR: 0 | POS | INT | 11 | 180 | 81 | x=(((6*6)/8)*18) | x 6 6 * 8 / 18 * = | x:people 6:van 6:bus *:van 8:bus /:van 18:people *:people =:people
EXPR: 0 | POS | INT | 12 | 180 | 18 | (((6+x)*6)/8)=18 | 6 x + 6 * 8 / 18 = | 6:van x:van +:van 6:people *:people 8:bus /:people 18:people =:people
EXPR: 0 | POS | INT | 12 | 180 | 16 | (((6*6)/18)*8)=x | 6 6 * 18 / 8 * x = | 6:van 6:people *:van 18:people /:van 8:people *:people x:people =:people
EXPR: 0 | POS | INT | 12 | 180 | 16 | (((6*6)/18)*8)=x | 6 6 * 18 / 8 * x = | 6:van 6:people *:van 18:people /:van 8:bus *:bus x:bus =:bus
EXPR: 0 | POS | INT | 12 | 180 | 72 | (((6*8)+6)+18)=x | 6 8 * 6 + 18 + x = | 6:van 8:people *:people 6:people +:people 18:people +:people x:people =:people
EXPR: 1 | POS | INT | 12 | 180 | 180 | x=(6*((6*8)-18)) | x 6 6 8 * 18 - * = | x:people 6:people 6:van 8:bus *:van 18:van -:van *:people =:people
EXPR: 0 | POS | INT | 12 | 180 | 144 | x=(((6*8)/6)*18) | x 6 8 * 6 / 18 * = | x:people 6:van 8:bus *:van 6:bus /:van 18:people *:people =:people
EXPR: 0 | POS | INT | 12 | 180 | 145 | x=((6/6)+(8*18)) | x 6 6 / 8 18 * + = | x:people 6:people 6:van /:people 8:van 18:people *:people +:people =:people
EXPR: 0 | POS | INT | 13 | 180 | 16 | (((6*6)/18)*8)=x | 6 6 * 18 / 8 * x = | 6:van 6:people *:van 18:people /:van 8:bus *:bus x:bus =:bus
EXPR: 0 | POS | INT | 13 | 180 | 72 | (((6*8)+6)+18)=x | 6 8 * 6 + 18 + x = | 6:van 8:people *:people 6:people +:people 18:people +:people x:people =:people
EXPR: 1 | POS | INT | 13 | 180 | 180 | x=(6*((6*8)-18)) | x 6 6 8 * 18 - * = | x:people 6:people 6:van 8:bus *:van 18:van -:van *:people =:people
EXPR: 0 | POS | INT | 13 | 180 | 145 | x=((6/6)+(8*18)) | x 6 6 / 8 18 * + = | x:people 6:people 6:van /:people 8:van 18:people *:people +:people =:people
EXPR: 0 | POS | INT | 14 | 180 | 0 | (((6-6)*18)/8)=x | 6 6 - 18 * 8 / x = | 6:van 6:van -:van 18:people *:people 8:bus /:people x:people =:people
EXPR: 0 | POS | INT | 14 | 180 | - | 6=(6+(18/(x*8))) | 6 6 18 x 8 * / + = | 6:people 6:people 18:people x:people 8:bus *:bus /:people +:people =:people
EXPR: 0 | POS | INT | 14 | 180 | 17 | (6*((x-8)-6))=18 | 6 x 8 - 6 - * 18 = | 6:van x:people 8:people -:people 6:people -:people *:people 18:people =:people
EXPR: 0 | POS | INT | 14 | 180 | 2 | 6=(((6/x)*8)-18) | 6 6 x / 8 * 18 - = | 6:people 6:van x:people /:van 8:people *:people 18:people -:people =:people
EXPR: 0 | POS | INT | 15 | 180 | 1512 | ((6*18)*(6+8))=x | 6 18 * 6 8 + * x = | 6:van 18:people *:van 6:people 8:people +:people *:people x:people =:people
EXPR: 0 | POS | INT | 15 | 180 | 16 | (((6*8)/18)*6)=x | 6 8 * 18 / 6 * x = | 6:van 8:bus *:van 18:bus /:van 6:people *:people x:people =:people
EXPR: 0 | POS | INT | 15 | 180 | 2 | x=(8*(6/(6+18))) | x 8 6 6 18 + / * = | x:van 8:bus 6:van 6:people 18:people +:people /:van *:van =:van
EXPR: 0 | POS | INT | 15 | 180 | 10 | x=(((6/18)*6)+8) | x 6 18 / 6 * 8 + = | x:people 6:van 18:people /:van 6:people *:people 8:people +:people =:people
EXPR: 0 | POS | INT | 15 | 180 | 144 | x=(((6*18)/6)*8) | x 6 18 * 6 / 8 * = | x:people 6:van 18:people *:van 6:people /:van 8:people *:people =:people
EXPR: 0 | POS | INT | 16 | 180 | 2 | x=(8*(6/(6+18))) | x 8 6 6 18 + / * = | x:van 8:bus 6:van 6:people 18:people +:people /:van *:van =:van
EXPR: 0 | POS | INT | 16 | 180 | 10 | x=(((6/18)*6)+8) | x 6 18 / 6 * 8 + = | x:people 6:van 18:people /:van 6:people *:people 8:people +:people =:people
EXPR: 0 | POS | INT | 20 | 180 | 81 | (((6*6)/8)*18)=x | 6 6 * 8 / 18 * x = | 6:van 6:bus *:bus 8:van /:bus 18:people *:people x:people =:people
EXPR: 1 | POS | INT | 20 | 180 | 180 | ((6*6)+(8*18))=x | 6 6 * 8 18 * + x = | 6:van 6:bus *:bus 8:bus 18:people *:bus +:bus x:bus =:bus
EXPR: 0 | POS | INT | 20 | 180 | 81 | (((6*6)/8)*18)=x | 6 6 * 8 / 18 * x = | 6:van 6:people *:van 8:bus /:van 18:bus *:bus x:bus =:bus
EXPR: 0 | POS | INT | 20 | 180 | 18 | (((6-6)*8)+18)=x | 6 6 - 8 * 18 + x = | 6:van 6:van -:van 8:people *:people 18:people +:people x:people =:people
EXPR: 0 | POS | INT | 20 | 180 | 396 | (6*((6*8)+18))=x | 6 6 8 * 18 + * x = | 6:van 6:bus 8:people *:people 18:people +:people *:people x:people =:people
EXPR: 0 | POS | INT | 20 | 180 | 792 | (((6*6)+8)*18)=x | 6 6 * 8 + 18 * x = | 6:van 6:people *:people 8:people +:people 18:van *:people x:people =:people
EXPR: 0 | POS | INT | 20 | 180 | 162 | x=(((6/6)+8)*18) | x 6 6 / 8 + 18 * = | x:people 6:van 6:bus /:van 8:van +:van 18:people *:people =:people
EXPR: 0 | POS | INT | 21 | 180 | 198 | (((6+18)*8)+6)=x | 6 18 + 8 * 6 + x = | 6:people 18:people +:people 8:bus *:people 6:people +:people x:people =:people
EXPR: 0 | POS | INT | 21 | 180 | 9 | (((6+18)/8)+6)=x | 6 18 + 8 / 6 + x = | 6:people 18:people +:people 8:bus /:people 6:people +:people x:people =:people
EXPR: 0 | POS | INT | 21 | 180 | 81 | (((6*6)/8)*18)=x | 6 6 * 8 / 18 * x = | 6:van 6:bus *:bus 8:van /:bus 18:people *:people x:people =:people
EXPR: 1 | POS | INT | 21 | 180 | 180 | ((6*6)+(8*18))=x | 6 6 * 8 18 * + x = | 6:van 6:bus *:bus 8:bus 18:people *:bus +:bus x:bus =:bus
EXPR: 0 | POS | INT | 21 | 180 | 81 | (((6*6)/8)*18)=x | 6 6 * 8 / 18 * x = | 6:van 6:people *:van 8:bus /:van 18:bus *:bus x:bus =:bus
EXPR: 0 | POS | INT | 21 | 180 | 396 | (6*((6*8)+18))=x | 6 6 8 * 18 + * x = | 6:van 6:bus 8:people *:people 18:people +:people *:people x:people =:people
EXPR: 0 | POS | INT | 22 | 180 | 156 | ((6*8)+(6*18))=x | 6 8 * 6 18 * + x = | 6:van 8:people *:people 6:people 18:bus *:people +:people x:people =:people
EXPR: 0 | POS | INT | 22 | 180 | 198 | (((6+18)*8)+6)=x | 6 18 + 8 * 6 + x = | 6:people 18:people +:people 8:bus *:people 6:people +:people x:people =:people
EXPR: 0 | POS | INT | 22 | 180 | 10 | (((6*6)/18)+8)=x | 6 6 * 18 / 8 + x = | 6:van 6:people *:people 18:van /:people 8:people +:people x:people =:people
EXPR: 0 | POS | INT | 22 | 180 | 10 | ((6/6)*(18-8))=x | 6 6 / 18 8 - * x = | 6:van 6:people /:van 18:bus 8:bus -:bus *:bus x:bus =:bus
EXPR: 0 | POS | INT | 22 | 180 | 0 | 6=(6+(x*(8/18))) | 6 6 x 8 18 / * + = | 6:van 6:van x:people 8:van 18:people /:van *:van +:van =:van
EXPR: 0 | POS | INT | 22 | 180 | 66 | (6*((x/6)-8))=18 | 6 x 6 / 8 - * 18 = | 6:van x:people 6:bus /:people 8:people -:people *:people 18:people =:people
