parameters: n=5 l=2 k=1 p=5 q=2 m=8
TOTAL 136 solutions found
EXPR: 0 | POS | INT | 0 | 13 | 36 | x=(9*4) | x 9 4 * = | x:pokemon 9:card 4:pokemon *:pokemon =:pokemon
EXPR: 0 | POS | INT | 0 | 13 | 36 | (9*4)=x | 9 4 * x = | 9:card 4:pokemon *:pokemon x:pokemon =:pokemon
EXPR: 0 | POS | INT | 1 | 13 | 36 | x=(9*4) | x 9 4 * = | x:pokemon 9:card 4:pokemon *:pokemon =:pokemon
EXPR: 0 | POS | INT | 1 | 13 | 36 | (9*4)=x | 9 4 * x = | 9:card 4:pokemon *:pokemon x:pokemon =:pokemon
EXPR: 0 | POS | INT | 2 | 13 | 36 | (x/9)=4 | x 9 / 4 = | x:pokemon 9:card /:pokemon 4:pokemon =:pokemon
EXPR: 0 | POS | INT | 4 | 13 | 36 | 4=(x/9) | 4 x 9 / = | 4:pokemon x:pokemon 9:card /:pokemon =:pokemon
EXPR: 0 | POS | INT | 10 | 13 | 5 | (9-4)=x | 9 4 - x = | 9:pokemon 4:pokemon -:pokemon x:pokemon =:pokemon
EXPR: 0 | POS | INT | 10 | 13 | 36 | (9*4)=x | 9 4 * x = | 9:card 4:pokemon *:card x:card =:card
EXPR: 1 | POS | INT | 10 | 13 | 13 | (9+4)=x | 9 4 + x = | 9:pokemon 4:pokemon +:pokemon x:pokemon =:pokemon
EXPR: 0 | POS | INT | 10 | 13 | 5 | x=(9-4) | x 9 4 - = | x:pokemon 9:pokemon 4:pokemon -:pokemon =:pokemon
EXPR: 0 | POS | INT | 10 | 13 | 36 | x=(9*4) | x 9 4 * = | x:card 9:card 4:pokemon *:card =:card
EXPR: 1 | POS | INT | 10 | 13 | 13 | x=(9+4) | x 9 4 + = | x:pokemon 9:pokemon 4:pokemon +:pokemon =:pokemon
EXPR: 0 | POS | INT | 11 | 13 | 5 | (9-4)=x | 9 4 - x = | 9:pokemon 4:pokemon -:pokemon x:pokemon =:pokemon
EXPR: 0 | POS | INT | 11 | 13 | 36 | (9*4)=x | 9 4 * x = | 9:card 4:pokemon *:card x:card =:card
EXPR: 1 | POS | INT | 11 | 13 | 13 | x=(9+4) | x 9 4 + = | x:pokemon 9:pokemon 4:pokemon +:pokemon =:pokemon
EXPR: 0 | POS | INT | 11 | 13 | 5 | x=(9-4) | x 9 4 - = | x:pokemon 9:pokemon 4:pokemon -:pokemon =:pokemon
EXPR: 0 | POS | INT | 11 | 13 | 36 | x=(9*4) | x 9 4 * = | x:card 9:card 4:pokemon *:card =:card
